"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Pelagic coastal piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000813066202681512,0.00104909157380462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000913518946617842,0.00123594980686903,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000587739981710911,0.000634812342468649,0.000735423120204359,0.000827036681585014,-9999,-9999,-9999,-9999,-9999,0.00136087276041508,0.00113880506251007,0.000859350897371769,0.000724396551959217,0.000759651244152337,0.000824269372969866,0.000840375781990588,0.000676523253787309,0.000581167580094188,0.000748082238715142,0.00136500969529152,0.000874568650033325,-9999,-9999,0.000832883117254823,0.00238550128415227,0.00201512523926795,0.00223763147369027,0.00724595924839377,0.00818849354982376,0.00798316951841116,0.00885558128356934,0.00659561948850751,0.00228118663653731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000569770811125636,0.000589838251471519,0.000678971293382347,0.000767726392950863,0.000852832105010748,0.00109178572893143,0.00129582558292896,-9999,0.00145452027209103,0.0015029942151159,0.00190756947267801,0.00359157472848892,0.0049763428978622,0.0056392359547317,0.0016390192322433,0.00212392094545066,0.00210168864578009,0.00342093268409371,0.0025664281565696,0.00178189994767308,0.00246809516102076,0.000762520590797067,0.00235627428628504,0.00413952255621552,0.00605674460530281,0.00770839676260948,0.00829102285206318,0.00865648873150349,0.0090063801035285,0.00935042090713978,0.0097550842911005,0.0102045983076096,0.0104818306863308,0.0103078261017799,0.00936213415116072,0.00736443512141705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000609016511589289,0.000649026711471379,0.000761498406063765,0.000869511277414858,0.00095693877665326,0.0018454430392012,0.00179904280230403,0.00189174793194979,0.00293669290840626,0.00346595817245543,0.00398081913590431,0.00581629993394017,0.014587277546525,0.0212990231812,0.0187957044690847,0.0166876371949911,0.0138377659022808,0.0127773014828563,0.0116785550490022,0.00997065100818872,0.00970094930380583,0.0086004538461566,0.00797067489475012,0.00763287674635649,0.00755054829642177,0.00759556610137224,0.0077288574539125,0.00791087187826633,0.00826721824705601,0.00868890061974525,0.00904661323875189,0.00934844370931387,0.00958752632141113,0.009604730643332,0.00938482768833637,0.00915985833853483,0.00900628231465816,0.00728246895596385,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00178698275703937,0.00143803842365742,0.00132762943394482,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00455406215041876,-9999,-9999,-9999,0.00390782579779625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000953551265411079,0.00101016892585903,0.00106138200499117,-9999,0.00176445732358843,0.00366931944154203,0.00226042419672012,0.00172888301312923,0.00222350656986237,0.00594135001301765,0.0097716236487031,0.00671767396852374,0.0191941913217306,0.0172171778976917,0.0139821199700236,0.0119562465697527,0.0106846354901791,0.00980384461581707,0.00909153372049332,0.00835773721337318,0.00774967623874545,0.00745708681643009,0.00741041172295809,0.00743753323331475,0.00749237556010485,0.00756031833589077,0.00587344821542501,0.00842702016234398,0.00890345498919487,0.00891359709203243,0.00894506368786097,0.00896080583333969,0.00897707976400852,0.00909983832389116,0.00937898177653551,0.00962908007204533,0.0078489501029253,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00232833856716752,0.00632827915251255,0.00273290788754821,0.000949218112509698,0.00104985653888434,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00258426810614765,0.00402357615530491,-9999,-9999,0.0013990446459502,0.0016726041212678,-9999,-9999,0.00152704946231097,0.00748999696224928,-9999,-9999,-9999,-9999,-9999,0.00249282480217516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00134463026188314,0.00249072560109198,0.00215709977783263,0.00193061702884734,0.00224502943456173,0.00217215972952545,0.001816775649786,0.0018922226736322,0.0167895369231701,0.0158196650445461,0.0128392828628421,0.0109143573790789,0.00979859009385109,0.00916801858693361,0.00860711466521025,0.0080994451418519,0.00773495109751821,0.0076360572129488,0.00778746046125889,0.00791725143790245,0.00699154520407319,1.79207418113947E-05,0.000235368512221612,0.00394155690446496,0.00900879688560963,0.00927707646042109,0.00891958083957434,0.00873266812413931,0.00870559643954039,0.00884565152227879,0.00930547341704369,0.0101883811876178,0.0109306750819087,0.00805287249386311,-9999,-9999,-9999,-9999,-9999,0.00212709791958332,0.00338859250769019,0.0064009795896709,0.0129973273724318,0.0102026350796223,0.00552233261987567,0.0025827803183347,0.000806471158284694,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00234657572582364,0.00318501610308886,-9999,-9999,-9999,-9999,0.00136087753344327,0.0016844489146024,0.00156217650510371,0.00532749434933066,0.00288936914876103,0.00264861760661006,0.00374417006969452,0.00527722435072064,0.00273266946896911,0.0015667526749894,-9999,0.00266889831982553,0.00563793256878853,-9999,-9999,0.0128857390955091,0.00126694317441434,0.0017104591242969,0.00276679266244173,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00156477245036513,0.0010867309756577,-9999,-9999,-9999,0.00231036194600165,0.00310432049445808,0.00322039052844048,0.00280716526322067,0.00251732068136334,0.00183780223596841,0.00462723057717085,0.0198562406003475,0.016598554328084,0.0134140327572823,0.0113708563148975,0.010184514336288,0.00945014413446188,0.00887820217758417,0.00846615713089705,0.00824920274317265,0.00833682995289564,0.00870191492140293,0.00198832573369145,6.66686537442729E-06,1.32648419821635E-05,1.00370907603065E-05,0.000122474928502925,0.00209269928745925,0.00819951202720404,0.00938238203525543,0.00892009772360325,0.00862500164657831,0.00862200651317835,0.00903125014156103,0.0100440131500363,0.0115813529118896,0.00886721163988113,0.00127370096743107,0.00164862803649157,0.000830364297144115,0.00157627940643579,0.00750844972208142,0.0156595148146152,0.0174713246524334,0.0180176515132189,0.0186461266130209,0.0176906418055296,0.0165468603372574,0.0117394020780921,0.00213504838757217,0.00112932221964002,0.00188730016816407,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
