"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Pink shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.95700726080395E-07,1.03021091035771E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000115484748675954,0.000196001812582836,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.64630722683706E-15,3.675883111353E-14,7.13399676247235E-14,1.60281442523717E-13,-9999,-9999,-9999,-9999,-9999,0.0273126997053623,0.0299392677843571,0.0294236950576305,0.0381928980350494,0.0392454825341702,0.0288026053458452,0.0244682747870684,0.0116360550746322,0.0148997521027923,0.00205223588272929,0.0110110305249691,0.0140956677496433,-9999,-9999,0.11453016102314,0.123031623661518,0.0832258760929108,0.0950913205742836,0.167036771774292,0.1891178637743,0.177828922867775,0.189692169427872,0.127005696296692,0.110178306698799,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.70514669178293E-15,9.34215202484483E-14,1.44111903400274E-12,2.41955392353554E-12,6.64155622859264E-12,6.16476245052233E-11,7.24297011256425E-10,-9999,0.001086107455194,0.0246560350060463,0.0382300317287445,0.0402378663420677,0.0445475839078426,0.0464694313704967,0.0541445016860962,0.0530873201787472,0.0361885651946068,0.0341529920697212,0.0291788000613451,0.0407529026269913,0.046731524169445,0.0580384209752083,0.118200354278088,0.163124799728394,0.188849285244942,0.202706232666969,0.217093646526337,0.283257305622101,0.300671279430389,0.326996147632599,0.290916532278061,0.280489563941956,0.250399261713028,0.263925939798355,0.206586852669716,0.158270284533501,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.92607257068789E-14,1.69579899168132E-12,8.27061058528145E-11,1.049720518842E-10,1.57482360485517E-10,7.10200454001608E-10,1.82338038001717E-08,3.43712690664688E-06,0.000786535441875458,0.0385857634246349,0.0547542497515678,0.057099062949419,0.0481054037809372,0.052280880510807,0.0813893675804138,0.115960635244846,0.1130261272192,0.126178681850433,0.123734936118126,0.151911675930023,0.170476481318474,0.204383805394173,0.254009008407593,0.344596177339554,0.393557518720627,0.413770914077759,0.425876349210739,0.461393386125565,0.444939613342285,0.491843581199646,0.487836688756943,0.450674563646317,0.429843336343765,0.409877002239227,0.290479093790054,0.206064358353615,0.123804971575737,0.138631761074066,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0280907619744539,0.0291289482265711,0.0292647704482079,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00626151356846094,-9999,-9999,-9999,8.09276059499098E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.16374299086175E-10,1.20235432721216E-10,1.28593247161746E-10,-9999,2.42077522472073E-08,3.18522006637068E-06,0.000646754226181656,0.0188302919268608,0.0402056649327278,0.0488474704325199,0.0519879013299942,0.0579070784151554,0.10756978392601,0.167969480156898,0.228642523288727,0.297479808330536,0.302658140659332,0.372855931520462,0.382509648799896,0.477960765361786,0.526615977287292,0.594326496124268,0.635755360126495,0.692107558250427,0.503496825695038,0.0454507358372211,0.00197243667207658,0.0275201145559549,0.625964879989624,0.724180042743683,0.628806233406067,0.574707448482513,0.486759752035141,0.415068119764328,0.287691086530685,0.174759790301323,0.115872785449028,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0474932305514812,0.0507871545851231,0.0471295602619648,0.0379312448203564,0.0318383201956749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00142483168747276,0.00675669405609369,-9999,-9999,0.000745613011531532,0.000154011126141995,-9999,-9999,0.000355670956196263,0.000179643946466967,-9999,-9999,-9999,-9999,-9999,3.54220930365301E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.42009984169545E-08,5.97132748225704E-06,0.000554361613467336,0.0140505256131291,0.034679252654314,0.0387837812304497,0.0402657724916935,0.0320330448448658,0.123034246265888,0.154773086309433,0.237945005297661,0.463299512863159,0.576814115047455,0.642865002155304,0.653188526630402,0.721961498260498,0.753908574581146,0.834668755531311,0.894490122795105,0.624100565910339,0.00215135514736176,0.00210099387913942,0.00104338361416012,0.00259646750055254,0.00479128956794739,0.562507092952728,0.720403254032135,0.718274474143982,0.643201231956482,0.566092133522034,0.457628756761551,0.265307664871216,0.188665166497231,0.117396742105484,-9999,-9999,-9999,-9999,-9999,0.0687259957194328,0.0945993140339851,0.0965587049722672,0.113126665353775,0.0946926772594452,0.0549939014017582,0.044135756790638,0.0326502807438374,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0109532400965691,0.00831853505223989,-9999,-9999,-9999,-9999,0.000980854383669794,0.0038837599568069,0.00754620414227247,0.0266539566218853,0.00840916577726603,0.00612367875874043,0.00711112096905708,0.0256433971226215,0.0130396606400609,0.00572811206802726,-9999,0.00020668409706559,9.98176692519337E-05,-9999,-9999,1.61976927870455E-07,1.07265016424662E-07,8.63151683461183E-08,6.19820852421071E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.50231519532962E-11,3.43476636022189E-11,-9999,-9999,-9999,0.000195017360965721,0.00172436446882784,0.00822385586798191,0.0267297569662333,0.0266991090029478,0.0325010307133198,0.0662437304854393,0.171451881527901,0.192552328109741,0.385849297046661,0.603139162063599,0.800435960292816,0.811490297317505,0.836975753307343,0.869507551193237,0.893875598907471,0.968111038208008,0.863210082054138,0.00180869386531413,0.000959997239988297,0.00102219276595861,0.000496710941661149,0.00110614520963281,0.00152166490443051,0.00260205706581473,0.284394681453705,0.961467325687408,0.779302954673767,0.707549631595612,0.609289467334747,0.481147855520248,0.297915637493134,0.125002607703209,0.0262941028922796,0.00432789931073785,0.000514196639414877,0.0383653230965137,0.113053895533085,0.188333585858345,0.239547803997993,0.260166972875595,0.230851918458939,0.192823067307472,0.174438998103142,0.126719236373901,0.0510041527450085,0.0265968590974808,0.0179883390665054,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
