"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Red drum"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0143274534493685,0.0121954428032041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0218083281069994,0.0188558865338564,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00451533636078238,0.00516297435387969,0.0059347115457058,0.00700103957206011,-9999,-9999,-9999,-9999,-9999,0.0442609302699566,0.0563038885593414,0.0580268763005733,0.0548867210745811,0.0531718395650387,0.053422287106514,0.0445255525410175,0.0378447026014328,0.0353072620928288,0.0291640758514404,0.0252618249505758,0.0170297641307116,-9999,-9999,0.014992842450738,0.0147070921957493,0.0114106852561235,0.0136416312307119,0.014993074350059,0.016644261777401,0.0172169022262096,0.0172283034771681,0.0156207866966724,0.0160919446498156,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00461324630305171,0.00554857682436705,0.00796075165271759,0.0103739025071263,0.0105085773393512,0.0149525292217731,0.0138917043805122,-9999,0.0209065526723862,0.0389144420623779,0.0459579676389694,0.0534056425094604,0.0580922923982143,0.0551771484315395,0.054248034954071,0.0567397549748421,0.047363355755806,0.0403204336762428,0.0382262095808983,0.034183107316494,0.0271580666303635,0.0207091737538576,0.018463671207428,0.0164571832865477,0.0136218825355172,0.0117354616522789,0.00729597546160221,0.00622840039432049,0.00550263049080968,0.00579821085557342,0.00554215162992477,0.00559387914836407,0.00496881641447544,0.00584113737568259,0.00638545071706176,0.00485425023362041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00527313584461808,0.0078139565885067,0.0175759997218847,0.0223031342029572,0.0230262167751789,0.0231706686317921,0.0179217681288719,0.0239221677184105,0.0231409333646297,0.0309453010559082,0.0388840958476067,0.0513015761971474,0.0535724833607674,0.048644594848156,0.0451925210654736,0.0453045181930065,0.0377306304872036,0.0319871753454208,0.028164554387331,0.0288510918617249,0.0249796211719513,0.0200962834060192,0.0166332069784403,0.011519517749548,0.00918273348361254,0.00644269771873951,0.00422421563416719,0.00253416365012527,0.000277675600955263,0.000678452488500625,0.00128608627710491,0.00119480676949024,0.00142440048512071,0.00184558541513979,0.00212427601218224,0.00275423331186175,0.00359781086444855,0.00453641079366207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0352569781243801,0.0333213172852993,0.0294090453535318,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00588874705135822,-9999,-9999,-9999,0.00617668172344565,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0261053256690502,0.0279661733657122,0.0249924436211586,-9999,0.018407441675663,0.0273489821702242,0.0267366375774145,0.0327133573591709,0.03998863697052,0.0459906719624996,0.0455082058906555,0.0427849143743515,0.0388808399438858,0.0320428982377052,0.0197573564946651,0.0165596194565296,0.0142864184454083,0.0152884256094694,0.0141432490199804,0.0108770653605461,0.00588749954476953,0.00487470999360085,0.00392695376649499,0.00323803769424558,0.00086471380200237,0.000123525329399854,8.26504110591486E-05,8.57876220834441E-05,9.04349144548178E-05,8.93680407898501E-05,0.000130352389533073,0.000463558826595545,0.00113614124711603,0.0015080445446074,0.00268909498117864,0.00379995349794626,0.0043931407853961,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0267314873635769,0.0262868572026491,0.0245132185518742,0.0334175601601601,0.0340210683643818,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0107312211766839,0.010006645694375,-9999,-9999,0.0156415849924088,0.0133960451930761,-9999,-9999,0.00862582959234715,0.0081208823248744,-9999,-9999,-9999,-9999,-9999,0.0310083124786615,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0347358658909798,0.0301566403359175,0.0262129753828049,0.0278455093502998,0.0318165048956871,0.0393385700881481,0.0364093706011772,0.0353172682225704,0.0303012579679489,0.0235060937702656,0.00919760763645172,0.00498361652716994,0.00432213069871068,0.00464241486042738,0.00466794660314918,0.00384157872758806,0.00222000875510275,0.00141967693343759,0.00143388251308352,0.000139329727971926,9.37197910388932E-05,4.15647846239153E-05,2.61143759416882E-05,2.67836621787865E-05,2.73777295660693E-05,2.81413267657626E-05,4.46706253569573E-05,6.03643602516968E-05,0.000373170332750306,0.000667816493660212,0.00151637603994459,0.00290764542296529,0.00457039102911949,0.00600640242919326,-9999,-9999,-9999,-9999,-9999,0.0183995179831982,0.0203284192830324,0.0224467292428017,0.021753866225481,0.0319271758198738,0.0337030701339245,0.0352621041238308,0.0390155874192715,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0187809150665998,0.0249154902994633,-9999,-9999,-9999,-9999,0.0150058940052986,0.0175781212747097,0.0169262867420912,0.0186128132045269,0.0240314472466707,0.0202119406312704,0.017463356256485,0.0106215626001358,0.0137895634397864,0.00924558937549591,-9999,0.00589417992159724,0.0123375225812197,-9999,-9999,0.0221495032310486,0.0232638977468014,0.021055119112134,0.0112894056364894,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0218945629894733,0.0259429812431335,-9999,-9999,-9999,0.0296548530459404,0.0285113248974085,0.0296065080910921,0.0295457933098078,0.0282453559339046,0.0274503044784069,0.0256144590675831,0.0244059264659882,0.0165841374546289,0.00454032840207219,0.00193715165369213,0.00160224316641688,0.00164813105948269,0.00140749511774629,0.000947569671552628,0.000840982887893915,0.000510779675096273,8.53371748235077E-05,4.10974498663563E-05,2.93335451715393E-05,1.35383215820184E-05,9.35652406042209E-06,9.6352860055049E-06,9.14036445465172E-06,9.92217701423215E-06,1.67033285833895E-05,3.72505637642462E-05,0.000138176343170926,0.000389688066206872,0.00103328982368112,0.00273056817241013,0.00421404419466853,0.00655310042202473,0.0071065342053771,0.00767067680135369,0.00809901393949986,0.00909475516527891,0.0112558687105775,0.0139911212027073,0.0157947950065136,0.0173229072242975,0.0163746234029531,0.0184225924313068,0.0226127114146948,0.0371571518480778,0.0385846681892872,0.0416196286678314,0.040562242269516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
