"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Red grouper (3+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.13090447687136E-06,2.06358345167246E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.07301467930665E-06,4.00382168663782E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.94019005306245E-08,2.04814352144922E-08,2.31674412987104E-08,2.75522946679985E-08,-9999,-9999,-9999,-9999,-9999,2.37786053958189E-07,2.94242937570743E-07,4.10173470299924E-07,9.70397991295613E-07,1.83458394076297E-06,3.07489494844049E-06,3.85267594538163E-06,5.80816822548513E-06,6.95167955200304E-06,8.04061437520431E-06,8.235391760536E-06,8.90599676495185E-06,-9999,-9999,3.17378471663687E-05,5.80602099944372E-05,6.59717406961136E-05,0.000179516762727872,0.000744031218346208,0.00146976858377457,0.00232297624461353,0.00306666409596801,0.00262127118185163,0.00293696951121092,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.90817939227372E-08,1.9757289138056E-08,2.19522053868104E-08,2.78171476963962E-08,4.16782022227835E-08,7.81894584633847E-08,1.15695122815396E-07,-9999,2.09093570902041E-07,3.14752014674013E-07,4.04525280828238E-07,6.20431478637329E-07,1.27466762478434E-06,2.92485060526815E-06,4.64637423647218E-06,7.47087824493065E-06,9.24349205888575E-06,1.80648148671025E-05,1.83184511115542E-05,2.00851209228858E-05,1.98654124687891E-05,1.94244421436451E-05,3.42527891916689E-05,5.81546846660785E-05,0.000143112687510438,0.000709262327291071,0.00137540942523628,0.00179975538048893,0.00439173728227615,0.00462924968451262,0.00753048900514841,0.00640761433169246,0.00766918295994401,0.0068890624679625,0.0036099108401686,0.0021249633282423,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.92371292229154E-08,2.02995362741376E-08,2.37403678937653E-08,3.16556167945237E-08,5.16513125603524E-08,9.59391499577578E-08,2.93822409958011E-07,4.80026926652499E-07,6.54856023629691E-07,7.13229610482813E-07,1.29487011690799E-06,2.65006065092166E-06,6.83534562995192E-06,1.61242169269826E-05,3.84824379580095E-05,7.74529326008633E-05,0.000113936192065012,0.000230930469115265,0.000225059688091278,0.000219557448872365,0.000185262382728979,0.000339699996402487,0.000324621447362006,0.000997732975520194,0.00105143745895475,0.00188963836990297,0.00176707992795855,0.0058336528018117,0.00365453818812966,0.00630397349596024,0.00961178168654442,0.00779104419052601,0.00452956883236766,0.00797089282423258,0.00732040964066982,0.00679209502413869,0.00395043147727847,0.00197964231483638,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.20453330257442E-05,1.38198156491853E-05,9.7875463325181E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.90721004603256E-07,-9999,-9999,-9999,2.33031073548773E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.41914790422015E-08,2.96399740307152E-08,3.92209500432728E-08,-9999,5.70779491226858E-07,1.78814877926925E-06,2.18370564653014E-06,2.34755134442821E-06,3.40559608957847E-06,1.15059547169949E-05,2.73965815722477E-05,4.77388020954095E-05,0.000148172999615781,0.000515602121595293,0.000958431453909725,0.00176828377880156,0.00100778706837445,0.00207812571898103,0.000961582933086902,0.00103967543691397,0.00129677425138652,0.00195006025023758,0.00103212369140238,0.00180089403875172,0.0057216314598918,0.0018594276625663,0.00109879137016833,0.00350410211831331,0.00698272697627544,0.00732638733461499,0.00982775632292032,0.0103060081601143,0.00513780536130071,0.00810111314058304,0.00715263560414314,0.00537846889346838,0.00210671778768301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.04267300129868E-05,4.46671037934721E-05,2.21183054236462E-05,8.43703037389787E-06,4.6433547140623E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.2280893214629E-07,5.48358286778239E-07,-9999,-9999,4.26780189854981E-07,4.92746664804145E-07,-9999,-9999,5.65569109767239E-07,3.35997071942984E-07,-9999,-9999,-9999,-9999,-9999,3.71226349216158E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.36733865474525E-06,1.15848934001406E-05,1.52341945067747E-05,1.35128693727893E-05,1.63527729455382E-05,4.3158699554624E-05,0.000102473786682822,0.000364671665010974,0.000666219042614102,0.00121184764429927,0.00186354108154774,0.00228707655332983,0.00346977729350328,0.00287350127473474,0.00296968012116849,0.00211216090247035,0.00145115319173783,0.00282125966623425,0.00188543077092618,0.00108240463305265,0.000800538167823106,0.00147259666118771,0.00171496230177581,0.00209676660597324,0.00388187495991588,0.00902706850320101,0.00367883546277881,0.00439298199489713,0.00868471432477236,0.00694856559857726,0.00697021372616291,0.00793137773871422,0.00395603524520993,0.0050556929782033,-9999,-9999,-9999,-9999,-9999,0.00041565636638552,0.000351209513610229,0.000239496905123815,0.00015464035095647,8.33745434647426E-05,2.99325165542541E-05,2.0007561033708E-05,6.20824721409008E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.44327103157593E-07,2.40014855990012E-07,-9999,-9999,-9999,-9999,7.8751992305115E-07,7.82462052484334E-07,7.78540652390802E-07,7.98125938672456E-07,9.83997438197548E-07,8.06814568932168E-07,1.05835545127775E-06,1.1980262115685E-06,1.29500199363974E-06,1.04735079275997E-06,-9999,8.1437804055895E-07,5.91333957800089E-07,-9999,-9999,1.13420435354783E-06,8.69667360348103E-07,6.18379146999359E-07,4.47719230578514E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.24350981423049E-06,1.92723155123531E-06,-9999,-9999,-9999,0.000106954154034611,0.000104280479718,8.51084623718634E-05,0.000188999401871115,0.000409425963880494,0.000477931171189994,0.000855964492075145,0.00242067663930357,0.00296876928769052,0.00270986906252801,0.00315894256345928,0.00379881239496171,0.00320447096601129,0.00364375114440918,0.0021177118178457,0.00177038996480405,0.00189751083962619,0.00113680434878916,0.000305084278807044,0.000819900073111057,0.00154778547585011,0.00174984778277576,0.0027354781050235,0.00304876058362424,0.00352063542231917,0.0063182688318193,0.00659764651209116,0.00886066816747189,0.00832951068878174,0.00720265135169029,0.00819564983248711,0.00784880854189396,0.00365156773477793,0.00265136151574552,0.00274577410891652,0.0022084133233875,0.00198550429195166,0.00165431143250316,0.00212003965862095,0.0010419572936371,0.000634337426163256,0.000354137358954176,0.000225863012019545,8.6605257820338E-05,6.33637318969704E-05,2.70125146926148E-05,1.10598120954819E-05,5.77883884034236E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
