"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Red snapper (1-2yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.74754051538184E-05,4.9408645281801E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000143377095810138,0.00014903795090504,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.43947278938595E-09,8.03664867987663E-09,1.64677089742327E-08,3.04128100481194E-08,-9999,-9999,-9999,-9999,-9999,0.000226634059799835,0.000326353503623977,0.000376028241589665,0.000440783420344815,0.000491205602884293,0.000610253890044987,0.000825633469503373,0.00108607194852084,0.00102119857911021,0.000529503740835935,0.00073149724630639,0.000733288063202053,-9999,-9999,0.00112404278479517,0.00177159113809466,0.00181328784674406,0.00238247821107507,0.00360802048817277,0.00347695779055357,0.00337791070342064,0.00374904507771134,0.00318889296613634,0.00216620159335434,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.85609855158009E-09,6.2837908210156E-09,1.30409576470925E-08,3.02413774022625E-08,8.00385038246532E-08,2.84546018747278E-07,1.14948022655881E-06,-9999,8.46224866108969E-05,0.00021270927391015,0.00038360696635209,0.000804160663392395,0.00111726380418986,0.00133325101342052,0.000973180052824318,0.00155102927237749,0.00209637242369354,0.00253796787001193,0.00241724262014031,0.00201412942260504,0.00186672399286181,0.00148149486631155,0.00160442432388663,0.00248560425825417,0.00317616574466228,0.00438941502943635,0.00605104165151715,0.00655978359282017,0.00640597939491272,0.00674923742190003,0.00650845468044281,0.00541131198406219,0.00655615422874689,0.00622451212257147,0.00508646108210087,0.00318028125911951,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.38158806406841E-09,9.44713107742245E-09,2.00637533254167E-08,4.63793909943888E-08,1.40085788302713E-07,9.97377242129005E-07,5.62839341000654E-06,2.5396318960702E-05,7.87191165727563E-05,0.000263515277765691,0.000746412377338856,0.0012501438613981,0.00230117049068213,0.00291985576041043,0.00424457434564829,0.00523742567747831,0.00485978135839105,0.00508263148367405,0.00544616207480431,0.00484730629250407,0.00438016606494784,0.00395746342837811,0.00439806235954165,0.00577416783198714,0.00577308004721999,0.00734183704480529,0.00752359582111239,0.00912795960903168,0.00564128393307328,0.00704490439966321,0.00815649051219225,0.00788212940096855,0.00658996682614088,0.00721246842294931,0.00716883968561888,0.00640823086723685,0.00388869061134756,0.00278417370282114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00129295862279832,0.00109699019230902,0.000824482704047114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000326656067045406,-9999,-9999,-9999,0.000543847912922502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.92633731188607E-08,3.26090976443538E-08,5.8874807251641E-08,-9999,1.15459379230742E-05,3.33960342686623E-05,7.95094092609361E-05,0.000241265923250467,0.000649028865154833,0.00133306300267577,0.0019520198693499,0.00234966329298913,0.00483837258070707,0.00784293562173843,0.00773166446015239,0.00722872465848923,0.00779029401019216,0.00835683103650808,0.00699674850329757,0.00760075123980641,0.00770167354494333,0.00818224623799324,0.00706399464979768,0.00833547208458185,0.00776196038350463,0.0041308137588203,0.00263141794130206,0.00379964266903698,0.00495321862399578,0.00587585847824812,0.0048878276720643,0.00582421803846955,0.00723621156066656,0.00690430449321866,0.00620820466428995,0.00511541357263923,0.00282086082734168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.002460568677634,0.00265986146405339,0.00148100918158889,0.00104918726719916,0.000868287112098187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000553392572328448,0.000711068976670504,-9999,-9999,0.000960618199314922,0.000966466206591576,-9999,-9999,0.000739589566364884,0.000695730210281909,-9999,-9999,-9999,-9999,-9999,0.000200545589905232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.04490079340758E-05,5.87899485253729E-05,0.000114394060801715,0.000233195416512899,0.000517247419338673,0.00084958755178377,0.00134585413616151,0.0017072333721444,0.00388389988802373,0.00782394595444202,0.00814768951386213,0.00724519602954388,0.00701493117958307,0.00821170210838318,0.00768541777506471,0.00765150412917137,0.0079732732847333,0.00748841976746917,0.00750594679266214,0.00553103815764189,0.00288723316043615,0.00129841570742428,0.000847140501718968,0.00163771212100983,0.00312924827449024,0.00406345771625638,0.00382894929498434,0.00419409293681383,0.00504848640412092,0.00575131084769964,0.00702274078503251,0.00672296155244112,0.00471455371007323,0.00265808659605682,-9999,-9999,-9999,-9999,-9999,0.00245943828485906,0.00245991162955761,0.00387303996831179,0.00376135692931712,0.00286359805613756,0.00211241375654936,0.00156870379578322,0.00101659225765616,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000541340152267367,0.00060040078824386,-9999,-9999,-9999,-9999,0.00119303551036865,0.00120643025729805,0.00114531081635505,0.00195569614879787,0.00160468160174787,0.00194961694069207,0.00211162818595767,0.00247208424843848,0.00205212202854455,0.0011859544320032,-9999,0.00069231929956004,0.000891853414941579,-9999,-9999,0.000510260462760925,0.000243530492298305,0.000116756520583294,5.36345287400763E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000338057230692357,0.000265499606030062,-9999,-9999,-9999,0.00030324817635119,0.000358713354216889,0.000413607893278822,0.00060574064264074,0.000912250543478876,0.00123527506366372,0.00186154770199209,0.00469464482739568,0.00818774569779634,0.00850565079599619,0.00731726130470634,0.00668193306773901,0.00695913936942816,0.00752418814226985,0.00596593366935849,0.00667703477665782,0.0062599997036159,0.00482211029157043,0.00128979387227446,0.000819526554550976,0.000354872347088531,0.000216379208723083,0.000426741811679676,0.00098244019318372,0.00197475915774703,0.00306139863096178,0.00432133814319968,0.00483471574261785,0.00619855569675565,0.00757744675502181,0.00823965296149254,0.00603408133611083,0.00354081974364817,0.00140153442043811,0.00113769108429551,0.000570717442315072,0.00122594798449427,0.00346685131080449,0.00470224022865295,0.00504936184734106,0.00630520703271031,0.00542008737102151,0.00416805408895016,0.0033999930601567,0.00299370172433555,0.00186958734411746,0.00112062657717615,0.000903446867596358,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
