"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Red snapper (3+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00026722569600679,0.000269848707830533,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000803695933427662,0.000811096513643861,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.41233327255463E-08,3.04185725497064E-08,6.88616381694374E-08,1.61609747806324E-07,-9999,-9999,-9999,-9999,-9999,0.000714317546226084,0.00119943846948445,0.0016768544446677,0.00180054840166122,0.00203217472881079,0.00252021965570748,0.00257968553341925,0.00294040096923709,0.00279739242978394,0.00231002038344741,0.00238667754456401,0.00207116361707449,-9999,-9999,0.00252546858973801,0.00292930635623634,0.00294578308239579,0.00316376029513776,0.00435993541032076,0.00479870662093163,0.00464160228148103,0.00501315528526902,0.00426165200769901,0.00290788430720568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.29291768402595E-08,2.77046385832591E-08,6.26845704232437E-08,1.577468395908E-07,4.8112815420609E-07,1.91601952792553E-06,6.99995234754169E-06,-9999,0.000310539558995515,0.000728300423361361,0.00145246519241482,0.00244571128860116,0.00366945099085569,0.00399423716589808,0.00355167244561017,0.00448454031720757,0.00413640309125185,0.00535462563857436,0.0050139925442636,0.004043682012707,0.00394432106986642,0.00290466123260558,0.00242280191741884,0.00373982707969844,0.00476386910304427,0.00744580198079348,0.0117071056738496,0.0188821982592344,0.0145197287201881,0.0163964424282312,0.0173481516540051,0.0108462134376168,0.0226058475673199,0.016985796391964,0.00593050802126527,0.00337527203373611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.56094931927464E-08,5.5198892567887E-08,1.30535880771276E-07,3.41620392418918E-07,1.17452532322204E-06,6.13466636423254E-06,3.40613769367337E-05,0.000158865150297061,0.000464150332845747,0.00126432033721358,0.00268871802836657,0.00456968462094665,0.00849728193134069,0.0114092221483588,0.0132131921127439,0.0142358541488647,0.00922394078224897,0.0115039916709065,0.0144413989037275,0.00955424271523952,0.00893311016261578,0.00705714151263237,0.00646523293107748,0.0154325943440199,0.0145091479644179,0.0220767334103584,0.018049281090498,0.0275258868932724,0.0350632779300213,0.0311699584126472,0.0231925044208765,0.026862284168601,0.0223495103418827,0.0246079564094543,0.0243837535381317,0.0186132453382015,0.00674433773383498,0.00264238659292459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00429651234298944,0.00369689939543605,0.00250123953446746,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00131546519696712,-9999,-9999,-9999,0.00195840070955455,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.58396430708308E-08,1.47973224784437E-07,3.58773149855551E-07,-9999,6.59305660519749E-05,0.000219495806959458,0.000509059696923941,0.00131962657906115,0.00279867765493691,0.00471066636964679,0.00745884701609612,0.00576799781993032,0.0120180444791913,0.0341723896563053,0.0308438427746296,0.0227675121277571,0.0290231145918369,0.0298211444169283,0.0196004845201969,0.0239696428179741,0.0301982499659061,0.0268769655376673,0.014737457036972,0.0205749832093716,0.0305577758699656,0.0384213626384735,0.0102347489446402,0.0244672279804945,0.0262379441410303,0.0223250091075897,0.0186935681849718,0.0205237343907356,0.0209404863417149,0.0271709132939577,0.0174856632947922,0.0106743751093745,0.00304864882491529,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00726511050015688,0.00807418953627348,0.0039226496592164,0.00335878296755254,0.00241246400400996,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0021890162024647,0.00254527665674686,-9999,-9999,0.00329363741911948,0.00334651605226099,-9999,-9999,0.00311652245000005,0.00205398048274219,-9999,-9999,-9999,-9999,-9999,0.000709151558112353,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000121842385851778,0.000408247113227844,0.000466052035335451,0.00103432475589216,0.00200900319032371,0.00332982558757067,0.00414584670215845,0.00367628433741629,0.00566552206873894,0.0218232460319996,0.0320262797176838,0.0264875758439302,0.0218481998890638,0.0273955259472132,0.0215596128255129,0.0220601558685303,0.0261971391737461,0.0234964173287153,0.0171820670366287,0.0376282967627048,0.0222872085869312,0.000386827945476398,0.000336122466251254,0.0022991020232439,0.0209434758871794,0.0241419784724712,0.0160534605383873,0.0142246624454856,0.0135904354974627,0.0198928099125624,0.0243826638907194,0.0213298890739679,0.0103182904422283,0.00372201716527343,-9999,-9999,-9999,-9999,-9999,0.00537091121077538,0.00497691659256816,0.0102425497025251,0.0114851770922542,0.00740910461172462,0.00525465328246355,0.00373661774210632,0.00298038660548627,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00192299101036042,0.00204855273477733,-9999,-9999,-9999,-9999,0.00362808932550251,0.0036900732666254,0.00382623309269547,0.0052353129722178,0.00444538844749331,0.00559717509895563,0.00527934264391661,0.00728417700156569,0.00483355671167374,0.00406445236876607,-9999,0.00266698678024113,0.00251928134821355,-9999,-9999,0.00153840053826571,0.000937870529014617,0.000537241692654788,0.000314428558340296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000969423272181302,0.00153348851017654,-9999,-9999,-9999,0.0013928150292486,0.000843757065013051,0.00116074434481561,0.00197145575657487,0.00259528285823762,0.00302353012375534,0.00338713824748993,0.00720765581354499,0.020195884630084,0.0315089859068394,0.0258684027940035,0.0204253382980824,0.0190646983683109,0.0269635245203972,0.0203409120440483,0.0173597075045109,0.0160486176609993,0.0257614888250828,0.00162082549650222,0.000394558446714655,0.000325983855873346,0.000260983477346599,0.000268580013653263,0.00094693130813539,0.00897316075861454,0.0204550810158253,0.0156175456941128,0.0137509452179074,0.0225586574524641,0.0282856170088053,0.0298479367047548,0.0193997640162706,0.00627671973779798,0.00259718671441078,0.00230765109881759,0.00196171691641212,0.00230103870853782,0.00646966369822621,0.0117197008803487,0.0136716505512595,0.019631726667285,0.0152644133195281,0.0120341023430228,0.00927537027746439,0.00811493676155806,0.00462339445948601,0.00324121676385403,0.00219341483898461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
