"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Reef invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08850720437204E-07,1.02255157230502E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.40518562072612E-07,4.7246982148863E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.66731785056618E-07,3.36313917159714E-07,1.90329885185747E-07,1.31831384919678E-07,-9999,-9999,-9999,-9999,-9999,9.31155597072575E-09,2.25304965795203E-08,2.97940800919605E-08,9.64855644269846E-08,2.57279339166416E-07,1.51891799760051E-06,2.97566612061928E-06,5.06180504089571E-06,4.88996602143743E-06,2.80471454061626E-06,2.8781425953639E-06,2.60983756561473E-06,-9999,-9999,5.42774478162755E-06,2.4379082788073E-06,5.84176351736687E-09,1.40336531284646E-09,1.92136280219302E-08,5.56798802620051E-08,1.02667769397158E-07,1.32955406684232E-07,3.06599083899073E-08,1.88865856287634E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.66690061987174E-07,3.34207783225793E-07,1.27783735592857E-07,5.5285642730496E-08,2.12313864267344E-08,4.1475325396334E-09,1.29597144127302E-09,-9999,7.95426280397749E-10,1.91173743502304E-09,7.02454583390022E-09,2.24776766089008E-08,1.35554600433352E-07,3.42856026236404E-07,2.03744207283307E-06,7.03634896126459E-06,1.42030157803674E-05,2.73114656010875E-05,2.98782742902404E-05,2.47331336140633E-05,2.01278344320599E-05,1.54686931637116E-05,2.30282876145793E-05,2.91116193693597E-05,1.46505708471523E-05,7.87115538969374E-07,9.33487285692536E-07,2.97933706860931E-06,9.57856173045002E-06,2.45567935053259E-05,3.64342267857864E-05,1.2585361218953E-05,2.31090016313829E-05,5.57360363018233E-06,1.49689378758922E-06,2.12209926075957E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.85415546588774E-07,1.54338806623855E-07,3.30695613115495E-08,1.1937611787971E-08,4.4603223336992E-09,2.92010171598633E-09,9.30423016409776E-10,1.24039922777541E-09,1.11344722331097E-09,2.68210187392981E-09,1.13290408165767E-08,1.29117779579246E-07,9.07169464881008E-07,9.47123771766201E-06,4.57311471109279E-05,0.000182106756255962,0.000272399542154744,0.000502193404827267,0.000753328786231577,0.000507992110215127,0.000392183195799589,0.000266509276116267,0.000248918629949912,0.000369123241398484,3.48051216860767E-05,1.76098747033393E-05,1.03118409242597E-05,4.97060609632172E-05,0.00011292803537799,0.000193858752027154,0.000188277146662585,0.000189716389286332,4.05794889957178E-05,2.69474512606394E-05,1.31135129777249E-05,6.38781284578727E-06,9.93295770967961E-07,3.96046395678695E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.47234356215631E-08,4.85398992111641E-08,3.22540820718586E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.51675613682778E-09,-9999,-9999,-9999,4.54154802653761E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.68258773370189E-09,3.52626416955104E-09,1.70533875909484E-09,-9999,5.28265986510235E-10,1.60344559851922E-09,1.48311007919233E-09,2.70866751250765E-09,2.7595293161653E-08,1.44446374861218E-07,1.61802313414228E-06,6.44103374725091E-06,9.34706695261411E-05,0.000888202805072069,0.00168299418874085,0.00179240177385509,0.00228394172154367,0.00273655913770199,0.00179245101753622,0.00135966122616082,0.00108545832335949,0.000542155175935477,0.000132362445583567,0.000127313236589544,0.000183549229404889,0.000166821831953712,1.5681749232499E-07,4.33286113548093E-05,0.00053676130482927,0.000463396456325427,0.000102680045529269,3.81248864869121E-05,2.26526735787047E-05,1.8398188331048E-05,5.76910906602279E-06,6.72886585562082E-07,2.21098748198756E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.10651298416087E-08,1.66450661254203E-07,3.18050012992899E-08,4.65919498537914E-08,7.98958907921588E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.57006102247715E-09,8.59545146170149E-09,-9999,-9999,2.26218439536297E-08,4.37339444658846E-08,-9999,-9999,3.10814805004611E-08,7.23952409131812E-09,-9999,-9999,-9999,-9999,-9999,3.37091576874116E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.40819078620069E-09,3.92520105307881E-09,2.42904985015002E-09,3.87790821676504E-09,1.86073858543523E-08,1.83318732638327E-07,7.09504490714608E-07,3.1533647870674E-06,3.43746105500031E-05,0.000656512565910816,0.00188904313836247,0.00197909120470285,0.000985440798103809,0.000395422364817932,0.00027936531114392,0.000276365026365966,0.00032048427965492,0.00046162519720383,0.000461154268123209,0.00204623374156654,2.68138483079383E-05,4.66933380849355E-10,4.97619272177285E-11,8.49651293766129E-10,3.08482558466494E-05,0.000318133912514895,0.000110939785372466,4.09645654144697E-05,2.70298569375882E-05,4.3593616283033E-05,1.98306934180437E-05,3.16812088385632E-06,3.22776315897499E-07,1.03627089131919E-08,-9999,-9999,-9999,-9999,-9999,1.21554517562572E-08,2.64491077928142E-08,3.31744246295784E-07,7.86219175097358E-07,2.5228587219317E-07,1.60533460302759E-07,1.76585714939392E-07,1.49806894000903E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.67492517025403E-09,5.102728461992E-09,-9999,-9999,-9999,-9999,3.41142154525187E-08,8.28188078116909E-08,1.3818929289755E-07,4.2215916096211E-07,4.27976573291744E-07,4.66803498966328E-07,6.3970202290875E-07,1.59877595251601E-06,9.37450863602862E-07,3.43973596272917E-07,-9999,6.98707367519091E-08,4.76430983553655E-08,-9999,-9999,1.22641354849407E-08,4.92301222010383E-09,2.17184026318762E-09,1.38643174718567E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.11911990785529E-09,3.17105341984814E-09,-9999,-9999,-9999,9.92372761743354E-09,1.10568123545818E-08,1.14650262617033E-08,2.69432458566143E-08,1.13989443661922E-07,4.5521110791924E-07,1.50020889577718E-06,8.93430842552334E-06,6.97882715030573E-05,0.000160633033374324,0.000192040271940641,0.000140348332934082,0.000117271476483438,0.000223870913032442,0.000201011120225303,0.000196342560229823,0.000358890974894166,0.00154217891395092,4.09109590648882E-09,2.01983083036872E-10,8.08852377437441E-12,5.32156350235846E-12,1.00306160946695E-11,3.01438735084147E-10,1.55266690171629E-07,5.5079934099922E-05,8.77904894878156E-05,6.29850910627283E-05,7.89953555795364E-05,4.86874196212739E-05,1.10697756099398E-05,1.27104021885316E-06,1.0907843517316E-08,2.08862607764537E-10,4.91281633430152E-11,4.76928635473328E-11,3.18216369921132E-10,2.1805842465028E-08,2.04987770757725E-07,1.2217481071275E-06,5.50786216990673E-06,3.71773262486386E-06,8.87685871475696E-07,4.43555705942345E-07,3.34609524088592E-07,1.88673666912109E-07,2.14968693512674E-07,1.83854979241005E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
