"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Reef piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.35896230960498E-06,6.23841242486378E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.04512395814527E-05,2.90704501821892E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.91020852375368E-07,8.65680533479463E-07,9.25418760289176E-07,9.57305360316241E-07,-9999,-9999,-9999,-9999,-9999,2.42275291384431E-05,0.000130358152091503,0.000169515871675685,0.000203120798687451,0.00017856563499663,0.000230756239034235,0.000205613861908205,0.000177009918843396,0.000153240209328942,0.000122323675896041,0.000110678352939431,7.65198128647171E-05,-9999,-9999,3.79001794499345E-05,3.22081505146343E-05,2.79512842098484E-05,4.54118671768811E-05,0.000126708066090941,0.000130653454107232,0.000177358931978233,0.000284005625871941,0.000140966396429576,4.53563006885815E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.03504804025579E-07,9.17315048809542E-07,1.17881995720381E-06,1.34670733586972E-06,1.38683253680938E-06,1.68684016443876E-06,1.96623159354203E-06,-9999,9.65345134318341E-06,2.20460842683678E-05,0.000110463624878321,0.000197164961718954,0.000266573508270085,0.000318800477543846,0.00036777404602617,0.000344004540238529,0.000311652402160689,0.000371555535821244,0.000352262024534866,0.000274433987215161,0.00020938269153703,0.000127821607748047,0.000110266308183782,0.00012468479690142,0.000149562925798818,0.000189228929230012,0.000439267867477611,0.000597300473600626,0.000739927752874792,0.0010890654521063,0.00152563489973545,0.000732198066543788,0.00139157706871629,0.000734914618078619,0.00017053700867109,3.15556935674977E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.82460653883754E-07,1.18124773962336E-06,2.14536771636631E-06,2.56877297033498E-06,2.53291614171758E-06,2.87111720354005E-06,3.11394364871376E-06,7.22838331057574E-06,1.38439390866552E-05,9.01218809303828E-05,0.000159581089974381,0.000251313496846706,0.000429943902418017,0.00102288054767996,0.00151199917308986,0.00227548414841294,0.00190769333858043,0.00273208320140839,0.00359967304393649,0.0021873009391129,0.00148810527753085,0.000914108590222895,0.000879499479196966,0.00127599621191621,0.000814933911897242,0.000736589368898422,0.000383629841962829,0.000734175322577357,0.000735015550162643,0.00137896439991891,0.0017024198314175,0.00187846599146724,0.00065178144723177,0.000674301816616207,0.000470948900328949,0.000301746040349826,7.72926068748347E-05,1.05930530480691E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000107369654870126,0.000109820866782684,4.90575621370226E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.25869475293439E-05,-9999,-9999,-9999,5.99681588937528E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.47958939528326E-06,3.59069076694141E-06,2.84687439489062E-06,-9999,4.25365624323604E-06,1.14863732960657E-05,1.66125191753963E-05,7.00470845913514E-05,0.000119404496217612,0.000173552180058323,0.000330732320435345,0.000273861340247095,0.00169028411619365,0.00490129459649324,0.00486533436924219,0.00416489643976092,0.00514298770576715,0.00653351563960314,0.00397559953853488,0.00298409862443805,0.00303131225518882,0.00318338652141392,0.00149407028220594,0.00102796405553818,0.000817221938632429,0.000480902439448982,7.25233758203103E-06,0.000178112066350877,0.00128630886320025,0.00132796342950314,0.000676689203828573,0.000495922926347703,0.000400504563003778,0.000361220154445618,0.000193435786059126,9.41280013648793E-05,1.29794634631253E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000225127529120073,0.000282417109701782,7.83160285209306E-05,5.89864866924472E-05,4.52086060249712E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.95028608990833E-05,8.88383510755375E-05,-9999,-9999,0.000130606742459349,0.000118815616588108,-9999,-9999,4.66497112938669E-05,2.35936968238093E-05,-9999,-9999,-9999,-9999,-9999,5.91144998907112E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.85512532072607E-06,1.65497804118786E-05,1.88221783901099E-05,5.67274837521836E-05,9.86504091997631E-05,0.000198123801965266,0.000177636378793977,0.000218333705561236,0.000722907308954746,0.00347859202884138,0.00397928524762392,0.00327333016321063,0.00267004780471325,0.00331553351134062,0.00256585841998458,0.00229393457993865,0.00276475120335817,0.00357570638880134,0.00255200522951782,0.00294973864220083,9.99669209704734E-05,5.4319428954841E-09,1.55476120866638E-09,7.71449322201079E-08,0.00014170678332448,0.000815046718344092,0.000506206066347659,0.000423047022195533,0.00039297339390032,0.00040432161767967,0.000328446389175951,0.000195911765331402,9.39302990445867E-05,1.96865166799398E-05,-9999,-9999,-9999,-9999,-9999,0.000106093313661404,9.79539618128911E-05,0.000336856493959203,0.000594438053667545,0.000180819304659963,0.000131353503093123,9.487565694144E-05,5.21252950420603E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.36603536905022E-05,7.30134415789507E-05,-9999,-9999,-9999,-9999,0.000137661816552281,0.000145760452141985,0.000174180648173206,0.000282120425254107,0.000300114101264626,0.000245121598709375,0.000208970843232237,0.000235893690842204,0.000161636475240812,8.21849462226965E-05,-9999,0.000110972519905772,0.000129265594296157,-9999,-9999,0.000118743948405609,7.10948152118362E-05,4.32085980719421E-05,1.93682590179378E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.74468652100768E-06,5.63633011552156E-06,-9999,-9999,-9999,0.00015635164163541,0.000114421105536167,8.07941178209148E-05,9.94503716356121E-05,0.00014965383161325,0.00021376958466135,0.000221403053728864,0.00111581885721534,0.00269963685423136,0.00271638412959874,0.00237316661514342,0.00201005768030882,0.00195137248374522,0.00292243808507919,0.00220957538112998,0.00210360228084028,0.0022494459990412,0.00306321494281292,1.42393162150256E-07,2.47493447957936E-09,7.70005934014328E-11,2.43364425833725E-11,3.53352264115259E-10,5.1673216816539E-09,5.11804410052719E-06,0.000271203665761277,0.000647304754238576,0.000687216874212027,0.000753147003706545,0.000572079559788108,0.000357468175934628,0.000187970334081911,3.21295083267614E-05,1.3218982530816E-05,1.43788320201566E-05,1.63521490321727E-05,2.41420075326459E-05,0.000118277472211048,0.000318907346809283,0.000499032845254987,0.00162253342568874,0.00133162422571331,0.000643257983028889,0.000366464082617313,0.000216318527236581,0.000113665024400689,7.25302452337928E-05,5.06784563185647E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
