"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Sardine-herring-scad

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.07097136398716E-09,7.00898272754102E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.79609767059219E-08,2.28786305456197E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.32462087021226E-14,3.35706973558867E-14,8.07189737142902E-14,1.90010130567998E-13,-9999,-9999,-9999,-9999,-9999,2.18555684661226E-09,5.12174125333331E-09,1.32116344531141E-08,3.75366973059954E-08,5.67764715242447E-08,1.174992192432E-07,2.57196006714366E-07,2.87073902427437E-07,2.83990459593042E-07,9.38996649324508E-08,3.29497197526507E-07,4.17284809373086E-07,-9999,-9999,5.58559065666486E-07,5.33091395027441E-07,7.38155492285841E-08,6.09135284435069E-08,8.05023830707796E-07,1.62605942932714E-06,1.51774008827488E-06,1.3637258007293E-06,4.15402183762126E-07,4.0593246097842E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3091155085963E-14,3.63315504254853E-14,1.18037700382219E-13,3.01973344333378E-13,7.80409645326913E-13,2.52597682354194E-12,1.13790244588019E-11,-9999,1.13329519380034E-10,8.99405994125857E-10,3.33684191389239E-09,1.35961011338281E-08,3.97046271416457E-08,1.49493786238963E-07,1.64070740993338E-07,3.05195840155648E-07,7.34839375127194E-07,1.47377784287528E-06,1.28709211821842E-06,1.00096485766699E-06,1.51155234107136E-06,6.64950960072019E-07,2.1886189642828E-06,4.00037743020221E-06,6.06587764195865E-06,1.20732011055225E-05,2.90633215627167E-05,5.85022426093929E-05,7.33146516722627E-05,7.90564517956227E-05,7.04002668499015E-05,5.81179228902329E-05,4.84155971207656E-05,3.43648789566942E-05,1.02575722848997E-05,3.10626751343079E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.30371241973569E-14,1.18743475338925E-13,6.95543937116044E-13,1.81796765141851E-12,4.40493518397145E-12,1.1008882173924E-11,2.92522152334218E-11,6.86240300695751E-11,1.7960395670702E-10,1.81688941669478E-09,7.22654425189262E-09,2.30176198101617E-08,2.9325411787795E-07,2.07387688533345E-06,9.00033228390384E-06,2.2558413547813E-05,2.72741854132619E-05,5.02222719660494E-05,6.90929664415307E-05,4.33345448982436E-05,4.63219694211148E-05,4.47994752903469E-05,5.08772100147326E-05,9.11164897843264E-05,8.57147679198533E-05,0.000106400388176553,0.000172791027580388,0.000298269849736243,0.000338914222083986,0.000350436370354146,0.000276990351267159,0.000202513314434327,0.000141323020216078,0.000100573219242506,7.997578359209E-05,6.04268680035602E-05,2.80706353805726E-05,2.54216342909785E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.11579675791063E-09,6.24704110663288E-09,6.36944719190069E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.41438449630505E-09,-9999,-9999,-9999,1.64383155976111E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.93420864462646E-13,9.13169713456785E-13,2.13852048049079E-12,-9999,4.51575027371476E-11,9.54798878849417E-11,2.3271909399547E-10,2.00234318015191E-09,9.26008603130413E-09,4.41984653321015E-08,2.04794730507274E-07,3.60199237547931E-07,1.17785120892222E-05,8.87929345481098E-05,0.000147497106809169,0.000167303966009058,0.000165234043379314,0.000144492674735375,0.000132012908579782,0.000143500728881918,0.000149845509440638,0.000146129183121957,0.000187992074643262,0.000331526709487662,0.000633468909654766,0.000835654092952609,0.000308489776216447,0.000752767256926745,0.000776771921664476,0.000568953691981733,0.000368870736565441,0.000221630092710257,0.00014028639998287,0.000101161531347316,6.6899745434057E-05,3.40132028213702E-05,2.39717496697267E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.49617385147849E-08,3.48792461579706E-08,1.49000483062878E-08,7.56180895677971E-09,8.63256310879024E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.7657390216641E-08,1.71913061564055E-08,-9999,-9999,3.49938957810991E-08,4.13781009456216E-08,-9999,-9999,3.26949560758294E-08,5.65993865109249E-08,-9999,-9999,-9999,-9999,-9999,7.19990622677358E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.69223651389639E-11,2.00039582121114E-10,7.53471618430979E-10,2.16767426231002E-09,5.65080826575581E-09,2.07507664384821E-08,7.10261787162381E-08,1.88326410466289E-07,7.96498898125719E-06,0.0001064844764187,0.000187931174878031,0.000215539999771863,0.000197722823941149,0.000160276656970382,0.000146983438753523,0.000155919478856958,0.00018211524002254,0.000259451073361561,0.000461001822259277,0.000795547035522759,0.000768599333241582,2.26732055352841E-08,8.44959288315295E-07,0.000105367951618973,0.000861871696542948,0.00100652279797941,0.000709096144419163,0.000401060504373163,0.000229056066018529,0.00015241838991642,9.86003360594623E-05,5.56406848772895E-05,2.13964412978385E-05,1.45622118452593E-06,-9999,-9999,-9999,-9999,-9999,5.15607077034019E-08,6.92926107603853E-08,1.13357600639574E-07,2.22134517002814E-07,1.09092574973602E-07,4.58847360107484E-08,2.0219662388854E-08,8.20335088747015E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.19633669426867E-09,3.93639032481019E-09,-9999,-9999,-9999,-9999,4.08318747702197E-08,3.92347345723465E-08,4.36414566706844E-08,2.43425802182173E-07,1.240177738282E-07,1.20449968221692E-07,2.18054211131857E-07,5.63833850719675E-07,2.11194318922026E-07,1.24047787153359E-07,-9999,9.5768037056132E-08,1.18130593307342E-07,-9999,-9999,1.05053201693295E-08,3.14919290644866E-09,1.20031051764613E-09,5.53825096893945E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.46427292302809E-10,2.92503049559301E-10,-9999,-9999,-9999,9.68766178388591E-10,2.47127029950889E-09,3.1373461606421E-09,6.77106104518543E-09,2.5676172299427E-08,5.82459698250659E-08,2.76417182476507E-07,1.13489659270272E-05,9.63252314249985E-05,0.000181862924364395,0.00021461107826326,0.000204564334126189,0.000183458090759814,0.000181938536115922,0.00021342613035813,0.000306561589241028,0.000562011206056923,0.00098694721236825,4.02701516577508E-05,2.19120313005305E-08,4.62806637457902E-09,9.39614874795325E-09,1.11939826297203E-07,2.92791119136382E-05,0.000574824400246143,0.000966927094850689,0.000637911609373987,0.000348994741216302,0.00020767621754203,0.000124916696222499,7.06338687450625E-05,3.66438507626299E-05,1.65638027738169E-06,2.65202544369458E-08,1.04471915562954E-08,3.46843276322062E-10,1.67427884889548E-08,2.66854414121553E-07,1.37659617394092E-06,2.20616220758529E-06,2.29217494052136E-06,1.35260302158713E-06,8.37558616240131E-07,3.86729908541383E-07,1.10885899573532E-07,1.37337554662054E-08,6.76346489925095E-09,7.65729968321693E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
