"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Sessile epifauna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.86574491939973E-06,8.0745667219162E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.82587131753098E-05,5.67593415325973E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.24796928907745E-05,7.13881599949673E-05,0.000100379831565078,6.22626976110041E-05,-9999,-9999,-9999,-9999,-9999,0.131879955530167,0.121839217841625,0.0951552465558052,0.0629073828458786,0.039846483618021,0.0385717116296291,0.0689460337162018,0.0701469853520393,0.0708639398217201,0.0631356313824654,0.0780371278524399,0.0664679408073425,-9999,-9999,0.0305376444011927,0.0264925733208656,0.00347139500081539,0.00279968790709972,0.00706887664273381,0.00792710669338703,0.00875286571681499,0.0100576458498836,0.00623884284868836,0.00330084795132279,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.59210571332369E-05,0.000116127710498404,0.000493392290081829,0.000727520091459155,0.000708033796399832,0.000406603387091309,0.000362873281119391,-9999,0.0582636259496212,0.115997537970543,0.12241580337286,0.10673026740551,0.0956418588757515,0.100884854793549,0.073600061237812,0.0693596601486206,0.0697897672653198,0.0599884875118732,0.0542487017810345,0.0622261352837086,0.0618829838931561,0.0528585165739059,0.0396703407168388,0.0342853851616383,0.0275940299034119,0.0151268998160958,0.00946707930415869,0.00917964335530996,0.0125336535274982,0.014742648229003,0.0147609738633037,0.013739169575274,0.0102231809869409,0.00890225358307362,0.0163809657096863,0.0133793139830232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.0495559561532E-05,0.000537781219463795,0.00773953925818205,0.00937050580978394,0.00804290361702442,0.00540839834138751,0.00229550432413816,0.000920627266168594,0.0105067500844598,0.111212000250816,0.106172621250153,0.0895138829946518,0.0745898112654686,0.0612765587866306,0.0517475381493568,0.0488577410578728,0.041551161557436,0.0360565893352032,0.0350135788321495,0.0338813029229641,0.0334358215332031,0.0342409014701843,0.0348196886479855,0.0330971442162991,0.0216220710426569,0.0201838109642267,0.0182529166340828,0.0179388131946325,0.000397833413444459,0.00370306661352515,0.0104710776358843,0.0112192006781697,0.0130172166973352,0.0163427833467722,0.0185501500964165,0.0137913897633553,0.0121414549648762,0.0166140589863062,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0225802175700665,0.0306463483721018,0.0373834073543549,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.144730493426323,-9999,-9999,-9999,0.136377245187759,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0137613723054528,0.0128706730902195,0.0108047649264336,-9999,0.00484483269974589,0.00496878102421761,0.0236866194754839,0.100448936223984,0.0929380431771278,0.0742981359362602,0.0571843311190605,0.0450268238782883,0.047253742814064,0.0508714094758034,0.0384005755186081,0.0337687768042088,0.0315270684659481,0.0294571593403816,0.0286082960665226,0.0288223568350077,0.0262085050344467,0.0215700082480907,0.0176288392394781,0.0236496105790138,0.00905532203614712,4.77338608106948E-06,2.38582629208395E-06,4.20805008616298E-06,4.09000313084107E-06,0.000100891251349822,0.000597402511630207,0.00653351983055472,0.0170711670070887,0.0169976204633713,0.0167563203722239,0.0113746635615826,0.0116547141224146,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0252030529081821,0.0262605138123035,0.0332474410533905,0.033878143876791,0.0281606558710337,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.125317364931107,0.147943362593651,-9999,-9999,0.136303603649139,0.132653519511223,-9999,-9999,0.104911349713802,0.108222581446171,-9999,-9999,-9999,-9999,-9999,0.111742995679379,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00631516613066196,0.0130306314677,0.0883207693696022,0.100260943174362,0.0871560871601105,0.0685152783989906,0.0639635100960732,0.0378162153065205,0.041837565600872,0.0490191429853439,0.0303616877645254,0.0196503512561321,0.0168369766324759,0.0148257054388523,0.0142533034086227,0.0145004726946354,0.0130881536751986,0.00992357172071934,0.0121708838269114,5.49237265659031E-05,3.23823337566864E-06,5.0075800572813E-07,4.44217050699081E-07,8.00474765583203E-07,1.87044645372225E-06,5.72671069676289E-06,3.95078086512513E-06,0.000303187611280009,0.00712017109617591,0.00938707962632179,0.0159480925649405,0.0152794159948826,0.0114937173202634,0.0108227198943496,-9999,-9999,-9999,-9999,-9999,0.0170380622148514,0.0200730096548796,0.0242881625890732,0.0279572401195765,0.0293398406356573,0.0257415007799864,0.0239613391458988,0.0226655770093203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.118279114365578,0.1307672560215,-9999,-9999,-9999,-9999,0.122716099023819,0.126616925001144,0.126301437616348,0.116400979459286,0.113233409821987,0.11817230284214,0.111794255673885,0.0961170867085457,0.0940459296107292,0.0977722033858299,-9999,0.126421019434929,0.123070187866688,-9999,-9999,0.141784101724625,0.119628548622131,0.0768523514270782,0.0437184721231461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1209587007761,0.121603786945343,-9999,-9999,-9999,0.111450232565403,0.096486784517765,0.084752731025219,0.0755267441272736,0.0650614872574806,0.0568441227078438,0.0312319621443748,0.0308304391801357,0.0341578274965286,0.0154805351048708,0.00857433676719666,0.00713691581040621,0.00832425057888031,0.00807522516697645,0.0074954554438591,0.00896358117461205,0.0081275412812829,8.08829354355112E-05,1.38928623982792E-06,3.73605757886253E-07,1.46509904652703E-07,1.50247032593143E-07,1.76974907617478E-07,2.84824807295081E-07,1.4195725270838E-06,5.16607315148576E-06,0.000118360279884655,0.00275988481007516,0.00653420807793736,0.0127354543656111,0.0189012680202723,0.0120576713234186,0.00725846411660314,0.00339159066788852,0.00282246293500066,0.000124511905596592,0.00494569074362516,0.0106503581628203,0.0152733195573092,0.0182085838168859,0.0225065536797047,0.0250436328351498,0.0270211976021528,0.0270615983754396,0.0245594922453165,0.0184476245194674,0.0130258649587631,0.0127619905397296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
