"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Shallow-water grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000665071536786854,0.000625846500042826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00106925645377487,0.00101216696202755,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.15415801360541E-07,3.17528190407756E-07,1.10556902654935E-06,1.61852960900433E-06,-9999,-9999,-9999,-9999,-9999,0.00283360690809786,0.00302890338934958,0.00299152778461576,0.00307450210675597,0.00332987331785262,0.00319429999217391,0.00293774250894785,0.00282680219970644,0.00278370687738061,0.00211575301364064,0.00197776593267918,0.00173116545192897,-9999,-9999,0.00452468963339925,0.00546454079449177,0.00328000728040934,0.0050069042481482,0.00709004839882255,0.00553653668612242,0.00551219470798969,0.00884503033012152,0.00544215785339475,0.00632930640131235,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.85641506190404E-08,3.05877904338558E-07,1.45485785196797E-06,4.0616255319037E-06,5.71688224226818E-06,1.06431025415077E-05,1.10591963675688E-05,-9999,0.000458419701317325,0.0012433921219781,0.00231615640223026,0.00340875959955156,0.00446966197341681,0.00478404155001044,0.00422641495242715,0.00490499613806605,0.00498873041942716,0.00592629890888929,0.00562825379893184,0.00430681509897113,0.00324094807729125,0.00227450230158865,0.00431878725066781,0.00461763376370072,0.00407548528164625,0.0041964459232986,0.00549662858247757,0.00591761711984873,0.00564630422741175,0.00596923055127263,0.00586373033002019,0.00485638529062271,0.00580964144319296,0.00458545656874776,0.00286440388299525,0.00166590185835958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.51922009195005E-07,6.93908816629119E-07,4.44820807388169E-06,1.16362998596742E-05,2.09051795536652E-05,2.08493838727009E-05,1.86281504284125E-05,0.000107740554085467,0.000352001370629296,0.00126994890160859,0.00277359341271222,0.00481375167146325,0.00673664826899767,0.00751759484410286,0.0092946495860815,0.0110460054129362,0.00962354801595211,0.0109958257526159,0.0111747542396188,0.00967320427298546,0.00774320494383574,0.00660908035933971,0.00624171737581491,0.00709247635677457,0.0063997795805335,0.00573716219514608,0.00430410215631127,0.00505148433148861,0.00148400908801705,0.0032591326162219,0.00434273248538375,0.00464403443038464,0.00327588990330696,0.00416604289785028,0.0031205948907882,0.00239712651818991,0.00122301501687616,0.00127654534298927,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00480594718828797,0.00397732714191079,0.00334268133156002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.09671306947712E-05,-9999,-9999,-9999,3.83225460609538E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.32656474408577E-06,1.13975074782502E-05,1.8255173927173E-05,-9999,2.23425886360928E-05,6.93538750056177E-05,0.000216583721339703,0.000806973373983055,0.00208101351745427,0.00421553803607821,0.00593762192875147,0.00555255124345422,0.00861539505422115,0.0106655014678836,0.0100484089925885,0.0107497135177255,0.0100393258035183,0.0115422727540135,0.00922637153416872,0.00844720005989075,0.00654326658695936,0.00740216346457601,0.0057578356936574,0.00459995353594422,0.00262896390631795,6.01014971834957E-06,6.5432914198027E-06,6.08373966315412E-06,2.54984661296476E-05,0.000709293060936034,0.0011821158695966,0.00205561122857034,0.00236906087957323,0.00252422271296382,0.0020732912234962,0.00138749915640801,0.00080590759171173,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00606286060065031,0.00615841476246715,0.00367009523324668,0.00399931333959103,0.00399146182462573,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.66152349265758E-05,3.90622990380507E-05,-9999,-9999,1.54585268319352E-05,1.03190805020859E-05,-9999,-9999,8.61937314766692E-06,3.58557304025453E-06,-9999,-9999,-9999,-9999,-9999,2.08636151910468E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.98753205547109E-06,3.04328859783709E-05,6.86321873217821E-05,0.000365202082321048,0.00121112272609025,0.0025980263017118,0.0036839279346168,0.00375821115449071,0.00670299027115107,0.00576983811333776,0.00457258010283113,0.00530988210812211,0.00592280132696033,0.00648703426122665,0.00594611465930939,0.00545357679948211,0.00453461799770594,0.00531479297205806,0.00446338346228004,0.000419672636780888,5.2170330491208E-06,2.81453230854822E-06,2.62434923570254E-06,2.46219815380755E-06,4.63862625110778E-06,4.92383833261556E-06,1.27481707750121E-05,0.000609343813266605,0.00162657443434,0.00209432514384389,0.00258590094745159,0.00241385609842837,0.00151513202581555,0.000893062620889395,-9999,-9999,-9999,-9999,-9999,0.00365475495345891,0.00401650695130229,0.00649971980601549,0.00736620649695396,0.00911253690719604,0.00696371076628566,0.00633072387427092,0.00435037724673748,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000128350497107022,0.000142617267556489,-9999,-9999,-9999,-9999,2.64836835413007E-05,4.9979174946202E-05,8.53431265568361E-05,0.000138230214361101,9.63184284046292E-05,5.81375134061091E-05,4.51146552222781E-05,7.90920676081441E-05,6.91458335495554E-05,4.30244035669602E-05,-9999,8.53256005939329E-06,1.0255716915708E-05,-9999,-9999,8.06386015028693E-06,5.13223812959041E-06,3.60447143066267E-06,2.58626914728666E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.64585979090771E-07,2.27253190132615E-06,-9999,-9999,-9999,2.49348177021602E-05,6.22285369900055E-05,0.000196930457605049,0.000802180613391101,0.00142113235779107,0.00283373915590346,0.00330535741522908,0.0059919711202383,0.00368947233073413,0.00279404292814434,0.00283587933517992,0.0036576371639967,0.00370417651720345,0.00360729615204036,0.00300660240463912,0.00271383440122008,0.00283363368362188,0.000548493291717023,4.69302585770492E-06,2.49659501605493E-06,9.78446792032628E-07,8.52276343721314E-07,8.21147239093989E-07,1.73917192114459E-06,2.12965073842497E-06,4.60934961665771E-06,0.000341719103744254,0.00124798121396452,0.00185344519559294,0.00250871269963682,0.00326567701995373,0.00240086298435926,0.000894785858690739,0.000577576225623488,0.000465715158497915,0.000472409679787233,0.00105252687353641,0.00240509887225926,0.00450565200299025,0.00511545361950994,0.00765158236026764,0.00642913114279509,0.00536573166027665,0.00612926064059138,0.0105809783563018,0.00738847022876143,0.0048431851901114,0.00432969583198428,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
