"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Small coastal sharks"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.98442395427901E-09,1.55955248715145E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.93929405867266E-08,3.42800703378998E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.71782490746509E-11,1.52330842384529E-10,3.44689998765801E-10,7.74343644760478E-10,-9999,-9999,-9999,-9999,-9999,1.82392977876589E-06,1.82971882622951E-06,1.37600000016391E-06,4.88302816847863E-07,3.31996233171594E-07,2.89164745481685E-07,1.19089349936985E-06,1.2561354196805E-06,1.0893173794102E-06,3.97684019048938E-08,1.72609261994694E-07,1.019268552227E-06,-9999,-9999,1.08609492599498E-06,1.71492263234541E-06,1.21716288958851E-06,1.23745724067703E-06,4.69781571155181E-06,7.22878667147597E-06,6.51639174975571E-06,6.50914125799318E-06,3.1841541385802E-06,1.14928047878493E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.62261565032018E-11,1.50926410258378E-10,3.47153833457625E-10,7.88878018465056E-10,1.77708392445908E-09,3.99264266093269E-09,8.95004070855521E-09,-9999,5.12949220876635E-08,2.19691833081015E-06,2.84291400021175E-06,4.45133218818228E-06,6.05592413194245E-06,6.17604746366851E-06,1.7212239526998E-06,3.10528980662639E-06,3.21038487527403E-06,3.97000076191034E-06,3.38115978593123E-06,2.68058579422359E-06,2.59400735558302E-06,1.70531916410255E-06,2.20949596041464E-06,4.00317367166281E-06,7.92910032032523E-06,2.88036280835513E-05,8.63627210492268E-05,0.000154859328176826,0.000154915469465777,0.000166948535479605,0.000179314141860232,0.00019031269766856,0.00021292973542586,0.000148181978147477,2.16761727642734E-05,5.71545388083905E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.48488638052058E-10,3.42044087497939E-10,8.0638196120475E-10,1.83404424980438E-09,4.09608480467227E-09,8.94357832237347E-09,1.94895228844416E-08,3.77558677655543E-08,7.27168369962783E-08,2.6609693577484E-06,5.51520179215004E-06,6.23766300122952E-06,1.77774363692151E-05,3.49529982486274E-05,6.26783366897143E-05,7.5990792538505E-05,5.61707165616099E-05,8.71750453370623E-05,0.000118857278721407,6.38225246802904E-05,5.96257923461962E-05,4.9608941480983E-05,5.54968646611087E-05,0.000151260290294886,0.000172180094523355,0.0001949921133928,0.000218493441934697,0.000256957398960367,0.000301900727208704,0.00030006337328814,0.000292563287075609,0.000297547521768138,0.000294546887744218,0.000277104583801702,0.000236185485846363,0.000182389747351408,6.60825317027047E-05,4.92932713314076E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.74119270216033E-06,2.80586641565606E-06,2.87686748379201E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.97377277749911E-07,-9999,-9999,-9999,1.38367147428653E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.73683251009282E-10,8.39891989290464E-10,1.87935689233143E-09,-9999,1.4122163882746E-08,3.05438661030166E-08,8.83000410567547E-08,5.35785204647254E-07,4.01112947656657E-06,6.21224626229377E-06,8.71754491527099E-06,4.46800049758167E-06,4.20042160840239E-05,0.000257274456089363,0.000369851390132681,0.000360106292646378,0.000351194728864357,0.000279310566838831,0.000237725951592438,0.000261095090536401,0.000292594224447384,0.000276927108643577,0.00026107783196494,0.000256891071330756,0.00028371749795042,0.00025830528466031,0.000231012134463526,0.000247218704316765,0.000275878119282424,0.000294603523798287,0.000306048925267532,0.000302907457808033,0.000275782513199374,0.00026345337391831,0.000190239326911978,9.75630755419843E-05,6.52406697554397E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.89702927350299E-06,6.94570371706504E-06,4.19803836848587E-06,2.87025636680482E-06,2.95832410301955E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.70204071234548E-07,6.5818323946587E-07,-9999,-9999,8.07990431894723E-07,1.18586467579007E-06,-9999,-9999,2.79228083854832E-06,5.8751757023856E-06,-9999,-9999,-9999,-9999,-9999,3.13845660571133E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.88991773342195E-08,4.16837195871267E-08,1.42553204796059E-07,5.40692838058021E-07,3.59399177796149E-06,3.22465052704501E-06,2.85292890112032E-06,2.42223177338019E-06,2.10345060622785E-05,0.000262005283730105,0.000469795137178153,0.000487601384520531,0.000456287554698065,0.000408416555728763,0.000370008609024808,0.000351090071490034,0.00034005573252216,0.000328700320096686,0.000301219697576016,0.000298199243843555,0.000246982875978574,0.000223936935071833,0.000215230669709854,0.000208546480280347,0.000221197871724144,0.000249680335400626,0.00027451294590719,0.000299153267405927,0.000296655111014843,0.000296859012451023,0.000267637748038396,0.000197624860447831,7.43794807931408E-05,6.76712352287723E-06,-9999,-9999,-9999,-9999,-9999,3.67211123375455E-06,3.99408827433945E-06,1.0205931175733E-05,1.82895309990272E-05,1.30790313050966E-05,8.05409035820048E-06,4.91658420287422E-06,2.91966625809437E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.12242298402998E-07,1.19531364362047E-07,-9999,-9999,-9999,-9999,1.33222658860177E-06,1.14012993890356E-06,6.40780001504027E-07,3.63164508598857E-06,1.00370527889027E-06,2.32362890528748E-06,4.79536265629577E-06,1.15716902655549E-05,4.3301738514856E-06,2.45361729867E-06,-9999,2.83903091258253E-06,2.09103359338769E-06,-9999,-9999,4.08737264478987E-07,7.15608621248975E-08,3.69822750201365E-08,1.83741271087001E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.20060302985803E-07,8.38460039176425E-08,-9999,-9999,-9999,7.03516960243178E-08,3.04638933812384E-06,3.54050143869244E-06,3.3215721941815E-06,2.93777566184872E-06,2.54066844718182E-06,3.128535581709E-06,3.26756489812396E-05,0.000243049595155753,0.000458655180409551,0.000463271368062124,0.000439865310909227,0.000405212515033782,0.000382970931241289,0.000365229963790625,0.000335900520440191,0.000317961355904117,0.000302851607557386,0.000245472620008513,0.000232033504289575,0.000220891830394976,0.000211976323043928,0.000204316223971546,0.000200984984985553,0.000210123835131526,0.000240788329392672,0.000280240958090872,0.000292326672933996,0.000295008154353127,0.00028064291109331,0.0002264381328132,0.000142094650072977,8.55095822771545E-06,9.34317938572349E-07,2.89211669723954E-07,3.61574521434704E-08,5.93068250509532E-07,9.72235375229502E-06,2.90518910333049E-05,5.03854571434204E-05,6.8090324930381E-05,5.3373154514702E-05,5.09545461682137E-05,3.41824925271794E-05,1.73210846696747E-05,4.22446419179323E-06,2.90911157208029E-06,2.99076714327384E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
