"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Surface pelagics"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.72194661044401E-11,4.28355839687811E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.42737706660046E-07,3.3570836421859E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.16187350556195E-15,5.20430341210314E-15,2.78025181815657E-14,1.19495125600055E-13,-9999,-9999,-9999,-9999,-9999,4.83124267702806E-06,6.09679409535602E-06,4.57248324892134E-06,3.27300199387537E-06,1.43582110467833E-06,1.90536036370759E-06,4.57850865132059E-06,8.70860094437376E-06,6.98018629918806E-06,6.77595153319999E-07,2.13149542105384E-06,9.10152539290721E-06,-9999,-9999,4.60866795037873E-05,6.30002468824387E-05,1.55337784235599E-05,2.52694753726246E-05,0.000171888954355381,0.000309133669361472,0.000334208481945097,0.000394253671402112,0.000208480705623515,6.26953187747858E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.61301576151553E-16,2.48754878356277E-15,1.81596376120068E-14,1.39677345752966E-13,1.40989672194058E-12,1.52581801360352E-11,7.47709671955477E-11,-9999,1.2583180364345E-07,3.86476767744171E-06,9.30462829273893E-06,2.6987201636075E-05,3.03645738313207E-05,2.15797117562033E-05,6.58985527479672E-06,8.95007815415738E-06,1.38431951199891E-05,5.00734749948606E-05,4.72482788609341E-05,2.50941229751334E-05,2.94554374704603E-05,1.91015678865369E-05,9.65143626672216E-05,0.000182627612957731,0.000273847312200814,0.000320431543514132,0.000202059512957931,0.000217398293898441,0.000347392080584541,0.0005389578291215,0.000736485642846674,0.000851560791488737,0.000724046549294144,0.000533355865627527,0.000267960800556466,6.46786647848785E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5432481073799E-16,5.84900941089507E-15,5.40319809835994E-14,3.33075282849329E-13,3.85418780224356E-12,5.88509102561474E-11,4.05023764527002E-10,4.2831857172132E-08,5.46427088465862E-07,5.30480201632599E-06,5.19391614943743E-05,8.38701525935903E-05,0.000300994521239772,0.00061749474843964,0.000951488269492984,0.000981688965111971,0.000823387526907027,0.000805560732260346,0.000831936486065388,0.000864822475705296,0.000959894619882107,0.000944853294640779,0.00094803492538631,0.000864904024638236,0.000590861600358039,0.000349035894032568,0.000193757281522267,0.000159592789714225,0.000239629443967715,0.000353456765878946,0.000514866784214973,0.00063266750657931,0.00062084331875667,0.000488356861751527,0.000332522031385452,0.000188448844710365,0.000113360700197518,4.3922718759859E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.04747147008311E-05,5.37574087502435E-05,5.94040975556709E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.93464546277755E-07,-9999,-9999,-9999,1.35484888232895E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.90118706396241E-14,1.35748698523383E-13,4.31059539191675E-13,-9999,1.2242131752771E-09,9.47333802514549E-08,6.51319567168684E-07,4.4717103264702E-06,3.15520737785846E-05,8.32192745292559E-05,0.000147848375490867,8.59814608702436E-05,0.000897425983566791,0.0011749651748687,0.00117673934437335,0.00114729057531804,0.00105805671773851,0.0010243960423395,0.00106946309097111,0.00102632259950042,0.000854549056384712,0.000692383560817689,0.000562233035452664,0.000366524065611884,0.000180262184585445,1.6561465599807E-05,4.72899358561207E-11,3.59147776407553E-07,0.00030801902175881,0.00051110127242282,0.00056897004833445,0.000542045920155942,0.000483094016090035,0.000382678437745199,0.000266829505562782,0.000165783378179185,6.01322863076348E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.68350219004788E-05,0.000169240141985938,9.81592456810176E-05,5.49706965102814E-05,6.23515152256005E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.54470410507201E-06,1.93192636288586E-06,-9999,-9999,5.64790889256983E-06,1.54894823936047E-05,-9999,-9999,4.15864633396268E-05,8.13785954960622E-05,-9999,-9999,-9999,-9999,-9999,3.83590670338663E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.06045536188526E-09,2.97240262625564E-07,1.1002153996742E-06,6.96587812853977E-06,2.86541016976116E-05,4.03341618948616E-05,3.90837703889702E-05,3.78825134248473E-05,0.000615192111581564,0.00107988878153265,0.0010438880417496,0.00102853472344577,0.000933479401282966,0.000811927311588079,0.000794161751400679,0.000741782307159156,0.000635236268863082,0.000568437448237091,0.00052525062346831,0.000388330314308405,3.06382585968379E-09,3.28019431278595E-13,3.7289736118276E-15,5.48720194715885E-13,1.52734429548218E-08,0.000106159663118888,0.000329622504068539,0.000585879140999168,0.000649220077320933,0.000626212335191667,0.000442671793280169,0.000249398639425635,0.000192104882444255,7.44311546441168E-05,-9999,-9999,-9999,-9999,-9999,8.08068580226973E-05,0.000100529796327464,0.00025340638239868,0.000488751335069537,0.00037705188151449,0.000208703015232459,0.000114196191134397,5.80257692490704E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.94395589309715E-07,4.16499318589558E-07,-9999,-9999,-9999,-9999,6.05936838837806E-06,4.3008308239223E-06,2.19743583329546E-06,7.34664854462608E-06,3.85148450732231E-06,1.04030968941515E-05,4.16183538618498E-05,9.52638874878176E-05,4.88339173898567E-05,3.771279079956E-05,-9999,2.67280829575611E-05,1.26743498185533E-05,-9999,-9999,4.67863486619535E-07,1.81045564318083E-07,1.0836587449603E-07,5.73828984329339E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.55456984632474E-06,1.22868152629962E-06,-9999,-9999,-9999,8.93117942268873E-07,2.7888087061001E-05,3.07807458739262E-05,3.81546014978085E-05,4.19452007918153E-05,3.70715097233187E-05,6.5889602410607E-05,0.000704485748428851,0.000837220286484808,0.000756715424358845,0.000765667937230319,0.000750234234146774,0.000700055155903101,0.000630789494607598,0.000592491473071277,0.000526687770616263,0.00047375145368278,0.000395822949940339,1.18436831522684E-11,1.55657753938936E-14,1.98610928895984E-17,3.30466228587418E-19,6.13045455705669E-17,7.83246013077825E-14,1.92437843438142E-10,1.09707243609591E-05,0.000554286874830723,0.00065362814348191,0.000633003597613424,0.000497381901368499,0.000332304683979601,0.000274969934253022,8.5899249825161E-05,6.07373340244521E-06,6.68364691591705E-07,1.36540151629561E-07,1.09578866158699E-06,0.000103575701359659,0.000526329909916967,0.000958582852035761,0.0011489485623315,0.00113896164111793,0.00118816236499697,0.000976451148744673,0.00051912828348577,0.000101223733508959,6.61511585349217E-05,8.1150014011655E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
