"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Swordfish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.94328642066921E-08,1.94887075366523E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.09216553975966E-08,4.12457303866631E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.65031113774639E-11,3.61827685868565E-11,7.8730237607072E-11,1.71557046346749E-10,-9999,-9999,-9999,-9999,-9999,9.1544555269607E-10,1.92822380284952E-09,4.06692102217221E-09,8.59451265711186E-09,1.80361325874401E-08,3.76141500169069E-08,7.94322119190838E-08,1.74128317098621E-07,1.76629583847898E-07,8.25949157956529E-08,8.4411446721333E-08,8.36262117331898E-08,-9999,-9999,1.69229892321709E-07,1.67608476431269E-07,3.72883135923985E-07,3.631168397078E-07,7.71165957758058E-07,7.53591166358092E-07,7.47622095786937E-07,7.45864667806018E-07,7.5561661105894E-07,3.38835917546021E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.68060530769676E-11,3.69804326050271E-11,8.08040509503449E-11,1.74413691822473E-10,3.71072256255545E-10,7.73160757638891E-10,1.63954860799009E-09,-9999,2.79689826854224E-09,1.12007925157087E-09,2.15200146591599E-09,4.3269028360271E-09,8.97398244603664E-09,1.88250819377345E-08,3.93131109888145E-08,8.16355409938296E-08,1.71656736824843E-07,3.74266278413415E-07,3.76354535092105E-07,1.70920827713417E-07,1.73168771766541E-07,1.70401534660414E-07,1.6079783904388E-07,3.47904631325946E-07,3.46046306276548E-07,3.37523829330166E-07,7.34736261165381E-07,7.06332400568499E-07,1.4902421980878E-06,1.47644539083558E-06,1.49353343203984E-06,1.51406163695356E-06,1.55382315369934E-06,7.10666654413217E-07,3.36322642624509E-07,3.52375025158835E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.7494649746117E-11,8.27570581507509E-11,1.81569745349996E-10,3.91984361636233E-10,8.29108226518827E-10,1.68885183615686E-09,3.38675087974138E-09,6.88467416409821E-09,6.38200559066604E-09,2.50618081842902E-09,4.8352712944677E-09,9.62016066807792E-09,1.97543652546983E-08,4.10575466958107E-08,8.49424566240486E-08,1.74893457938197E-07,3.64980706990536E-07,7.90034107467363E-07,7.88081649716332E-07,3.52258410885042E-07,3.53432938027254E-07,3.46725300914841E-07,3.30402031067933E-07,7.07858816895168E-07,6.82256768413936E-07,6.45933255327691E-07,1.36944527184824E-06,1.29602528886608E-06,0.000255916820606217,3.16353907692246E-05,6.55801204629824E-06,5.36700417796965E-06,3.91781122743851E-06,1.42521878387925E-06,6.89428588884766E-07,7.33549882170337E-07,3.41509547752139E-07,1.57946317358437E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.31793498336918E-09,6.35511754332185E-10,3.02025709997267E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.29207111676521E-09,-9999,-9999,-9999,1.39369804585954E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.2210342700062E-11,1.79571260638944E-10,3.90989129961383E-10,-9999,6.99066138309945E-09,1.47840522046749E-08,1.39225200257442E-08,5.53154544391532E-09,1.08004813981211E-08,2.15286739546627E-08,4.39345804181812E-08,9.02163961313818E-08,1.83882050919237E-07,3.73254380292565E-07,7.70403630667715E-07,1.65340645708056E-06,1.63486492965603E-06,7.19090394341038E-07,7.1229715103982E-07,6.93908305038349E-07,6.59410716252751E-07,1.40310964980017E-06,1.33186654238671E-06,1.24021164538135E-06,1.34243482534657E-05,0.0194083116948605,0.0248787794262171,0.0244380366057158,0.00824002735316753,0.000644529354758561,0.000135619397042319,1.46584798130789E-05,1.38676068672794E-06,1.4841367601548E-06,7.06345531398256E-07,3.32777602807255E-07,1.53347656350888E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.96886359940629E-09,1.40929801162315E-09,6.67233046591775E-10,3.08571834750637E-10,1.41277572973664E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.79969780692113E-09,2.81885914610314E-09,-9999,-9999,2.97756441725028E-09,3.00708102862757E-09,-9999,-9999,3.04124969652264E-09,1.41791667296332E-09,-9999,-9999,-9999,-9999,-9999,5.82619952282926E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.50124002118446E-08,3.162417883118E-08,3.01223153087449E-08,1.22349428366419E-08,2.43949784817232E-08,4.8940997032787E-08,9.90853052940111E-08,1.99804588874031E-07,3.98391648559482E-07,7.93731146586651E-07,1.61860964453808E-06,3.47377340403909E-06,3.40579799740226E-06,1.4647324633188E-06,1.43222052884084E-06,1.38829364004778E-06,1.32237880734465E-06,4.04576894652564E-06,3.84099666916882E-06,0.00119092722889036,0.0242954920977354,0.0246098693460226,0.0247953161597252,0.0249888300895691,0.0250058099627495,0.0182498004287481,0.00833628699183464,0.000231559140956961,1.16804703793605E-05,6.90857132212841E-06,1.44159207593475E-06,6.87942872446001E-07,3.25640286291673E-07,1.50940223875295E-07,-9999,-9999,-9999,-9999,-9999,1.69913647596331E-08,7.21968973493858E-09,6.86867762667021E-09,3.12517878242602E-09,1.45470180346052E-09,6.72928990308463E-10,3.10629383326599E-10,1.42539938186026E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.29671481832838E-09,4.76042449903957E-09,-9999,-9999,-9999,-9999,5.9385305561932E-09,6.04335026466174E-09,6.10779604670597E-09,6.13953332617712E-09,6.22074569633924E-09,6.36046149082858E-09,6.42374198278617E-09,6.37431085692697E-09,6.29482110880986E-09,6.22414209061617E-09,-9999,9.99091920306228E-09,1.04524104926895E-08,-9999,-9999,1.29414612359824E-08,1.31667370339983E-08,6.03571770341205E-09,6.22279161532902E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.16157561136765E-09,1.14619158608775E-08,-9999,-9999,-9999,6.67162751710748E-08,6.50027516257978E-08,2.71797144790753E-08,5.54284724785248E-08,1.11442467698453E-07,2.22285024165103E-07,4.36668841530263E-07,8.47435899231641E-07,1.65818573805154E-06,3.38683707923337E-06,8.23301434138557E-06,9.03574527910678E-06,6.16404213360511E-06,6.73401291351183E-06,8.24656763143139E-06,6.26708470008452E-06,9.56837629928486E-06,0.000814406259451061,0.0242842063307762,0.0243243668228388,0.0244402904063463,0.0246082060039043,0.0248072352260351,0.0249930676072836,0.0251268297433853,0.0233005303889513,0.000577348924707621,3.94263479392976E-05,1.30863363665412E-05,3.85730845664511E-06,1.44900252507796E-06,6.94712696258648E-07,3.31992026758599E-07,1.57246077492346E-07,7.55513696049093E-08,7.86080178727389E-08,7.98838826199244E-08,8.11942442169311E-08,3.6285364046762E-08,1.55487498432194E-08,1.49525778425641E-08,6.75742661826462E-09,3.13098968973691E-09,1.45135825579956E-09,6.75112854509052E-10,3.14282294633372E-10,1.45814763041763E-10,6.69791444529722E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
