"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"White shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.07683870662368E-07,5.51884738797526E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0016265194863081,0.0019767377525568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.69653463918834E-14,3.96922322483742E-13,1.39824935484201E-12,4.50753410291549E-12,-9999,-9999,-9999,-9999,-9999,0.238437831401825,0.309503048658371,0.169921815395355,0.0572458691895008,0.0248233899474144,0.0409903340041637,0.168425649404526,0.255817770957947,0.235281676054001,0.0639075711369514,0.125837028026581,0.0867911726236343,-9999,-9999,0.0571335069835186,0.0797116905450821,2.00696695173974E-06,6.5229168733083E-09,9.44949807291096E-09,8.49236840849699E-08,1.35699835368541E-07,2.88078012999904E-07,3.48074572684709E-05,8.28282907150424E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.03525955725695E-14,1.11082746733632E-12,4.42510923737149E-11,1.33736452467836E-10,6.6668098819278E-10,8.50056469658966E-09,9.22848471418547E-07,-9999,0.0217545628547668,0.149132028222084,0.221901789307594,0.299121350049973,0.313027501106262,0.265633076429367,0.196673527359962,0.249820917844772,0.281665861606598,0.313527941703796,0.342307180166245,0.248274087905884,0.215929314494133,0.114900797605515,0.134890764951706,0.0612078793346882,0.0503993295133114,0.0033957262057811,2.09757035918301E-05,3.02984681184171E-05,7.55481914893608E-06,3.95604402001482E-05,6.28730340395123E-05,4.5266882807482E-05,0.00867054425179958,0.00105880969204009,0.00245914817787707,1.0881186426559E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.08670200145139E-13,5.18168390140072E-11,1.83146706689286E-08,4.41249419225187E-08,1.52935129449361E-07,9.8096802503278E-07,7.37560640118318E-06,8.50793003337458E-05,0.00455405656248331,0.120290607213974,0.157587274909019,0.236951246857643,0.315155237913132,0.456569254398346,0.555996358394623,0.609549760818481,0.557432591915131,0.608640313148499,0.665158629417419,0.405349999666214,0.347681760787964,0.19135408103466,0.113231852650642,0.00242817704565823,0.000157425180077553,7.69456528360024E-05,0.0200142227113247,0.115435220301151,0.0111226728186011,0.153484880924225,0.0747236683964729,0.000235627681831829,0.000116186471132096,6.5460022597108E-05,6.88436266500503E-05,9.80256663751788E-06,9.42607073284307E-07,2.20578115772696E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0217521674931049,0.0462486296892166,0.0576745942234993,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0744562819600105,-9999,-9999,-9999,0.138502284884453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.65937609103639E-08,4.81216630987547E-08,6.51678675467338E-08,-9999,2.13683561014477E-05,0.000347395282005891,0.00999980513006449,0.164525493979454,0.189276248216629,0.237949848175049,0.205095216631889,0.279960483312607,0.61966747045517,0.963020443916321,0.939297795295715,0.790888369083405,0.744951784610748,0.395694345235825,0.265707820653915,0.0321821793913841,0.00213448074646294,0.000589054601732641,0.000274545833235607,0.0936232730746269,0.303802490234375,0.000630481750704348,2.37069143622648E-05,0.000419377320213243,0.00116715976037085,0.00082426838343963,0.00238881423138082,0.00765278749167919,0.000195064247236587,0.000112178400740959,4.16137045249343E-05,2.41001043832512E-06,2.01329598326083E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00677503319457173,0.0238207168877125,0.0263188797980547,0.040596105158329,0.0919980481266975,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.138095691800117,0.132551684975624,-9999,-9999,0.214299023151398,0.235653460025787,-9999,-9999,0.135331362485886,0.199117094278336,-9999,-9999,-9999,-9999,-9999,0.105038225650787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000177324371179566,0.00664758635684848,0.16568511724472,0.195894196629524,0.187075927853584,0.197594821453094,0.115985684096813,0.180800303816795,0.492574989795685,1.03242933750153,1.21647107601166,0.982648015022278,0.521032869815826,0.0269107948988676,0.0139176910743117,0.00658919382840395,0.00038058077916503,0.00214599375613034,0.178825616836548,0.00229086703620851,0.000170657935086638,5.89870580824936E-07,3.77509614679639E-08,2.98005261356593E-06,0.00018533221737016,0.000620514038018882,0.000782261544372886,0.0027453345246613,0.000805447052698582,0.000234345498029143,0.000162520140293054,2.93372231681133E-05,2.44686702899344E-06,2.09770096262218E-05,-9999,-9999,-9999,-9999,-9999,1.04782289511718E-08,2.92530717160844E-06,0.00033872650237754,0.00309382053092122,0.00496085174381733,0.0295651350170374,0.0581809729337692,0.124860487878323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.138180404901505,0.188790410757065,-9999,-9999,-9999,-9999,0.210354492068291,0.221124321222305,0.188970148563385,0.281686633825302,0.315475404262543,0.326659321784973,0.343484401702881,0.218681961297989,0.218455150723457,0.135480582714081,-9999,0.120233081281185,0.251899570226669,-9999,-9999,0.24282693862915,0.0894438549876213,0.0377392582595348,0.011234407313168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.283550590276718,0.268320977687836,-9999,-9999,-9999,0.342001169919968,0.337478309869766,0.31523397564888,0.225255459547043,0.187310546636581,0.0881596878170967,0.159477144479752,0.377872586250305,0.53425544500351,0.425041705369949,0.356302499771118,0.19257527589798,0.0102786486968398,0.00802509766072035,0.000305299850879237,0.000308922142721713,0.00407768692821264,0.00219454150646925,7.63558182370616E-06,7.92872327792793E-08,4.07984923622706E-10,4.44141945443732E-11,3.28119131864923E-09,3.69101826436236E-07,2.01348557311576E-05,0.000981636578217149,0.00511453114449978,0.0125908441841602,0.00665128137916327,0.00075620407005772,0.000287894217763096,1.03584470707574E-05,1.16727767363045E-06,6.14426109990518E-09,5.69664204697062E-10,3.42581323552194E-13,8.32342372802941E-09,1.11267536340165E-06,6.56080430871953E-07,1.33107741930871E-05,0.00016699823027011,0.000575007929001004,0.00136036274489015,0.00294690672308207,0.0196872651576996,0.0343740843236446,0.0901087895035744,0.152503162622452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
