"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Yellowedge grouper (3+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.00402849870329E-09,2.00280036999345E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.41257563821296E-09,4.4117931530252E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.05790238935797E-14,6.05260944987716E-14,6.04729076059476E-14,6.04441491433225E-14,-9999,-9999,-9999,-9999,-9999,3.98109989419027E-10,3.95104199357732E-10,8.71952010594867E-10,1.9309642773635E-09,4.31161240044275E-09,4.30606261758726E-09,4.29995150597051E-09,9.55475254471594E-09,9.56957535436231E-09,9.60160040364144E-09,9.60029300500764E-09,9.61523483056226E-09,-9999,-9999,4.4563829959543E-08,9.68803703926824E-08,2.12915480801712E-07,4.62232520703765E-07,4.44882289230009E-07,4.38474870634309E-07,4.38381476897121E-07,1.98327924749719E-07,2.01899993612642E-07,9.37673974021891E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.05423914126768E-14,6.05055217625487E-14,6.04505188310858E-14,6.04166713945135E-14,6.03798220731762E-14,6.01383499205729E-14,4.05597333497099E-10,-9999,8.97291962953517E-10,8.88672913035293E-10,8.7626267353258E-10,8.6041490598987E-10,1.87467330547975E-09,4.12916190128954E-09,9.16225406655258E-09,9.107990806001E-09,9.06526231858606E-09,2.00389980165028E-08,2.00853378373722E-08,2.0206067929962E-08,2.02540082483438E-08,2.02076329003376E-08,4.34742482013917E-08,4.22086579021652E-08,9.1844306382427E-08,1.98073180968095E-07,4.27708215511302E-07,9.19741637517291E-07,8.94211098056985E-07,8.90823173449462E-07,8.98525172488007E-07,4.10431397313005E-07,4.13981325664281E-07,1.89829520991225E-07,8.66066258708997E-08,3.99376425264109E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.04689638205452E-14,6.04182638164544E-14,6.03619327373302E-14,6.03237213870136E-14,6.01800578228957E-14,4.01289140805616E-10,8.96865470778607E-10,1.99047112126038E-09,1.9825052710587E-09,1.96274241304195E-09,1.92903359952368E-09,1.8863031137073E-09,4.04017663768741E-09,8.72775718363528E-09,1.87790032413204E-08,1.83829573785488E-08,1.82023018879818E-08,4.02233659713147E-08,4.02279880518108E-08,4.05134912284666E-08,4.06662366003729E-08,4.04954114685552E-08,8.86794140342317E-08,8.66392610987532E-08,1.88621925190091E-07,4.03635766588195E-07,8.49991579343623E-07,1.75411594227626E-06,1.62002777415182E-06,1.65137203111954E-06,1.74917181539058E-06,8.28509712391678E-07,8.57197164805257E-07,3.95511278838967E-07,1.82831414008433E-07,8.46222505401784E-08,3.92721446473843E-08,1.82468156140203E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60294815615414E-11,7.21643838436092E-12,3.26419316923343E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.45080709227135E-14,-9999,-9999,-9999,6.80126460250556E-14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.0350453746829E-14,6.03498574356341E-14,6.03883262839666E-14,-9999,1.99344718510019E-09,4.41212488766496E-09,4.41462733036246E-09,4.39392700002372E-09,4.33425828560985E-09,4.22684420797736E-09,9.09623754097311E-09,1.95706260086581E-08,4.02921216391405E-08,3.82824154598893E-08,3.72725317276945E-08,8.21849326371193E-08,8.21690591124025E-08,8.24470447469139E-08,8.32528286309753E-08,8.29847834893371E-08,1.81931682163849E-07,1.7968348231534E-07,3.89595669503251E-07,7.95654671037482E-07,1.51872188780544E-06,0.000717699178494513,0.0081217885017395,0.00348348962143064,2.43803297053091E-05,1.61603941251087E-06,1.75105685684684E-06,8.35068988180865E-07,3.92883293898194E-07,1.80809863081777E-07,8.41642133764253E-08,3.94040604589918E-08,4.07739157992637E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.45881656649283E-11,1.54620222875268E-11,7.07042757674969E-12,3.23731601421795E-12,1.47159986019912E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.35590009985011E-14,6.3358267742529E-14,-9999,-9999,6.60441821132181E-14,6.61608083856596E-14,-9999,-9999,6.3390400784416E-14,6.3330390194169E-14,-9999,-9999,-9999,-9999,-9999,4.00608130002311E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.43706449360093E-09,9.8236192513923E-09,9.82218306688765E-09,9.78717018540465E-09,9.71076108413627E-09,9.57548706992384E-09,2.07841317489965E-08,4.39665654994315E-08,8.85857431853765E-08,8.31293363035002E-08,7.96476982145577E-08,1.74088327753452E-07,1.74110979855868E-07,1.74681531461829E-07,1.75538758639959E-07,1.754865905923E-07,3.85716731443608E-07,3.75296480115139E-07,7.73107103668735E-07,1.38186999265599E-06,0.00806635431945324,0.00870735198259354,0.00487198634073138,0.00480860192328691,0.00591891538351774,0.000286825990770012,1.17547815534635E-05,1.76687672137632E-06,8.44700878133153E-07,3.9081120917217E-07,1.81090697992659E-07,8.46341094984382E-08,8.8316021162882E-08,4.11926883714386E-08,-9999,-9999,-9999,-9999,-9999,3.6603561848203E-10,1.63851598955489E-10,7.3245354226259E-11,3.28217591993862E-11,1.49143145750097E-11,6.86535420527101E-12,3.16077979761742E-12,1.45438272970005E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.13898038306915E-14,6.1676541423996E-14,-9999,-9999,-9999,-9999,3.89578452830719E-10,3.87950782609892E-10,3.83024778560781E-10,3.7514005790662E-10,3.73900632677504E-10,3.7416375553434E-10,3.72485098321107E-10,3.69900915453414E-10,3.76104869470595E-10,3.84084236637605E-10,-9999,8.70446437151173E-10,8.66219873607577E-10,-9999,-9999,8.65751470513487E-10,8.85943096662345E-10,8.91859197604816E-10,8.88829065903707E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.98748928426085E-09,4.42315073456712E-09,-9999,-9999,-9999,2.1767318614252E-08,2.17186464368524E-08,2.1649421810821E-08,2.15149853488583E-08,2.11775681435711E-08,4.56069422227756E-08,9.48382350429711E-08,1.91512910419078E-07,1.80933099613867E-07,1.7238990324131E-07,3.76557466097438E-07,3.76409900582075E-07,3.7617715520355E-07,3.72619496147308E-07,3.72296540263051E-07,8.19474507807172E-07,7.80540858613676E-07,1.46351965213398E-06,0.00782760884612799,0.00925586465746164,0.00604791613295674,0.00637119682505727,0.0052021206356585,0.00510249333456159,0.00469499034807086,0.00129052787087858,1.63579716172535E-06,8.04886383320991E-07,3.79421180696227E-07,1.77528121980686E-07,1.84283180715283E-07,1.91842715935309E-07,9.15582134553006E-08,4.40891838593416E-08,2.03857908331884E-08,9.25794108042055E-09,4.06986755407956E-09,1.73834902028602E-09,7.62330643055975E-10,3.40445671653811E-10,1.53309351325071E-10,6.9434236138477E-11,3.16786735732322E-11,1.45397331327568E-11,6.68615683652174E-12,3.12628438761675E-12,1.44781398241783E-12,6.60670140557179E-13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
