"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Benthic coastal invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.6048755645752,17.8599548339844,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.7140922546387,19.8699016571045,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.3019771575928,11.4036130905151,12.499340057373,13.3297204971313,-9999,-9999,-9999,-9999,-9999,31.6870384216309,33.4502067565918,34.009464263916,31.8721694946289,30.1730480194092,28.3165760040283,25.2142868041992,23.7375297546387,23.0467643737793,21.0238609313965,20.004638671875,16.3499164581299,-9999,-9999,9.82114124298096,9.48300361633301,6.65670347213745,6.41737365722656,6.51206731796265,6.21031379699707,6.79678535461426,8.41393756866455,7.84007787704468,10.0385627746582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.1637468338013,11.4779272079468,14.0695571899414,16.0144805908203,14.2160167694092,16.2970008850098,11.5566425323486,-9999,22.9747009277344,30.894229888916,31.6208915710449,34.9941635131836,34.2899551391602,31.7652702331543,28.8435249328613,27.2876434326172,23.940860748291,22.3823795318604,21.6237335205078,19.7755298614502,17.0862407684326,14.4655914306641,11.8461065292358,10.3568468093872,8.45809745788574,7.09918928146362,5.19541883468628,5.21340847015381,5.00057363510132,5.21653652191162,5.65763235092163,6.81412506103516,6.64012575149536,5.50655937194824,3.87725114822388,2.85068655014038,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.9578742980957,13.6244678497314,20.6782970428467,23.4431247711182,19.8431282043457,20.0451030731201,17.3886051177979,22.6490917205811,19.7965927124023,28.620532989502,32.3125648498535,35.0179405212402,32.4394760131836,28.7381153106689,25.1202545166016,22.77073097229,19.0588073730469,18.0675716400146,17.3105754852295,14.6483316421509,12.7429189682007,11.3263664245605,9.68675231933594,9.06180763244629,7.61343145370483,6.12501287460327,5.38355159759521,6.08819818496704,6.17658519744873,6.22694826126099,6.25181150436401,6.38097286224365,7.02876472473145,6.52734327316284,4.55665063858032,3.33751893043518,2.72615718841553,2.78443384170532,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.520845413208,23.448413848877,20.7448024749756,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.59980344772339,-9999,-9999,-9999,3.6268482208252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26.6182174682617,27.5641403198242,19.6836433410645,-9999,17.7591667175293,21.8412914276123,21.4643096923828,29.9787216186523,31.5118522644043,31.6241989135742,28.2590808868408,24.6508140563965,21.2163505554199,21.9187908172607,19.6136264801025,17.9760684967041,15.8510665893555,12.2673711776733,10.3914623260498,10.0274114608765,8.29339408874512,7.29461336135864,6.044602394104,6.30214023590088,6.22827863693237,0.151690065860748,0.00740827340632677,0.0256676711142063,1.28189098834991,4.6189022064209,5.82113218307495,6.62615346908569,5.89146995544434,5.38803291320801,4.04265356063843,3.23487877845764,2.93656992912292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.3718223571777,21.5313682556152,20.3477382659912,22.3489952087402,22.1003875732422,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.78516721725464,6.83146238327026,-9999,-9999,10.0057764053345,8.94639110565186,-9999,-9999,5.85962390899658,6.19240856170654,-9999,-9999,-9999,-9999,-9999,25.7844009399414,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.2018165588379,29.5729541778564,23.4832649230957,25.8462352752686,27.862512588501,28.7632293701172,24.8628940582275,21.5853366851807,17.7084217071533,19.4000034332275,18.4143333435059,16.7309646606445,13.6348571777344,10.7035942077637,9.21169185638428,8.58741188049316,6.70586776733398,5.71537733078003,5.9333381652832,4.73529481887817,0.0138539923354983,0.00130441004876047,0.000151443702634424,0.00090230256319046,0.0154661247506738,0.235932901501656,1.20961153507233,5.21771287918091,6.06078243255615,6.5170750617981,6.00867509841919,4.56962299346924,3.8869001865387,4.31707906723022,-9999,-9999,-9999,-9999,-9999,13.8970365524292,15.1792144775391,17.0638637542725,17.2811031341553,21.9034976959229,22.5527820587158,23.3258457183838,23.5398960113525,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.9201402664185,24.2781066894531,-9999,-9999,-9999,-9999,11.0080614089966,13.944224357605,14.2096519470215,14.9536180496216,16.030345916748,14.8752841949463,13.3795471191406,9.97456455230713,11.5446395874023,7.3728814125061,-9999,2.90243935585022,7.61016654968262,-9999,-9999,20.0701999664307,18.9128589630127,16.0806198120117,14.2390575408936,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.2486686706543,30.4388751983643,-9999,-9999,-9999,32.6361465454102,27.6496467590332,26.3777008056641,25.3523635864258,23.0207405090332,19.9966907501221,17.2660007476807,14.6447801589966,14.8102235794067,14.7431526184082,12.6213493347168,10.8137292861938,8.34630393981934,7.20717906951904,6.22685527801514,5.12879991531372,4.96816778182983,4.37131786346436,0.00537895085290074,0.000253366684773937,2.25615949602798E-05,2.88000615000783E-06,1.97909557755338E-05,0.000404685473768041,0.00651795929297805,0.0440208241343498,5.67339897155762,5.60448551177979,5.85512113571167,5.81429624557495,5.63721036911011,4.34056043624878,4.89040184020996,5.89447689056396,7.04479074478149,7.46046543121338,8.15576457977295,8.77268695831299,10.9472408294678,12.1392650604248,12.9463949203491,13.0232496261597,14.9703540802002,17.4631824493408,23.9336853027344,24.8927307128906,26.3802433013916,25.9168395996094,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
