"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Billfish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00412289844825864,0.00410923454910517,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00588745949789882,0.00584009476006031,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000123030695249327,0.000179731025127694,0.000260212458670139,0.000377700343960896,-9999,-9999,-9999,-9999,-9999,0.000985572696663439,0.00140585727058351,0.00198097946122289,0.00278568756766617,0.00394429266452789,0.00568439811468124,0.00837166514247656,0.00831156689673662,0.00826325546950102,0.00818188954144716,0.00794089492410421,0.00752565823495388,-9999,-9999,0.00483335042372346,0.00688032479956746,0.0065876878798008,0.00944644492119551,0.00924646109342575,0.00918074604123831,0.00921670533716679,0.00931166671216488,0.00943699851632118,0.0095694912597537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00012567474914249,0.000184288175660186,0.00026729388628155,0.000382673664717004,0.000471483072033152,0.000634235213510692,0.00064447772456333,-9999,0.00109591241925955,0.00107700389344245,0.00146831606980413,0.00203862483613193,0.00284551084041595,0.0039814030751586,0.00561161618679762,0.00804381258785725,0.0117773795500398,0.0116330599412322,0.0114756589755416,0.0111485356464982,0.0106716891750693,0.00996265560388565,0.00898231845349073,0.00809693802148104,0.007223148830235,0.00969229452311993,0.00895822886377573,0.0124322585761547,0.0120203476399183,0.0119878426194191,0.0121318362653255,0.0123331993818283,0.0125898541882634,0.0129168890416622,0.00892967637628317,0.00919777620583773,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00018759595695883,0.000275285361567512,0.000399033830035478,0.000570986827369779,0.000699650088790804,0.000933726842049509,0.00102328648790717,0.00159995397552848,0.00133698142599314,0.00156502693425864,0.0021006956230849,0.00287934159860015,0.00398530066013336,0.00553636904805899,0.00772977108135819,0.0109296580776572,0.015755083411932,0.0154057266190648,0.0150959566235542,0.0145897027105093,0.0139381932094693,0.0130576714873314,0.0120654469355941,0.0109516922384501,0.00971711240708828,0.0126214548945427,0.0112616177648306,0.0365168862044811,0.927566170692444,0.312258243560791,0.0893700569868088,0.0751671940088272,0.0572923645377159,0.0360136926174164,0.0119789410382509,0.0127899926155806,0.00912248436361551,0.00648953532800078,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00234715011902153,0.00161133147776127,0.0011098082177341,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000351503171259537,-9999,-9999,-9999,0.000482766306959093,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000267274939687923,0.000389023247407749,0.00045193696860224,-9999,0.00145508942659944,0.00217594695277512,0.00199091015383601,0.00220582587644458,0.00295011326670647,0.00402111932635307,0.00553098553791642,0.00761654414236546,0.010462605394423,0.0143660809844732,0.0199609119445086,0.0190921649336815,0.0185567066073418,0.0179294086992741,0.0171669311821461,0.0161015260964632,0.0149357728660107,0.0136050498113036,0.0121006742119789,0.0228247474879026,0.165959686040878,1.31853199005127,1.33012425899506,1.33102488517761,1.32554125785828,1.14011240005493,0.730621099472046,0.174602866172791,0.0431367196142673,0.0306144189089537,0.0126529019325972,0.00940722040832043,0.00676243472844362,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0032809367403388,0.00228290748782456,0.00160190602764487,0.00111706659663469,0.00076854380313307,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00073592591797933,0.000749059196095914,-9999,-9999,0.00133550411555916,0.00126344070304185,-9999,-9999,0.00107618269976228,0.000749951985199004,-9999,-9999,-9999,-9999,-9999,0.00196445896290243,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0025883570779115,0.00333047425374389,0.00283667771145701,0.00290128099732101,0.00412553129717708,0.005623041652143,0.00770315807312727,0.0105094602331519,0.0141308819875121,0.0185583997517824,0.0350652784109116,0.0665355175733566,0.0647708773612976,0.0463851355016232,0.0363043732941151,0.0377847664058208,0.0474734604358673,0.0652948468923569,0.0603726394474506,1.21388232707977,1.31964766979218,1.32570910453796,1.33109176158905,1.33202230930328,1.33263325691223,1.33774185180664,1.25559663772583,0.851194739341736,0.147833868861198,0.0964456275105476,0.0343513078987598,0.0133752692490816,0.0100158620625734,0.00719042355194688,-9999,-9999,-9999,-9999,-9999,0.00839792471379042,0.00586745189502835,0.0043170340359211,0.00312138791196048,0.00224080728366971,0.00159369921311736,0.0011114589869976,0.000758880749344826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00154111837036908,0.00199678423814476,-9999,-9999,-9999,-9999,0.00212925625964999,0.00176212284713984,0.00193178316112608,0.0019894924480468,0.00288357282988727,0.00287157390266657,0.00275650154799223,0.00284249638207257,0.00287936744280159,0.00214438838884234,-9999,0.00121680169831961,0.00220007286407053,-9999,-9999,0.00310731562785804,0.00210926681756973,0.00200369907543063,0.00265897158533335,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00140758918132633,0.00205250829458237,-9999,-9999,-9999,0.00461501441895962,0.00448459619656205,0.00282150809653103,0.00383072323165834,0.00522952107712626,0.00713879754766822,0.00966143608093262,0.0128032155334949,0.0162333641201258,0.0605137124657631,0.129335209727287,0.139598295092583,0.100606024265289,0.10631524771452,0.123540371656418,0.0962217003107071,0.131745457649231,1.17752540111542,1.32740986347198,1.32845532894135,1.33324205875397,1.33843863010406,1.34177219867706,1.34102785587311,1.34042239189148,1.34440624713898,1.13147878646851,0.371459156274796,0.165094599127769,0.0599323399364948,0.0128026399761438,0.00978009961545467,0.0072210798971355,0.00786363426595926,0.00588779989629984,0.00651874579489231,0.00698419194668531,0.0110510680824518,0.0115971257910132,0.00815287046134472,0.00586264999583364,0.00426147505640984,0.00309380097314715,0.00222925934940577,0.00157683563884348,0.00109818845521659,0.000756013731006533,0.000517070409841835,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
