"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Blacktip Shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000639356148894876,0.000625232642050833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00105196097865701,0.000933904084376991,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000137084716698155,0.000163449338288046,0.000213453633477911,0.000187781362910755,-9999,-9999,-9999,-9999,-9999,0.0747926458716393,0.0742199048399925,0.0720879659056664,0.0656689330935478,0.0358829461038113,0.0395303666591644,0.0722630545496941,0.0700478553771973,0.072715662419796,0.0217064060270786,0.0788499265909195,0.0730536356568336,-9999,-9999,0.0710441693663597,0.106063902378082,0.0998782217502594,0.100185833871365,0.116362869739532,0.11641338467598,0.11598751693964,0.115298748016357,0.113207437098026,0.0899215489625931,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00014234492846299,0.000163792588864453,0.00020764974760823,0.000284531764918938,0.000266883027506992,0.000369846704415977,0.000287447910523042,-9999,0.0154557693749666,0.0901814550161362,0.100866891443729,0.118981242179871,0.122591696679592,0.12267579883337,0.105843223631382,0.114645399153233,0.112035803496838,0.116924352943897,0.117407485842705,0.116526417434216,0.115957371890545,0.102747179567814,0.109505131840706,0.118744641542435,0.118379980325699,0.117226853966713,0.115822188556194,0.115019395947456,0.114655137062073,0.114483408629894,0.113994352519512,0.11297158151865,0.111220702528954,0.109382502734661,0.106925420463085,0.104905411601067,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000183079522685148,0.000198497786186635,0.000271660566795617,0.000353380833985284,0.000327748915879056,0.000434092391515151,0.000456530076917261,0.0010258510010317,0.00191579316742718,0.117355205118656,0.125500366091728,0.127234593033791,0.130896851420403,0.128834038972855,0.127651110291481,0.125097393989563,0.12390224635601,0.124044418334961,0.124674424529076,0.125096276402473,0.123884931206703,0.12245088070631,0.121012046933174,0.119230702519417,0.117472887039185,0.115652017295361,0.113975241780281,0.111897490918636,0.0916964560747147,0.104903258383274,0.10912848263979,0.108399853110313,0.107269749045372,0.105874381959438,0.104387134313583,0.102925822138786,0.101818531751633,0.101342007517815,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0809634849429131,0.0811532884836197,0.0813671424984932,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0239422246813774,-9999,-9999,-9999,0.030662439763546,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000304009940009564,0.000274616380920634,0.000196556080481969,-9999,0.000568574934732169,0.00123259681276977,0.00409425189718604,0.0644775927066803,0.102349571883678,0.130105376243591,0.134490951895714,0.121595613658428,0.13189634680748,0.12880676984787,0.126960456371307,0.126282498240471,0.125583067536354,0.124804183840752,0.123407371342182,0.121615618467331,0.11968607455492,0.118170268833637,0.116642892360687,0.114709347486496,0.108930967748165,0.00824841298162937,0.000769192236475646,0.000765528064221144,0.0323054678738117,0.0788033679127693,0.0926218032836914,0.101152949035168,0.102772004902363,0.101724565029144,0.101425871253014,0.101159662008286,0.101467981934547,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.113653942942619,0.129922300577164,0.115262314677238,0.0817861184477806,0.0823041349649429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0366519242525101,0.0398611202836037,-9999,-9999,0.0428876914083958,0.0425733849406242,-9999,-9999,0.0415213070809841,0.0648625418543816,-9999,-9999,-9999,-9999,-9999,0.0377537310123444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000810883531812578,0.00129593722522259,0.0326970964670181,0.0579986460506916,0.0910572186112404,0.0867715403437614,0.0852933824062347,0.0837762653827667,0.135477527976036,0.131895810365677,0.128102988004684,0.125341460108757,0.123929686844349,0.122997589409351,0.121721334755421,0.120003834366798,0.118078649044037,0.116105236113071,0.114965513348579,0.0736098363995552,0.000782946823164821,0.000777943641878664,0.000518504937645048,0.000513976498041302,0.000754407257772982,0.0106498468667269,0.0291242096573114,0.0810794457793236,0.0998797416687012,0.10006607323885,0.100674092769623,0.100938014686108,0.101554252207279,0.102246388792992,-9999,-9999,-9999,-9999,-9999,0.114616245031357,0.117425233125687,0.12857860326767,0.131346493959427,0.132906168699265,0.132730841636658,0.123458877205849,0.0830082595348358,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0383294820785522,0.0540453381836414,-9999,-9999,-9999,-9999,0.0555913746356964,0.0602740384638309,0.0754971355199814,0.110717497766018,0.0933202803134918,0.109349951148033,0.115160867571831,0.128183245658875,0.124170176684856,0.0595975406467915,-9999,0.03656355291605,0.0717526152729988,-9999,-9999,0.0738995671272278,0.0367198549211025,0.0190941113978624,0.0106974123045802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0728059113025665,0.0322548225522041,-9999,-9999,-9999,0.0519963391125202,0.0916525647044182,0.0919975787401199,0.0887581780552864,0.0873812288045883,0.0863952860236168,0.120687663555145,0.137290433049202,0.132993087172508,0.127401053905487,0.123351231217384,0.121371544897556,0.120645366609097,0.118893995881081,0.116975963115692,0.116207122802734,0.114029049873352,0.0803874582052231,0.00079379283124581,0.000528721313457936,0.000526431889738888,0.000350719288690016,0.000347125926055014,0.000508423952851444,0.000741463562007993,0.00301417079754174,0.076587125658989,0.0957537069916725,0.0986751839518547,0.10017728805542,0.101101838052273,0.101771533489227,0.102877728641033,0.0634192153811455,0.0562032274901867,0.000780220725573599,0.0735922530293465,0.109016790986061,0.116472579538822,0.122033566236496,0.126149907708168,0.129121169447899,0.131585508584976,0.133820652961731,0.135742902755737,0.118269979953766,0.0842681303620338,0.0847677960991859,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
