"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Demersal coastal invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.025360956788063,0.0265764389187098,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0475180558860302,0.0495865531265736,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.09628105949378E-05,4.52829954156186E-05,0.000100502933491953,0.000177594425622374,-9999,-9999,-9999,-9999,-9999,0.142676025629044,0.151415467262268,0.130463406443596,0.111854448914528,0.102911069989204,0.12705697119236,0.184518486261368,0.20430850982666,0.194615140557289,0.118630528450012,0.144818022847176,0.148431330919266,-9999,-9999,0.113269589841366,0.122178316116333,0.0949640870094299,0.0942433178424835,0.0909646674990654,0.0934579223394394,0.100419007241726,0.108694136142731,0.106253460049629,0.113316051661968,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.28644023789093E-05,3.01670042972546E-05,8.40089487610385E-05,0.000219874098547734,0.000515756953973323,0.00131189695093781,0.00225385441444814,-9999,0.056640736758709,0.101049087941647,0.13166980445385,0.156878545880318,0.165254041552544,0.178674504160881,0.145044952630997,0.174016505479813,0.23008693754673,0.238930732011795,0.222307056188583,0.192940637469292,0.182428807020187,0.148027166724205,0.144446730613708,0.118447981774807,0.106594622135162,0.0889689102768898,0.0634930059313774,0.0556665658950806,0.0512095987796783,0.0536456033587456,0.0561992004513741,0.0613219104707241,0.0585449114441872,0.0579273588955402,0.0443012863397598,0.0333833508193493,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.74293018062599E-05,4.70885970571544E-05,0.00015771554899402,0.000383814331144094,0.000885002722498029,0.00368594471365213,0.00739706354215741,0.0151861812919378,0.0307417474687099,0.0932951346039772,0.138081714510918,0.171842113137245,0.195306360721588,0.20516400039196,0.194579571485519,0.220756366848946,0.224011480808258,0.207425683736801,0.186625003814697,0.171756237745285,0.1565792709589,0.134437218308449,0.110616520047188,0.0946048647165298,0.0749563798308372,0.0534259453415871,0.0368258878588676,0.0269277300685644,0.00773573201149702,0.012285653501749,0.0205720048397779,0.0226928740739822,0.0256828628480434,0.0273410212248564,0.0253529734909534,0.0253228228539228,0.0268332567065954,0.0328664369881153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.227794289588928,0.213516607880592,0.198650494217873,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0140386261045933,-9999,-9999,-9999,0.0208223238587379,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000173203196027316,0.000276800099527463,0.000346001063007861,-9999,0.0127516500651836,0.0233400575816631,0.0457466654479504,0.11215478181839,0.156460344791412,0.203589051961899,0.210228905081749,0.222760051488876,0.225216746330261,0.206095933914185,0.174303263425827,0.15039174258709,0.127255082130432,0.114336535334587,0.102019235491753,0.0852027162909508,0.0645264163613319,0.0527920164167881,0.0416877940297127,0.0320577472448349,0.0135417338460684,0.00195750896818936,0.000247182993916795,0.000681555771734565,0.00179946993011981,0.00257933209650218,0.00456396723166108,0.00920784659683704,0.0154091790318489,0.0194045957177877,0.0259050093591213,0.0319259539246559,0.0370466075837612,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.181472435593605,0.186863869428635,0.179405570030212,0.19345360994339,0.19410152733326,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0322019793093204,0.0320614464581013,-9999,-9999,0.0648228377103806,0.0579201169312,-9999,-9999,0.0387119464576244,0.0393767058849335,-9999,-9999,-9999,-9999,-9999,0.110029250383377,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0255711264908314,0.0446751564741135,0.0763920247554779,0.114216133952141,0.160295158624649,0.212000980973244,0.236658796668053,0.274683833122253,0.247696608304977,0.204372927546501,0.135770574212074,0.0905644744634628,0.0700333267450333,0.0603750832378864,0.053748968988657,0.0431643910706043,0.0307604074478149,0.0227381344884634,0.0204865112900734,0.00325808278284967,0.00047951823216863,3.3886910387082E-05,5.34551281816675E-06,2.03439631150104E-05,0.00014178897254169,0.000483681302284822,0.000765512057114393,0.00201521720737219,0.00680343667045236,0.0116718504577875,0.0204127915203571,0.0293095745146275,0.0408511683344841,0.0498241595923901,-9999,-9999,-9999,-9999,-9999,0.123325400054455,0.137094587087631,0.146115899085999,0.159282818436623,0.187849581241608,0.193353816866875,0.195766672492027,0.198512449860573,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0684487819671631,0.095925509929657,-9999,-9999,-9999,-9999,0.0753309428691864,0.0873578563332558,0.0778425261378288,0.0928094163537025,0.0943699330091476,0.0970228016376495,0.0925154760479927,0.0732028186321259,0.0839709863066673,0.0574276745319366,-9999,0.0235693547874689,0.0582672208547592,-9999,-9999,0.102755047380924,0.0735971704125404,0.0474043339490891,0.0358167104423046,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.178648144006729,0.155005633831024,-9999,-9999,-9999,0.140563443303108,0.158711716532707,0.168314650654793,0.200069069862366,0.239232033491135,0.270647794008255,0.277557194232941,0.234326630830765,0.166131734848022,0.0879182517528534,0.0453648567199707,0.0329251177608967,0.027240265160799,0.021662475541234,0.0159705113619566,0.0129933906719089,0.00979023799300194,0.00227842130698264,0.000115757786261383,8.22430047264788E-06,5.91896366586298E-07,1.024825451168E-07,3.80556144818911E-07,3.014251433342E-06,2.64819027506746E-05,0.00021611136617139,0.000847547431476414,0.00304425926879048,0.00652508763596416,0.0142499282956123,0.0273277927190065,0.0395473800599575,0.053741592913866,0.0641814917325974,0.0688684731721878,0.0275055393576622,0.0633418560028076,0.0794287994503975,0.110404536128044,0.124426603317261,0.129885405302048,0.133118748664856,0.144907593727112,0.162681922316551,0.201708793640137,0.206924483180046,0.217957377433777,0.236309856176376,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
