"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Dusky Shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00311670475639403,0.00384963629767299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00464604562148452,0.00617453781887889,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000207913035410456,0.000314768927637488,0.000477169087389484,0.000719554198440164,-9999,-9999,-9999,-9999,-9999,0.0623110048472881,0.0623091906309128,0.0511860363185406,0.0336102582514286,0.0223956536501646,0.0230301804840565,0.0606518313288689,0.0631490796804428,0.0550818853080273,0.00738410511985421,0.0143330218270421,0.0536308810114861,-9999,-9999,0.0673380643129349,0.0750399455428123,0.0700764730572701,0.070115365087986,0.0879909843206406,0.0960126146674156,0.0933367311954498,0.0934282168745995,0.0831045806407928,0.0695617273449898,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000205329240998253,0.000311033305479214,0.000474296102765948,0.000721622840501368,0.000958062766585499,0.00143119820859283,0.00157200742978603,-9999,0.0068037835881114,0.065913587808609,0.0742145180702209,0.0801887512207031,0.0868139192461967,0.0940729826688766,0.0473897084593773,0.0737950056791306,0.0827026590704918,0.0843583345413208,0.078715093433857,0.0744955539703369,0.0747976303100586,0.0655793324112892,0.0776117518544197,0.0869417935609818,0.099130243062973,0.129347264766693,0.166785255074501,0.20300167798996,0.201730310916901,0.206699043512344,0.212065577507019,0.217429935932159,0.227967545390129,0.196435645222664,0.117616452276707,0.0905321314930916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000307230890030041,0.000467029254650697,0.000717540038749576,0.0010915189050138,0.00144542439375073,0.0021840890403837,0.0028424053452909,0.0049840877763927,0.00666692107915878,0.0579396598041058,0.0875662341713905,0.0890155658125877,0.109698325395584,0.12851220369339,0.15123625099659,0.15719011425972,0.148172676563263,0.162394851446152,0.174578860402107,0.150637522339821,0.148384109139442,0.141553834080696,0.147838100790977,0.194277480244637,0.205244287848473,0.221636429429054,0.244645237922668,0.29398187994957,0.513943254947662,0.415102422237396,0.336594700813293,0.330898970365524,0.311927437782288,0.29314774274826,0.251074403524399,0.212632283568382,0.14842127263546,0.087178036570549,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0924278497695923,0.0927150323987007,0.0930180251598358,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00779289333149791,-9999,-9999,-9999,0.0142137417569757,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000488785502966493,0.000737035996280611,0.00088727951515466,-9999,0.00260679773055017,0.00439435010775924,0.0078413113951683,0.0226635355502367,0.0890020281076431,0.0940841808915138,0.100491426885128,0.0912367701530457,0.140442401170731,0.225470364093781,0.264017552137375,0.266068458557129,0.268172740936279,0.24507574737072,0.228303551673889,0.245903447270393,0.264002412557602,0.263938367366791,0.263406574726105,0.274615794420242,0.376186072826385,0.740338742733002,0.783601582050323,0.771712958812714,0.672620058059692,0.553178250789642,0.481843084096909,0.371653378009796,0.295767962932587,0.278132736682892,0.216694012284279,0.164743542671204,0.0923145562410355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0996050015091896,0.109806194901466,0.101287543773651,0.0961214303970337,0.0937929973006248,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0136930486187339,0.0161279272288084,-9999,-9999,0.0261781178414822,0.0309934802353382,-9999,-9999,0.0365617759525776,0.0415687784552574,-9999,-9999,-9999,-9999,-9999,0.00654367031529546,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00423238286748528,0.00625133188441396,0.0108002917841077,0.0210116431117058,0.0878895372152328,0.0877146869897842,0.0873340293765068,0.0830579102039337,0.126651808619499,0.237507745623589,0.331486940383911,0.369654893875122,0.363056153059006,0.341337531805038,0.319738954305649,0.318815261125565,0.324241250753403,0.335820615291595,0.326626420021057,0.590206146240234,0.787190973758698,0.790091514587402,0.782876789569855,0.773226857185364,0.765258312225342,0.718136072158813,0.623536109924316,0.466775983572006,0.362093985080719,0.331431895494461,0.282783329486847,0.221392035484314,0.156402632594109,0.0928436443209648,-9999,-9999,-9999,-9999,-9999,0.0957555621862411,0.098341591656208,0.118462517857552,0.132082805037498,0.12661637365818,0.114092774689198,0.105419091880322,0.094100184738636,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0141678666695952,0.012844487093389,-9999,-9999,-9999,-9999,0.0411155857145786,0.0439978018403053,0.0302684791386127,0.0622085593640804,0.0305926129221916,0.0508968718349934,0.077340692281723,0.0959668308496475,0.0826668217778206,0.0533610172569752,-9999,0.0233827922493219,0.0314870476722717,-9999,-9999,0.0192892551422119,0.00776674738153815,0.00493488041684031,0.00445623369887471,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0242309719324112,0.00841816607862711,-9999,-9999,-9999,0.0084479209035635,0.0808094367384911,0.0888560563325882,0.0903172343969345,0.0874542221426964,0.0849719047546387,0.0905731022357941,0.140285342931747,0.239043831825256,0.368242532014847,0.407098323106766,0.407583773136139,0.377203941345215,0.376179248094559,0.381763428449631,0.365278124809265,0.375794231891632,0.577165603637695,0.798474788665771,0.795976758003235,0.788516759872437,0.781019985675812,0.772781193256378,0.76609069108963,0.761830985546112,0.742175877094269,0.537214398384094,0.416587650775909,0.366838753223419,0.304877072572708,0.241785198450089,0.191975802183151,0.0991792976856232,0.0676580891013145,0.0310817360877991,0.00946952123194933,0.0409154556691647,0.111300453543663,0.138846829533577,0.156535968184471,0.16654060781002,0.161901131272316,0.160808682441711,0.15037427842617,0.132168680429459,0.105501003563404,0.0939164981245995,0.0939021930098534,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
