"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Goliath grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.193526476621628,0.190460383892059,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.327562898397446,0.321342945098877,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00442275544628501,0.00571231311187148,0.00979043915867805,0.0161811243742704,-9999,-9999,-9999,-9999,-9999,0.280969947576523,0.321376204490662,0.386129021644592,0.429764449596405,0.507886052131653,0.553118288516998,0.558384597301483,0.597467243671417,0.566873848438263,0.573919177055359,0.562114238739014,0.545796573162079,-9999,-9999,0.810923397541046,0.864741265773773,0.814384281635284,0.870152831077576,1.361612200737,1.5199146270752,1.50168335437775,1.76020920276642,1.11025869846344,0.866035223007202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0041691823862493,0.0055345525033772,0.0107961054891348,0.019141087308526,0.0264537893235683,0.0463370382785797,0.0535027235746384,-9999,0.191328331828117,0.284705489873886,0.435495495796204,0.553957343101501,0.75258857011795,0.86471551656723,0.873484551906586,1.05091786384583,1.11461651325226,1.27594089508057,1.12241518497467,1.16746520996094,1.10987150669098,1.03810095787048,1.13472723960876,1.49141836166382,1.59212791919708,1.81321322917938,2.00985360145569,2.28859496116638,2.31526875495911,2.52274346351624,2.51422524452209,2.28235507011414,2.28057456016541,2.15629363059998,1.61663782596588,1.19121074676514,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00518012046813965,0.0100793493911624,0.0217105094343424,0.0349358208477497,0.050660640001297,0.0749592483043671,0.104924939572811,0.185541987419128,0.224432289600372,0.461457908153534,0.733839809894562,1.03802835941315,1.45427334308624,1.6418160200119,1.95439267158508,2.37641882896423,2.33127379417419,2.48739290237427,2.41513109207153,2.59455275535583,2.37183237075806,2.34504842758179,2.31103372573853,2.80077362060547,2.73882985115051,2.65258502960205,2.31666922569275,2.58692026138306,2.36911535263062,2.72651958465576,2.82029724121094,2.9439070224762,2.45881772041321,2.63279891014099,2.10921621322632,1.90247750282288,1.24705743789673,0.803617119789124,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.634684860706329,0.530285477638245,0.447830855846405,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.048700213432312,-9999,-9999,-9999,0.0562264025211334,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0186346434056759,0.0277192518115044,0.0349780581891537,-9999,0.110304616391659,0.176230549812317,0.224527761340141,0.389204025268555,0.635732471942902,1.11607301235199,1.50412654876709,1.25013995170593,2.14241981506348,2.71028757095337,2.91289639472961,3.18154907226563,3.17928457260132,3.62922430038452,3.20470929145813,3.4849841594696,3.22165870666504,3.2927680015564,2.91891741752625,2.899418592453,2.50277376174927,0.609935402870178,0.484815180301666,0.50665009021759,1.62691450119019,2.66070699691772,2.39232110977173,2.48493385314941,2.41123366355896,2.42535924911499,1.83930313587189,1.41249060630798,0.889915347099304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.21294927597046,1.30735313892365,0.861489772796631,0.612689256668091,0.486098945140839,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.131576389074326,0.129188761115074,-9999,-9999,0.201712295413017,0.176151677966118,-9999,-9999,0.123767204582691,0.0824625343084335,-9999,-9999,-9999,-9999,-9999,0.173088908195496,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.156946644186974,0.220386490225792,0.255125850439072,0.370921403169632,0.60221791267395,0.855686485767365,1.02063655853271,1.06845426559448,1.99385559558868,2.36369729042053,2.51367926597595,2.99400949478149,3.25152778625488,3.55319666862488,3.35662126541138,3.39704060554504,3.22782850265503,3.34391856193542,3.0844624042511,2.68032360076904,0.507552087306976,0.431541830301285,0.350872933864594,0.369650185108185,0.466194123029709,0.890991508960724,1.31978511810303,2.1605167388916,2.41688704490662,2.50456476211548,2.437744140625,1.97352457046509,1.48182833194733,1.05550277233124,-9999,-9999,-9999,-9999,-9999,1.38371634483337,1.48717772960663,2.05427932739258,2.15919089317322,1.72214686870575,1.28699827194214,0.992558538913727,0.593762636184692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.243607893586159,0.334780782461166,-9999,-9999,-9999,-9999,0.299473136663437,0.377440422773361,0.408939123153687,0.730642259120941,0.607004046440125,0.487599670886993,0.446990340948105,0.696958959102631,0.52664852142334,0.280088394880295,-9999,0.0919155329465866,0.182225316762924,-9999,-9999,0.269105136394501,0.194055378437042,0.174372270703316,0.233018830418587,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.12447876483202,0.199475213885307,-9999,-9999,-9999,0.285186678171158,0.342210024595261,0.421094417572021,0.613785147666931,0.76017552614212,1.08531355857849,1.25976073741913,2.42380261421204,2.35019111633301,2.63388395309448,2.84155750274658,3.21525168418884,3.20814728736877,3.41848087310791,3.12743592262268,2.93967890739441,3.0179078578949,2.60294723510742,0.499287396669388,0.359597772359848,0.302398532629013,0.244313970208168,0.257654756307602,0.352136254310608,0.451689213514328,0.473416835069656,2.44958686828613,2.56064796447754,2.69697308540344,2.71412491798401,2.65716028213501,1.98846614360809,1.26803636550903,0.559777140617371,0.438777834177017,0.469726145267487,0.828542172908783,1.60643136501312,2.12843012809753,2.45544028282166,2.78978133201599,2.51875424385071,2.25006699562073,2.08405208587646,1.93350386619568,1.11421346664429,0.61337411403656,0.382296234369278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
