"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Gray triggerfish"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0144353928044438,0.0202470384538174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0222120434045792,0.0306336712092161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.27552838320844E-05,0.000699400319717824,0.0011824156390503,0.00186584587208927,-9999,-9999,-9999,-9999,-9999,0.0607738345861435,0.0736551210284233,0.0635958015918732,0.0597048848867416,0.0495965145528316,0.0482075363397598,0.0591643154621124,0.0621633045375347,0.0602806992828846,0.0320752114057541,0.0633603855967522,0.0309495832771063,-9999,-9999,0.0486516952514648,0.0684372261166573,0.0522624142467976,0.0664164945483208,0.306026101112366,0.375735729932785,0.419030904769897,0.510435402393341,0.247084215283394,0.0546133778989315,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.3862742788624E-05,0.000770738814026117,0.00140882667619735,0.00234790425747633,0.00333424215205014,0.00573263317346573,0.00746073201298714,-9999,0.0400754474103451,0.0732378885149956,0.0986194014549255,0.197572886943817,0.26042577624321,0.283500880002975,0.164819896221161,0.172076910734177,0.190133467316628,0.312903344631195,0.262973040342331,0.198011040687561,0.18069389462471,0.109498828649521,0.130045309662819,0.297505736351013,0.614429533481598,0.842889189720154,0.98749315738678,0.902754247188568,0.926522135734558,1.03650772571564,1.12958478927612,0.813126802444458,1.26595366001129,1.22772967815399,1.10732936859131,0.482904583215714,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000674631563015282,0.00138951989356428,0.00306824198924005,0.00503391679376364,0.00683854753151536,0.0105761000886559,0.0142895011231303,0.0257620830088854,0.0341389290988445,0.108197748661041,0.172303646802902,0.258900165557861,0.889093577861786,1.39423441886902,1.61578094959259,1.90758323669434,1.77396440505981,1.78836977481842,2.00858616828918,1.94965171813965,1.72972226142883,1.5136194229126,1.35434198379517,1.53476762771606,1.16370010375977,1.26442337036133,0.902368664741516,0.954958498477936,0.941188395023346,1.19625496864319,1.17695426940918,1.35054457187653,1.03240168094635,1.06229686737061,1.14043533802032,1.05374944210052,0.638072967529297,0.297887474298477,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0720846131443977,0.0671911090612411,0.0525562204420567,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0111319255083799,-9999,-9999,-9999,0.00959037430584431,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00245548388920724,0.00376453972421587,0.00455206912010908,-9999,0.0131032979115844,0.0211046319454908,0.0305963195860386,0.0532817095518112,0.0967909395694733,0.222448155283928,0.448949724435806,0.26198735833168,1.95461332798004,2.32004356384277,1.83318710327148,1.53504323959351,2.09294319152832,2.76906704902649,2.32992887496948,2.31647849082947,2.40549802780151,1.91724216938019,1.17564749717712,1.169713139534,1.15049743652344,0.199937075376511,0.00296991528011858,0.00893855839967728,0.696781516075134,0.935034513473511,0.762631416320801,0.795471370220184,0.89631986618042,1.09492218494415,0.925702035427094,0.817598819732666,0.42528709769249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.278242081403732,0.494156390428543,0.0974436849355698,0.0554143749177456,0.0573214180767536,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0188434105366468,0.0267652999609709,-9999,-9999,0.0272602941840887,0.0251701604574919,-9999,-9999,0.0187233798205853,0.0470148622989655,-9999,-9999,-9999,-9999,-9999,0.0349178835749626,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0215978156775236,0.0305171068757772,0.0410386696457863,0.0560238435864449,0.0778983384370804,0.0854828730225563,0.0672326311469078,0.0815855115652084,0.85265177488327,1.38918399810791,1.38679850101471,1.30788481235504,1.32627689838409,1.83698678016663,1.7109203338623,1.74384987354279,1.99015474319458,1.70114243030548,1.18906533718109,1.24510478973389,0.00414529768750072,0.00124874734319746,0.000580910185817629,0.00161610019858927,0.00488912127912045,0.247016504406929,0.384369760751724,0.530036270618439,0.619863450527191,0.808412730693817,0.941677749156952,0.933003306388855,0.803073942661285,0.343859404325485,-9999,-9999,-9999,-9999,-9999,0.262301117181778,0.205306634306908,0.912639200687408,1.27968013286591,0.625936686992645,0.319691956043243,0.174675777554512,0.0691298842430115,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0371039249002934,0.0588449686765671,-9999,-9999,-9999,-9999,0.0444008782505989,0.0581508353352547,0.0850419625639915,0.353156059980392,0.221494033932686,0.199125081300735,0.227401956915855,0.709883511066437,0.269009947776794,0.045370738953352,-9999,0.0126766031607985,0.0543764494359493,-9999,-9999,0.135116800665855,0.0364858284592628,0.0237102508544922,0.0212866105139256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0767431482672691,0.0475387871265411,-9999,-9999,-9999,0.0475171059370041,0.0873555541038513,0.0871130526065826,0.0840946733951569,0.0693955048918724,0.0816574394702911,0.124407418072224,1.11248743534088,1.17045783996582,1.17281532287598,1.15467119216919,1.12217807769775,1.30401301383972,1.89466226100922,1.61570370197296,1.47736549377441,1.22932243347168,1.07496774196625,0.00214345310814679,0.000544537673704326,0.00042171505629085,0.000281146116321906,0.000490400940179825,0.00082637119339779,0.00332435127347708,0.0321108549833298,0.644818484783173,0.693545639514923,0.992720246315002,1.11267852783203,1.05159914493561,0.914823651313782,0.465265572071075,0.0336693823337555,0.0324671529233456,0.0180189665406942,0.0527548044919968,0.901841461658478,1.33961856365204,1.40377569198608,2.12451791763306,2.00632572174072,1.35368382930756,1.05944573879242,0.783705830574036,0.214818641543388,0.0724483579397202,0.0723111480474472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
