"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"King Mackerel (1+)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0614586211740971,0.0734934583306313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0768886581063271,0.0876337513327599,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000973928777966648,0.00150039326399565,0.00238538766279817,0.00380690838210285,-9999,-9999,-9999,-9999,-9999,0.232092276215553,0.24257729947567,0.202659547328949,0.188217163085938,0.137241780757904,0.138325363397598,0.221745476126671,0.338880479335785,0.305323749780655,0.061466671526432,0.203483551740646,0.319988667964935,-9999,-9999,0.224877297878265,0.251476645469666,0.0660979375243187,0.0379883386194706,0.0893655270338058,0.109157919883728,0.112931825220585,0.111023664474487,0.0802689865231514,0.032640378922224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000935148040298373,0.00141398003324866,0.00219599669799209,0.00360927847214043,0.0054726442322135,0.00975747685879469,0.0119843725115061,-9999,0.0550385154783726,0.205322071909904,0.325390577316284,0.537140548229218,0.61927342414856,0.578341126441956,0.374438136816025,0.390750735998154,0.526156425476074,0.835257709026337,0.791551530361176,0.591858565807343,0.564900577068329,0.40025994181633,0.608333647251129,0.733523666858673,0.678579092025757,0.45037305355072,0.303109109401703,0.23949159681797,0.218041002750397,0.21677964925766,0.221965759992599,0.222417011857033,0.228139564394951,0.260776251554489,0.37442409992218,0.400634348392487,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00137261545751244,0.00205199560150504,0.00316163687966764,0.00523897493258119,0.00813070125877857,0.0155100021511316,0.0239927098155022,0.0451771654188633,0.0453904829919338,0.32159087061882,0.593797385692596,0.741127490997314,1.16213297843933,1.28582715988159,1.31202113628387,1.33154702186584,1.36883187294006,1.41032004356384,1.37889516353607,1.28741633892059,1.22793543338776,1.15802979469299,1.08589458465576,0.953216969966888,0.719379186630249,0.577537715435028,0.477139830589294,0.404828608036041,0.342543959617615,0.332410097122192,0.351982861757278,0.362561374902725,0.366303950548172,0.393654882907867,0.451895743608475,0.489511549472809,0.489196717739105,0.406365483999252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.174590587615967,0.187584474682808,0.20816633105278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0685375034809113,-9999,-9999,-9999,0.188295766711235,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00203876616433263,0.00325664947740734,0.00421612756326795,-9999,0.0279938019812107,0.0430843830108643,0.0463197305798531,0.254331886768341,0.426544040441513,0.733692467212677,0.977702140808105,0.729097425937653,1.31421113014221,1.34560823440552,1.36836349964142,1.36141800880432,1.29830896854401,1.20679926872253,1.13535618782043,1.07579600811005,0.99957013130188,0.870800375938416,0.75894433259964,0.695512652397156,0.62333220243454,0.350867182016373,0.01062386110425,0.0938866510987282,0.428628176450729,0.498140156269073,0.497655004262924,0.501309514045715,0.512650549411774,0.520403325557709,0.49646532535553,0.431338101625443,0.312852710485458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.218989595770836,0.371540039777756,0.293340593576431,0.230666667222977,0.258721619844437,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.110379092395306,0.123145699501038,-9999,-9999,0.193247854709625,0.24953518807888,-9999,-9999,0.2789186835289,0.504362106323242,-9999,-9999,-9999,-9999,-9999,0.0916051492094994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.05210330337286,0.0567926131188869,0.0659334436058998,0.270041167736053,0.381639093160629,0.39945051074028,0.397995978593826,0.376329123973846,1.06459474563599,1.13385033607483,1.16557192802429,1.15590333938599,1.06927800178528,0.912157535552979,0.858502745628357,0.843430459499359,0.8359215259552,0.823639094829559,0.810379326343536,0.775799632072449,0.0467654280364513,0.00139182794373482,0.000879853731021285,0.00150026148185134,0.0622435510158539,0.413694262504578,0.493001967668533,0.551414012908936,0.56586891412735,0.551110804080963,0.518473267555237,0.441148191690445,0.318981915712357,0.189142972230911,-9999,-9999,-9999,-9999,-9999,0.113377712666988,0.164676636457443,0.329260408878326,0.462531805038452,0.481221884489059,0.446222245693207,0.355432093143463,0.228730916976929,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.149367943406105,0.175693541765213,-9999,-9999,-9999,-9999,0.308930456638336,0.288793712854385,0.209261760115623,0.510775625705719,0.298435986042023,0.424421399831772,0.725767970085144,1.0223525762558,0.815196990966797,0.44727835059166,-9999,0.204676702618599,0.342563688755035,-9999,-9999,0.186546355485916,0.0873844251036644,0.0572679899632931,0.0607783272862434,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.234429389238358,0.05815090239048,-9999,-9999,-9999,0.0822398439049721,0.36263182759285,0.345132321119308,0.343600243330002,0.332858204841614,0.28487566113472,0.355781674385071,0.714005053043365,0.736425578594208,0.752677083015442,0.779125809669495,0.757350981235504,0.721669137477875,0.728643834590912,0.75089293718338,0.780311465263367,0.82514876127243,0.84533679485321,0.00231235404498875,0.00105857930611819,0.000314300967147574,0.000216435961192474,0.000347374618286267,0.00127659772988409,0.0186837296932936,0.266934841871262,0.668847918510437,0.652150511741638,0.618891358375549,0.565984666347504,0.466825306415558,0.321129441261292,0.165043741464615,0.0239863973110914,0.00905611924827099,0.000317029102006927,0.0160669162869453,0.139750316739082,0.221344619989395,0.299122720956802,0.386113375425339,0.439777404069901,0.470383793115616,0.502773344516754,0.497530251741409,0.273306638002396,0.199466601014137,0.221881285309792,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
