"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Large Oceanic Sharks"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000223994735279121,0.000223951283260249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00033438773243688,0.00033418441307731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.85458882496459E-06,1.47268910950515E-05,2.1996087525622E-05,3.28253809129819E-05,-9999,-9999,-9999,-9999,-9999,0.000105806699139066,0.000105220664408989,0.000155649526277557,0.000230484161875211,0.000341726728947833,0.000340026599587873,0.000338181213010103,0.000501791248098016,0.000500182679388672,0.000498828885611147,0.000497728120535612,0.000496651220601052,-9999,-9999,0.00108923576772213,0.00162531540263444,0.00242796912789345,0.00362529209814966,0.003626499325037,0.00362825742922723,0.00362918805330992,0.00243183760903776,0.00243010581471026,0.0016277483664453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.85105907602701E-06,1.47316086440696E-05,2.20533765968867E-05,3.29520589730237E-05,4.30446343671065E-05,6.32323281024583E-05,6.86694038449787E-05,-9999,0.000154432578710839,0.000159466260811314,0.000158227980136871,0.000156882932060398,0.000231734797125682,0.000342970248311758,0.000508401775732636,0.000505854783114046,0.000503180490341038,0.000746771751437336,0.000744426622986794,0.000742337782867253,0.000740271992981434,0.000737881055101752,0.00109576422255486,0.00109275279100984,0.00162631750572473,0.00242457259446383,0.00361783849075437,0.005400734487921,0.00540487561374903,0.00540888635441661,0.00541053852066398,0.00362486788071692,0.00362049811519682,0.00242132018320262,0.00161665701307356,0.00108020729385316,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47148002724862E-05,2.20406382140936E-05,3.30986476910766E-05,4.94701962452382E-05,6.45470136078075E-05,9.58309028646909E-05,0.000119669559353497,0.000208549128728919,0.000187931640539318,0.000237632266362198,0.000235700776102021,0.000233495171414688,0.000344616099027917,0.000509758305270225,0.000755321350879967,0.000751510728150606,0.000747749872971326,0.00111021508928388,0.00110696617048234,0.00110403425060213,0.00110116333235055,0.00109808123670518,0.00163301348220557,0.00162953580729663,0.00242686201818287,0.00361793022602797,0.00539835076779127,0.00806029234081507,0.00806731823831797,0.0080741997808218,0.0080772815272212,0.005411381367594,0.00540422182530165,0.00361246499232948,0.00241193384863436,0.00161001784726977,0.00107507489155978,0.000718886207323521,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.98464204004267E-05,1.33117855511955E-05,8.93036303750705E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.3679000150878E-05,-9999,-9999,-9999,1.57917420438025E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.23135266423924E-05,3.33079078700393E-05,3.97726253140718E-05,-9999,0.000189519516425207,0.000302104948787019,0.000294979836326092,0.000353277893736959,0.00035044745891355,0.000347184191923589,0.000512418861035258,0.000757907924707979,0.00112285325303674,0.00111713900696486,0.00111182278487831,0.00165161222685128,0.00164748169481754,0.00164379726629704,0.00164016254711896,0.00163635879289359,0.00243545905686915,0.00243225484155118,0.00362476753070951,0.00540576735511422,0.00806772243231535,0.0760047435760498,0.686700701713562,0.24744325876236,0.0267328601330519,0.00808784272521734,0.00807893835008144,0.00540031446143985,0.00360575830563903,0.00240617082454264,0.00160569627769291,0.00107253924943507,0.0010710081551224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.95229201583425E-05,1.98105808522087E-05,1.3299060810823E-05,8.92573098099092E-06,5.9896970014961E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.53048162651248E-05,5.27295196661726E-05,-9999,-9999,4.63527503598016E-05,4.34073735959828E-05,-9999,-9999,3.50674490618985E-05,2.3581565983477E-05,-9999,-9999,-9999,-9999,-9999,0.000106502324342728,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000357617944246158,0.000500837399158627,0.000452007749117911,0.000496089982334524,0.000520478643011302,0.000515932799316943,0.000761876115575433,0.00112719926983118,0.00167038629297167,0.00166234537027776,0.00165529130026698,0.00246062316000462,0.00245560752227902,0.00245114415884018,0.00244662002660334,0.00244205445051193,0.00363654177635908,0.00363298668526113,0.00541586056351662,0.0080775897949934,0.449583828449249,1.18766069412231,1.15219569206238,0.941010713577271,0.38144114613533,0.0620847716927528,0.0250574145466089,0.00760543905198574,0.00539272092282772,0.00359861296601593,0.0024002380669117,0.00160207797307521,0.00159907236229628,0.00107137486338615,-9999,-9999,-9999,-9999,-9999,9.70907276496291E-05,6.51663867756724E-05,4.38134629803244E-05,2.94364581350237E-05,1.97762237803545E-05,1.32846353153582E-05,8.9214609033661E-06,5.98692031417158E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.37100277142599E-05,6.93244219291955E-05,-9999,-9999,-9999,-9999,8.07556789368391E-05,9.27884611883201E-05,0.000147284488775767,0.000104455466498621,0.000104330472822767,0.000104333426861558,0.000100351462606341,0.000103973557997961,0.000103904094430618,7.57798261474818E-05,-9999,5.18600390932988E-05,9.34081472223625E-05,-9999,-9999,0.0001314867840847,0.00012654198508244,0.000119196360174101,0.00015812688798178,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000235106810578145,0.000350252550560981,-9999,-9999,-9999,0.000782911374699324,0.000780900241807103,0.000777371402364224,0.000772483996115625,0.000766412122175097,0.00113263714592904,0.00167676957789809,0.00248604570515454,0.00247552315704525,0.00246689911000431,0.00366987893357873,0.00366395711898804,0.00365823786705732,0.00365239381790161,0.00364657258614898,0.00543156731873751,0.0054264017380774,0.00808793120086193,1.03044497966766,1.20590722560883,1.20590806007385,1.20297884941101,1.18114995956421,1.05345141887665,0.611959278583527,0.138476341962814,0.00808378309011459,0.00540126394480467,0.00360508030280471,0.0024040995631367,0.00239469460211694,0.00238938559778035,0.00159992056433111,0.00107152608688921,0.000717298127710819,0.000480116112157702,0.000321308762067929,0.000215176143683493,0.000144383782753721,9.69271859503351E-05,6.51076916255988E-05,4.37461130786687E-05,2.93978609988699E-05,1.97569988813484E-05,1.32764698719257E-05,8.91886520548724E-06,5.98826818531961E-06,4.01877514377702E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
