"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Menhaden (1yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.27421438694,1.32891416549683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.57896161079407,1.62737393379211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.487582385540009,0.513100624084473,0.538232922554016,0.561352550983429,-9999,-9999,-9999,-9999,-9999,1.11265015602112,1.14755249023438,1.11363101005554,1.3441401720047,1.38475966453552,1.49245548248291,1.6043895483017,1.72835755348206,1.93033909797668,1.53558731079102,2.1957368850708,1.94691407680511,-9999,-9999,1.52657926082611,1.59691715240479,0.658719301223755,0.590788304805756,1.31990575790405,1.54723465442657,1.55956375598907,1.7186496257782,1.26120090484619,0.679041683673859,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.504503130912781,0.523347735404968,0.556020557880402,0.589629471302032,0.555875778198242,0.603850066661835,0.445412963628769,-9999,0.92694091796875,1.12518453598022,1.22483694553375,1.38194334506989,1.6619861125946,1.69059991836548,1.61281514167786,1.73626601696014,1.89686501026154,2.16809320449829,2.14317417144775,2.16128182411194,2.15272879600525,1.92569231987,1.96128630638123,2.05193829536438,2.04051065444946,1.67602562904358,1.16333472728729,0.960082173347473,1.10725152492523,1.1573052406311,1.173379778862,1.12729048728943,0.966552078723907,0.999630630016327,1.24855983257294,1.06355082988739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.534401535987854,0.563589632511139,0.630453050136566,0.678132355213165,0.632408261299133,0.618876814842224,0.79188746213913,0.901867806911469,0.788737773895264,1.3944753408432,1.44927716255188,1.64285492897034,2.04480814933777,2.18178343772888,2.29529714584351,2.25511932373047,2.20594310760498,2.22458720207214,2.24535346031189,2.32150650024414,2.3807373046875,2.30924797058105,2.15307641029358,1.80798983573914,1.472660779953,1.24936389923096,1.02126002311707,0.870724439620972,0.193586394190788,0.553461909294128,0.796765565872192,0.787524521350861,0.799023807048798,0.876620590686798,1.01576137542725,1.07963573932648,1.1820125579834,1.04326045513153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.37531411647797,1.34400701522827,1.36722505092621,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.508394598960876,-9999,-9999,-9999,0.558429181575775,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.692893624305725,0.721271097660065,0.60242372751236,-9999,0.749929845333099,0.883878409862518,0.816256582736969,1.27482175827026,1.25830984115601,1.71339249610901,1.96580541133881,1.6394282579422,2.3504433631897,1.82351994514465,1.5144544839859,1.46986722946167,1.43116819858551,1.47250390052795,1.53367793560028,1.4826066493988,1.3169219493866,1.16042828559875,1.07372152805328,1.06898009777069,0.718299746513367,0.0942714363336563,0.0758036524057388,0.0904707983136177,0.101453229784966,0.152919381856918,0.262072414159775,0.707977056503296,0.863757073879242,0.894601345062256,1.00130462646484,1.15327036380768,0.990680575370789,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.50958120822906,1.80549395084381,1.57369518280029,1.38214802742004,1.43365299701691,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.792924344539642,0.832562923431396,-9999,-9999,1.04554390907288,1.00539147853851,-9999,-9999,0.789980590343475,0.908096313476563,-9999,-9999,-9999,-9999,-9999,1.12316966056824,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.998885631561279,0.961572468280792,0.986707925796509,1.24682247638702,1.3171923160553,1.54256582260132,1.69673848152161,1.61492741107941,2.27829599380493,1.71403765678406,1.29238367080688,1.068190574646,1.0171594619751,1.0293550491333,1.05519104003906,1.01087403297424,0.875585079193115,0.823539853096008,0.869958519935608,0.145005494356155,0.0883382558822632,0.0381101779639721,0.0311661269515753,0.0374541841447353,0.0515151433646679,0.0747512355446815,0.0709793120622635,0.218053251504898,0.677980422973633,0.76650607585907,0.876071512699127,1.02026641368866,1.19913721084595,1.19438433647156,-9999,-9999,-9999,-9999,-9999,1.52003335952759,1.55989742279053,1.88176810741425,2.06819748878479,1.95261323451996,1.81739974021912,1.64312148094177,1.41306960582733,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.03901898860931,1.42480266094208,-9999,-9999,-9999,-9999,1.21732985973358,1.34484612941742,1.39796781539917,1.88659524917603,1.68954288959503,1.76846528053284,1.7736474275589,2.24166417121887,1.84120190143585,1.19223296642303,-9999,0.628264844417572,1.14414858818054,-9999,-9999,1.39114391803741,1.11838400363922,0.942142426967621,1.14991176128387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.31179475784302,1.04376256465912,-9999,-9999,-9999,1.07951807975769,1.32479965686798,1.32224106788635,1.35361933708191,1.60240054130554,1.67560541629791,1.77348959445953,2.34389448165894,1.5601441860199,1.04849278926849,0.85639750957489,0.812829971313477,0.904512345790863,0.862594246864319,0.80190235376358,0.765934705734253,0.733775198459625,0.161641046404839,0.072619654238224,0.0327767543494701,0.0158115364611149,0.0136298472061753,0.0146276317536831,0.0187259819358587,0.0339798480272293,0.0596948675811291,0.136446878314018,0.431946963071823,0.66471141576767,0.803228855133057,0.963842153549194,1.0760270357132,1.09198427200317,0.609805166721344,0.626010954380035,0.474144607782364,0.819544672966003,1.38754093647003,1.73330235481262,1.85737097263336,1.90802276134491,1.93378829956055,1.96882319450378,2.01349115371704,2.00913286209106,1.55627536773682,1.42709445953369,1.45964300632477,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
