"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Mullet

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.07530665397644,1.08412802219391,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.4440438747406,2.4249095916748,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.289237827062607,0.318122923374176,0.336344301700592,0.346208930015564,-9999,-9999,-9999,-9999,-9999,3.00473475456238,3.40236687660217,3.34057664871216,3.29981565475464,3.35213589668274,3.48075556755066,3.49871635437012,3.45442628860474,3.39861750602722,2.98895192146301,3.10596895217896,2.82640695571899,-9999,-9999,2.32201170921326,1.59913444519043,0.0387418568134308,0.000929986999835819,3.30563998431899E-05,1.34850176891632E-06,1.6647322809149E-07,6.22507911884895E-08,1.88815878487958E-08,5.66527669221273E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.292735427618027,0.347007393836975,0.509847223758698,0.577196955680847,0.502748072147369,0.648298263549805,0.800519227981567,-9999,1.86625635623932,2.47434520721436,2.90875887870789,3.41893815994263,3.71303701400757,3.91056990623474,3.56205058097839,3.91271543502808,3.96733736991882,4.15062284469604,4.10442066192627,3.90986800193787,3.75815343856812,3.19839787483215,3.50835514068604,3.04598355293274,1.99385154247284,0.225955605506897,0.0123894056305289,0.000625806977041066,2.67518971668324E-05,4.55968893220415E-06,1.97024064618745E-06,8.02872193617077E-07,3.17427463869535E-07,2.36902181427467E-07,1.17751653760934E-06,1.93076971299888E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.329722464084625,0.525123715400696,1.57089853286743,1.7797110080719,1.45413839817047,1.46916818618774,1.18423235416412,1.57403600215912,1.34534788131714,2.1968297958374,2.70711517333984,3.51216292381287,3.95558071136475,4.26801633834839,4.33884334564209,4.46533536911011,4.40589141845703,4.37946653366089,4.23015689849854,4.22100305557251,4.03134775161743,3.65540075302124,3.06108999252319,2.20203828811646,0.421784669160843,0.0550572983920574,0.006180833093822,0.0012752580223605,0.000135790149215609,3.63277576980181E-05,1.18165953608695E-05,3.57895714842016E-06,1.3601360251414E-06,1.24844643778488E-06,2.67524865193991E-06,3.63285221283149E-06,2.45859132519399E-06,9.33759451982041E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0636799111962318,0.18476291000843,0.367607980966568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.29336416721344,-9999,-9999,-9999,0.314960241317749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.06106376647949,2.11007499694824,1.44946610927582,-9999,1.29440903663635,1.62022471427917,1.60230350494385,2.29183530807495,2.75559258460999,3.3896336555481,3.64627981185913,3.98298835754395,3.99996590614319,4.05344438552856,3.81126356124878,3.68872117996216,3.40681958198547,3.27062702178955,3.05512189865112,2.71665263175964,1.66301810741425,0.510705590248108,0.0988235399127007,0.024423036724329,0.00714178243651986,0.00165243202354759,7.62821146054193E-05,1.53382570715621E-05,8.39151562104234E-06,3.43781903211493E-06,1.11894769361243E-06,1.17417346245929E-06,2.51425740316336E-06,4.58841896033846E-06,4.16123066315777E-06,1.3084517149764E-06,2.93136025675267E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0392107591032982,0.141142904758453,0.329651176929474,0.700851380825043,1.04817247390747,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.624242186546326,0.628805935382843,-9999,-9999,1.09837865829468,0.970479846000671,-9999,-9999,0.622190654277802,0.634604632854462,-9999,-9999,-9999,-9999,-9999,2.15842318534851,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.15240573883057,2.02224779129028,1.78122663497925,2.05720138549805,2.52813839912415,3.04200291633606,3.05544805526733,3.30169057846069,3.14854884147644,3.04075455665588,2.5431079864502,2.03149628639221,1.34288501739502,0.412745803594589,0.308051705360413,0.292247772216797,0.208129867911339,0.0784071385860443,0.0272043999284506,0.00507007632404566,0.000732748187147081,3.14210192300379E-05,1.66965617154347E-06,3.75476162162158E-07,1.19629328310111E-06,3.34488322550897E-06,1.62878359333263E-06,7.46197827083961E-07,1.28549595501681E-06,3.21199104291736E-06,4.72713281851611E-06,2.26606721298594E-06,4.75229398944066E-07,6.8709965717062E-08,-9999,-9999,-9999,-9999,-9999,0.000239382323343307,0.00275906547904015,0.0214083641767502,0.0886242017149925,0.276626974344254,0.5455002784729,0.84928685426712,1.06841313838959,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4191654920578,2.18849563598633,-9999,-9999,-9999,-9999,1.31611573696136,1.65349447727203,1.66478848457336,2.09275317192078,2.32130408287048,2.07842969894409,1.97647798061371,1.63342082500458,1.91860926151276,1.06990385055542,-9999,0.333689600229263,0.968134701251984,-9999,-9999,1.6800125837326,1.37615060806274,1.25843048095703,1.13048493862152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.33514332771301,2.28483080863953,-9999,-9999,-9999,2.34230017662048,2.47338557243347,2.57138562202454,2.55956721305847,2.54767966270447,2.4246199131012,2.2180073261261,1.40723609924316,0.638351142406464,0.227009385824203,0.164196982979774,0.11164003610611,0.0388936027884483,0.0292091760784388,0.0225979294627905,0.0191014669835567,0.0107523193582892,0.00292721460573375,0.000146331469295546,1.15727561933454E-05,5.30527302089467E-07,3.13495363002403E-08,5.5967510625976E-09,2.24155360939449E-08,2.46987525542863E-07,1.70726286796707E-06,2.07521202355565E-06,1.67388520821987E-06,3.56617488250777E-06,5.95201436226489E-06,3.79414177587023E-06,6.87000522248127E-07,5.48410064027394E-08,2.24188689834648E-09,5.60868518295621E-10,8.21158963049129E-09,2.4538647380723E-07,5.33694083060254E-06,7.49733735574409E-05,0.000756722642108798,0.00530094187706709,0.0196480266749859,0.0557046234607697,0.147101476788521,0.367107272148132,0.478027015924454,0.57295149564743,0.870657801628113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
