"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Mutton snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0636629164218903,0.0597457475960255,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.110989317297935,0.104111090302467,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.39894829469267E-05,6.60714140394703E-05,0.000111039327748585,0.000176448113052174,-9999,-9999,-9999,-9999,-9999,0.0266300216317177,0.0355775021016598,0.05930220708251,0.0871618762612343,0.128350555896759,0.185586854815483,0.198791548609734,0.210661694407463,0.204675450921059,0.19235660135746,0.17649082839489,0.188062816858292,-9999,-9999,0.192934170365334,0.192255690693855,0.180355727672577,0.251174598932266,0.264701634645462,0.285686194896698,0.302522957324982,0.306248933076859,0.299215257167816,0.282717615365982,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.48259272868745E-05,5.03413575643208E-05,9.09390728338622E-05,0.000180359711521305,0.00035271467640996,0.000815620762296021,0.00093687855405733,-9999,0.00471681728959084,0.0255160350352526,0.0346287488937378,0.0610199198126793,0.0887065380811691,0.130846723914146,0.185616031289101,0.266761749982834,0.285826325416565,0.302558541297913,0.29804539680481,0.290657609701157,0.265931874513626,0.273527383804321,0.260000586509705,0.310546815395355,0.281077444553375,0.266133427619934,0.247741803526878,0.677866041660309,0.66452431678772,0.79233455657959,0.859247803688049,0.851570010185242,1.10182225704193,0.609951019287109,0.235979869961739,0.203939273953438,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.84781560569536E-05,6.1220649513416E-05,0.000123355683172122,0.000234788152738474,0.000459098460851237,0.00109175906982273,0.00227551185525954,0.0227167122066021,0.0210762601345778,0.0352645292878151,0.0614518001675606,0.0904328599572182,0.132613345980644,0.186741784214973,0.256860613822937,0.362269937992096,0.386798799037933,0.409301996231079,0.401261419057846,0.39557096362114,0.36104279756546,0.366165816783905,0.345360904932022,0.666291117668152,0.820743203163147,1.22384631633759,1.59462571144104,3.28033876419067,5.46223115921021,5.79532766342163,4.90920257568359,4.86665964126587,3.8483726978302,3.16267013549805,1.58588004112244,0.745360136032104,0.185023412108421,0.161179095506668,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.108494438230991,0.0942048504948616,0.0687400624155998,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00807117950171232,-9999,-9999,-9999,0.0112186437472701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000140139745781198,0.000191396116861142,0.000223900482524186,-9999,0.0215695090591908,0.0456060245633125,0.0442583449184895,0.069482333958149,0.0972495079040527,0.140445873141289,0.197191223502159,0.27108833193779,0.360206484794617,0.600186049938202,1.22618174552917,1.47386145591736,1.73065674304962,1.52821385860443,1.12246680259705,1.78974521160126,2.7918860912323,2.81764030456543,2.62447047233582,3.33830571174622,5.42330932617188,1.49267268180847,0.274188756942749,0.280781865119934,5.75701713562012,6.62233448028564,5.6904239654541,5.131028175354,3.40763640403748,2.83458971977234,0.801310956478119,0.260233908891678,0.166069775819778,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.152514353394508,0.133266970515251,0.0999298840761185,0.0692411214113235,0.047695379704237,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0187796968966722,0.0192095004022121,-9999,-9999,0.0232322495430708,0.0333809368312359,-9999,-9999,0.0249950122088194,0.0177252553403378,-9999,-9999,-9999,-9999,-9999,0.0330580063164234,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0551935248076916,0.0788942947983742,0.0517962239682674,0.0725981518626213,0.107955574989319,0.154206499457359,0.214856386184692,0.290561705827713,0.373594045639038,0.544111609458923,2.26658964157104,4.30941104888916,5.11062002182007,5.37016010284424,4.66665363311768,5.10434818267822,5.8771390914917,6.46003723144531,5.59335422515869,7.28354167938232,0.265167951583862,0.295961201190948,0.229689195752144,0.232998445630074,0.296121656894684,3.3178129196167,4.69074296951294,5.19971370697021,5.03614568710327,4.71704530715942,2.97670578956604,0.933349370956421,0.206221222877502,0.143388822674751,-9999,-9999,-9999,-9999,-9999,0.152409419417381,0.207959368824959,0.203987658023834,0.18317474424839,0.14016504585743,0.0981262847781181,0.0688574910163879,0.0476669855415821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0293924119323492,0.0383752323687077,-9999,-9999,-9999,-9999,0.0433749705553055,0.0495997779071331,0.0529871471226215,0.0534969829022884,0.0644842907786369,0.0559217259287834,0.0739223659038544,0.0739650502800941,0.0736841186881065,0.0542521513998508,-9999,0.0256752669811249,0.0389742143452168,-9999,-9999,0.0614529997110367,0.0421616807579994,0.0364873148500919,0.0462962538003922,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0339978374540806,0.0563514679670334,-9999,-9999,-9999,0.124910369515419,0.0917332097887993,0.0811990350484848,0.114068284630775,0.160639002919197,0.220536321401596,0.289943665266037,0.364897936582565,0.593604326248169,3.58294343948364,5.51014757156372,6.80993747711182,6.82514619827271,7.77630376815796,7.55685663223267,6.86199331283569,6.94284057617188,7.32803153991699,0.264756232500076,0.216898813843727,0.225832626223564,0.16106341779232,0.163991883397102,0.235770881175995,0.306392520666122,0.650882303714752,6.40457248687744,5.93909168243408,5.85176610946655,4.56807279586792,1.97256565093994,0.540833592414856,0.200751349329948,0.138021796941757,0.100613474845886,0.101489499211311,0.145710915327072,0.162172242999077,0.19571091234684,0.279801815748215,0.275973409414291,0.250131547451019,0.192140191793442,0.135961040854454,0.0974324867129326,0.0692620724439621,0.0491096004843712,0.0334832854568958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
