"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Other Tunas"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000848704134114087,0.000844331574626267,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00122853927314281,0.00120836880523711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.96889915666543E-05,7.37438895157538E-05,0.000108819811430294,0.000160489827976562,-9999,-9999,-9999,-9999,-9999,0.00133967306464911,0.00193760474212468,0.00276482035405934,0.00262042065151036,0.00245308154262602,0.00228834408335388,0.00213387352414429,0.00198231195099652,0.00183465878944844,0.00171045039314777,0.00160174840129912,0.00148099975194782,-9999,-9999,0.00104050163645297,0.000980618642643094,0.000919733953196555,0.000879897910635918,0.00134802260436118,0.00162394961807877,0.00152704713400453,0.00153878552373499,0.000865726091433316,0.00087307981448248,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.01710128446575E-05,7.47584344935603E-05,0.000111193439806812,0.000163590972078964,0.000208724712138064,0.000297543941996992,0.000317577185342088,-9999,0.000932032766286284,0.00140223477501422,0.00200428627431393,0.00284235225990415,0.0039855451323092,0.00368096656166017,0.00332387955859303,0.00300932838581502,0.00275521236471832,0.00252132746390998,0.0023288803640753,0.00214139535091817,0.00194916198961437,0.00173027499113232,0.00140856264624745,0.00117718253750354,0.00192524481099099,0.00377329019829631,0.00799269787967205,0.0141227077692747,0.0139362858608365,0.0147426798939705,0.0156828034669161,0.016700342297554,0.0198337715119123,0.0125360498204827,0.00295241782441735,0.00143921689596027,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.51690313336439E-05,0.000112621724838391,0.000169189865118824,0.000249299948336557,0.000316922407364473,0.000451699219411239,0.000542842142749578,0.00089994992595166,0.00115064473357052,0.00208827643655241,0.00296189310029149,0.00413785828277469,0.00653701787814498,0.00863693002611399,0.010763113386929,0.0104441633448005,0.00867929495871067,0.0107081094756722,0.0120202088728547,0.00759399496018887,0.00696789054200053,0.00586531357839704,0.00623070448637009,0.0129962470382452,0.0152054782956839,0.0177578385919333,0.024493021890521,0.0400514863431454,0.101172283291817,0.080167829990387,0.0558751299977303,0.0506280548870564,0.0472454428672791,0.0385002791881561,0.0262732338160276,0.0161341894418001,0.00616700341925025,0.0013218984240666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00150960276369005,0.00225202436558902,0.0022471584379673,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000705310492776334,-9999,-9999,-9999,0.000838343927171081,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000115412600280251,0.000170561455888674,0.000201146423933096,-9999,0.000377964897779748,0.000576093036215752,0.00080686277942732,0.00137951597571373,0.00193977192975581,0.00267690513283014,0.00356821715831757,0.00303346663713455,0.00718302326276898,0.0241253338754177,0.0346289910376072,0.0361682772636414,0.036028616130352,0.0267100874334574,0.0218621399253607,0.0249506663531065,0.0299357324838638,0.0307011287659407,0.0299379955977201,0.0337928794324398,0.0695338323712349,0.111206568777561,0.110152877867222,0.10962949693203,0.108979314565659,0.103647701442242,0.0946377143263817,0.0678705871105194,0.0393380969762802,0.0346317254006863,0.017862981185317,0.00785432569682598,0.00150391063652933,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00201438087970018,0.00306085776537657,0.00308361393399537,0.0020350047852844,0.00206074048765004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00105443748179823,0.00156067055650055,-9999,-9999,0.00221258727833629,0.00211336044594646,-9999,-9999,0.00159032142255455,0.00112909765448421,-9999,-9999,-9999,-9999,-9999,0.000884183798916638,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000705845188349485,0.000917982368264347,0.000526947900652885,0.000812413636595011,0.00119769433513284,0.00164008908905089,0.00213973270729184,0.0026426122058183,0.00477050710469484,0.0238483864814043,0.057369414716959,0.0773008838295937,0.0735104531049728,0.0606833584606647,0.0515743754804134,0.0500755906105042,0.0506202094256878,0.0573050789535046,0.0533293262124062,0.11164228618145,0.112083479762077,0.109394907951355,0.107831925153732,0.107105799019337,0.106990069150925,0.107176654040813,0.100365661084652,0.0911948084831238,0.0632168874144554,0.0547805987298489,0.0358166433870792,0.0187545642256737,0.00654103886336088,0.00153247406706214,-9999,-9999,-9999,-9999,-9999,0.0020586084574461,0.0021875356324017,0.00244387984275818,0.00488411355763674,0.00415492197498679,0.00277125486172736,0.00286475755274296,0.0019406849751249,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00125273049343377,0.00159800937399268,-9999,-9999,-9999,-9999,0.00285003031603992,0.00278164888732135,0.0041972603648901,0.00433180062100291,0.00435178866609931,0.00446907058358192,0.00429738964885473,0.00662200758233666,0.00418388238176703,0.00310009135864675,-9999,0.000895661069080234,0.00162803661078215,-9999,-9999,0.00105283071752638,0.00102047226391733,0.000634635391179472,0.000837010564282537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000406059989472851,0.000579951447434723,-9999,-9999,-9999,0.00125589000526816,0.000805626448709518,0.00112141214776784,0.00155465991701931,0.00142749794758856,0.00182318862061948,0.0022025250364095,0.00545649463310838,0.02208561450243,0.0727893337607384,0.0938454419374466,0.0928901731967926,0.0795850902795792,0.0773234292864799,0.0773591250181198,0.0677559524774551,0.0714845657348633,0.113446608185768,0.113915599882603,0.1100192964077,0.10729455947876,0.105538748204708,0.104571260511875,0.104229234158993,0.104398153722286,0.104929327964783,0.0991801247000694,0.0788444802165031,0.0640740096569061,0.0451031513512135,0.0241356864571571,0.0118792178109288,0.00175598543137312,0.000893878343049437,0.000687766179908067,0.000793474086094648,0.00137239648029208,0.0027300997171551,0.00519929872825742,0.00727911572903395,0.00889296736568213,0.00796045083552599,0.00739618809893727,0.00637387065216899,0.00457104574888945,0.00275725428946316,0.0019638710655272,0.00138133193831891,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
