"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Other snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.70592188835144,0.746019661426544,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.901657819747925,0.961039841175079,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.943259954452515,0.88411146402359,0.7704998254776,1.02554857730865,-9999,-9999,-9999,-9999,-9999,0.77569854259491,0.977690458297729,1.03639304637909,1.01988840103149,1.01252782344818,1.09776270389557,1.11690831184387,1.12575387954712,1.11526429653168,1.13260650634766,1.18235111236572,0.797994196414948,-9999,-9999,1.20363330841064,1.21894240379333,0.770764172077179,1.047980427742,2.40430355072021,1.98106968402863,2.28844308853149,3.04499673843384,2.2215211391449,0.804198563098907,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.971452713012695,0.922522366046906,0.81140011548996,1.03847765922546,0.823166072368622,0.706102669239044,0.51267021894455,-9999,0.600159049034119,0.841187059879303,1.04273056983948,1.47357881069183,1.79868197441101,2.15523028373718,1.77884042263031,2.00918579101563,2.09179639816284,2.54699492454529,2.47645831108093,2.03179860115051,1.86728024482727,1.24061954021454,1.76524388790131,2.22535562515259,2.48516941070557,2.38847017288208,3.22112917900085,3.19946789741516,3.3512818813324,3.61493968963623,3.77863264083862,2.52494955062866,3.88801288604736,3.37104558944702,3.34878253936768,2.35176873207092,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.956690967082977,0.881321907043457,1.15761983394623,1.11834478378296,0.887991368770599,1.05284512042999,0.69213742017746,0.819302439689636,0.670894503593445,1.01553761959076,1.28661334514618,1.73966586589813,2.91711068153381,3.45205330848694,3.69846606254578,4.22100877761841,4.07777643203735,4.36062812805176,4.68536186218262,4.34162473678589,3.83704662322998,3.23528861999512,3.11265754699707,3.43382477760315,2.99060034751892,3.19527101516724,2.57350993156433,3.62542366981506,3.40543532371521,4.11517429351807,3.99753975868225,4.09612417221069,2.63300013542175,3.13515377044678,3.08207774162292,2.91334319114685,1.92910432815552,1.53290855884552,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.998667538166046,0.962572336196899,0.798224806785583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.192120462656021,-9999,-9999,-9999,0.192173063755035,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.94527792930603,0.976061463356018,0.754503786563873,-9999,0.642674267292023,0.876568615436554,0.726780414581299,0.92474365234375,1.1562465429306,1.66960346698761,2.506915807724,2.41202449798584,4.32755947113037,5.03585577011108,4.47652912139893,4.12294387817383,4.65784645080566,5.47138500213623,4.66759252548218,4.20412445068359,4.24498128890991,4.622718334198,3.46930074691772,3.28865504264832,3.60005259513855,3.72023034095764,3.71414732933044,3.12068104743958,3.96898579597473,3.7112443447113,2.77177405357361,2.58328342437744,2.49028730392456,2.63546180725098,2.28499126434326,1.87246680259705,1.49518835544586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.64403629302979,3.15327405929565,1.08775162696838,0.883845627307892,0.94437038898468,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.369317591190338,0.402817994356155,-9999,-9999,0.532350242137909,0.491120666265488,-9999,-9999,0.376022726297379,0.51613062620163,-9999,-9999,-9999,-9999,-9999,0.911867797374725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.898240745067596,0.958617091178894,0.699411988258362,0.795029044151306,0.948699653148651,1.11385536193848,1.01936650276184,1.34988129138947,3.24288511276245,4.03686761856079,3.97323107719421,3.63210606575012,3.39933800697327,3.84493255615234,3.59243655204773,3.53486013412476,3.87182831764221,4.41039133071899,3.85238003730774,4.56811714172363,3.98242688179016,2.22959637641907,1.97576570510864,2.51686787605286,3.87090110778809,3.66880059242249,2.47057843208313,2.10149526596069,2.10955166816711,2.30315518379211,2.42272782325745,2.30131125450134,1.85476291179657,1.38818359375,-9999,-9999,-9999,-9999,-9999,1.85131657123566,1.65451848506927,3.88921737670898,4.11203908920288,2.80298709869385,2.0897102355957,1.71934735774994,0.969257473945618,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.666065990924835,1.14447069168091,-9999,-9999,-9999,-9999,0.769325733184814,0.976660668849945,1.19771695137024,2.07023787498474,2.10769009590149,1.8401927947998,1.73152756690979,2.10394501686096,1.85257709026337,0.746811509132385,-9999,0.229077488183975,0.614452481269836,-9999,-9999,1.28032338619232,0.718824028968811,0.581433594226837,0.617620587348938,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.996274650096893,1.06724774837494,-9999,-9999,-9999,1.08807170391083,0.986946284770966,0.921437442302704,0.996617436408997,1.02154386043549,1.31155037879944,1.83804357051849,3.56903052330017,3.61980271339417,3.44568538665771,3.22157597541809,3.02678942680359,3.06467056274414,3.79135990142822,3.36020755767822,3.23145318031311,3.36145687103271,3.9336085319519,3.24315047264099,0.110669456422329,0.115117862820625,0.603295087814331,1.78450620174408,2.57781147956848,2.77565121650696,2.66718411445618,2.64316582679749,2.45997357368469,2.75654602050781,2.7901463508606,2.67225623130798,2.26403832435608,1.55909669399261,0.53184175491333,0.553167104721069,0.457363814115524,0.794349253177643,2.77977800369263,2.99918389320374,2.9281587600708,4.72302961349487,4.29420900344849,3.28604745864868,2.81265544891357,2.90261745452881,1.88476634025574,1.00092267990112,1.12342286109924,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
