"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Pelagic Coastal Piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.368537366390228,0.418625086545944,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.390640586614609,0.454379796981812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.31333664059639,0.325642645359039,0.350499361753464,0.371690064668655,-9999,-9999,-9999,-9999,-9999,0.476790219545364,0.436157435178757,0.378881901502609,0.34786182641983,0.356226086616516,0.371067702770233,0.374675542116165,0.336170762777328,0.311579793691635,0.35350313782692,0.477514356374741,0.382221877574921,-9999,-9999,0.373001545667648,0.63126015663147,0.580189168453217,0.611382305622101,1.10018706321716,1.16955482959747,1.15479862689972,1.21626198291779,1.04965448379517,0.617303848266602,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.308509588241577,0.313895463943481,0.336778461933136,0.358114451169968,0.330508917570114,0.368447840213776,0.292383968830109,-9999,0.475077986717224,0.501068651676178,0.564493238925934,0.774570643901825,0.911745727062225,0.970574140548706,0.52325165271759,0.595645368099213,0.592519640922546,0.755946159362793,0.654761493206024,0.545582234859467,0.642095386981964,0.356898188591003,0.627381205558777,0.831560254096985,1.00586152076721,1.13475108146667,1.17685413360596,1.20251214504242,1.2265739440918,1.24978172779083,1.27653896808624,1.30561923980713,1.32323551177979,1.31220626831055,1.25056421756744,1.10914492607117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.318957716226578,0.329268246889114,0.356658905744553,0.381115138530731,0.350101053714752,0.486119002103806,0.404334455728531,0.487511187791824,0.550335943698883,0.760904669761658,0.815464019775391,0.985693693161011,1.56101012229919,1.8862464427948,1.77193534374237,1.66961371898651,1.52037799358368,1.46095943450928,1.39673221111298,1.29056632518768,1.27299213409424,1.19861376285553,1.15389454364777,1.12917876243591,1.12307262420654,1.12641561031342,1.13625609874725,1.14955759048462,1.17516350746155,1.20476126670837,1.22931051254272,1.24964952468872,1.26552832126617,1.26666331291199,1.25207901000977,1.23698079586029,1.22656726837158,1.10295522212982,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.546359837055206,0.490121573209763,0.470930725336075,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.290734648704529,-9999,-9999,-9999,0.269317716360092,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.399108171463013,0.41078594326973,0.337105631828308,-9999,0.427551686763763,0.661947011947632,0.50980818271637,0.537404656410217,0.609449565410614,0.996233522891998,1.27762067317963,1.05932211875916,1.79062032699585,1.69589734077454,1.52828764915466,1.41324031352997,1.33597528934479,1.27972543239594,1.23235881328583,1.18157947063446,1.1377854347229,1.11610019207001,1.11260175704956,1.11463594436646,1.1187379360199,1.12379896640778,0.990524351596832,1.18646681308746,1.2195451259613,1.22023952007294,1.22239136695862,1.22346663475037,1.22457706928253,1.23292148113251,1.25168895721436,1.26826786994934,1.14504981040955,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.623651027679443,1.02816164493561,0.67566442489624,0.398200303316116,0.418777734041214,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.328516632318497,0.409915834665298,-9999,-9999,0.318763077259064,0.326184749603271,-9999,-9999,0.252531260251999,0.559280157089233,-9999,-9999,-9999,-9999,-9999,0.645304143428802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.473936349153519,0.609732806682587,0.514471411705017,0.537293434143066,0.612392127513885,0.602371573448181,0.550895512104034,0.562217950820923,1.67470347881317,1.62561321258545,1.46449851989746,1.3502608537674,1.2793824672699,1.2375316619873,1.19907784461975,1.16317808628082,1.1367039680481,1.1294139623642,1.14055573940277,1.15002107620239,1.08070003986359,0.0547137595713139,0.198286324739456,0.811432659626007,1.22673845291138,1.24487042427063,1.14315235614777,1.13756477832794,1.20591819286346,1.21557986736298,1.24677419662476,1.3045814037323,1.35126984119415,1.15982913970947,-9999,-9999,-9999,-9999,-9999,0.59609067440033,0.752364456653595,1.03405058383942,1.47348463535309,1.30549359321594,0.960461318492889,0.656844139099121,0.367039650678635,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.479770928621292,0.721398532390594,-9999,-9999,-9999,-9999,0.368164837360382,0.469989538192749,0.481571525335312,0.943365693092346,0.694736421108246,0.665163218975067,0.761406660079956,0.938904345035553,0.675634980201721,0.372701942920685,-9999,0.222568273544312,0.582277119159698,-9999,-9999,1.22262156009674,0.368252664804459,0.403000891208649,0.679840266704559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.511262774467468,0.426068663597107,-9999,-9999,-9999,0.621238827705383,0.720115005970001,0.733453929424286,0.684782385826111,0.648466944694519,0.554074287414551,0.879182755947113,1.82123959064484,1.66515135765076,1.49691891670227,1.378209233284,1.3043338060379,1.2564285993576,1.21781444549561,1.18921875953674,1.17388236522675,1.18010067939758,1.20566320419312,0.576318204402924,0.0333717837929726,0.0470727570354939,0.040947038680315,0.14303494989872,0.591251134872437,1.17034149169922,1.25191581249237,1.22068440914154,1.20032322406769,1.20011472702026,1.22826623916626,1.29530549049377,1.39090740680695,1.21706032752991,0.461266905069351,0.524783194065094,0.372437089681625,0.513139188289642,1.11993730068207,1.61736381053925,1.7083683013916,1.73487293720245,1.76487076282501,1.71905744075775,1.66255640983582,1.40036606788635,0.597203612327576,0.434337705373764,0.561486184597015,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
