"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Red drum"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00592947006226,0.928072273731232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.24106407165527,1.15400183200836,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.564713358879089,0.603855431079865,0.647415101528168,0.703176379203796,-9999,-9999,-9999,-9999,-9999,1.76804482936859,1.99412417411804,2.02440595626831,1.96886825561523,1.93786644935608,1.9424250125885,1.773322224617,1.63487875461578,1.57911956310272,1.43518245220184,1.33571982383728,1.09669864177704,-9999,-9999,1.02902281284332,1.01916944980621,0.89771580696106,0.981558442115784,1.02903079986572,1.08421468734741,1.10270798206329,1.10307312011719,1.05035102367401,1.06607377529144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.570803165435791,0.625999271869659,0.749825239181519,0.855961203575134,0.754375874996185,0.886602759361267,0.622475802898407,-9999,1.17114508152008,1.65782392024994,1.8016209602356,1.94212234020233,2.02554678916931,1.97407031059265,1.95737934112549,2.00182795524597,1.82896018028259,1.68750715255737,1.64309859275818,1.55377733707428,1.38494467735291,1.20938456058502,1.14193665981293,1.07810425758362,0.980847716331482,0.91040176153183,0.717835068702698,0.663240849971771,0.623401999473572,0.639926373958588,0.625636696815491,0.628549635410309,0.592392385005951,0.642290830612183,0.671550691127777,0.585523188114166,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.610263645648956,0.742879688739777,1.11414837837219,1.2550642490387,1.11667573451996,1.12002050876617,0.829802751541138,1.12724328041077,1.00450813770294,1.47836053371429,1.65717744827271,1.90348017215729,1.94515359401703,1.85353291034698,1.78655457496643,1.7887669801712,1.63241291046143,1.5030415058136,1.41037452220917,1.4274605512619,1.32823812961578,1.19135415554047,1.08385455608368,0.901986718177795,0.805320978164673,0.674554288387299,0.546205461025238,0.423058420419693,0.140039920806885,0.218898460268974,0.301382511854172,0.290490448474884,0.317175090312958,0.361035645008087,0.387336552143097,0.441045463085175,0.504083156585693,0.566029667854309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.57799470424652,1.53406608104706,1.44119739532471,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.214967682957649,-9999,-9999,-9999,0.220160469412804,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.35783672332764,1.40539860725403,1.06365036964417,-9999,0.897933483123779,1.17507469654083,1.14006519317627,1.52000689506531,1.68054962158203,1.80226182937622,1.79278361797333,1.73831450939178,1.65710806846619,1.504350066185,1.18126535415649,1.08145427703857,1.00448787212372,1.03911685943604,0.999441981315613,0.876473665237427,0.644834816455841,0.586755812168121,0.52663642168045,0.478215843439102,0.247126445174217,0.0934030413627625,0.0764021426439285,0.077838659286499,0.0799191892147064,0.0794463828206062,0.0959494486451149,0.180940344929695,0.283269077539444,0.32635486125946,0.435798853635788,0.51805055141449,0.557019710540771,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.37402486801147,1.36254966259003,1.31577968597412,1.5362800359726,1.55009031295776,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.43528887629509,0.420336663722992,-9999,-9999,0.693038046360016,0.600232899188995,-9999,-9999,0.390259504318237,0.378664523363113,-9999,-9999,-9999,-9999,-9999,1.47986495494843,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.56628966331482,1.37953436374664,1.16613471508026,1.32679986953735,1.49902629852295,1.66683375835419,1.60357618331909,1.57934331893921,1.46289563179016,1.28846681118011,0.805972933769226,0.593273997306824,0.55249959230423,0.572604775428772,0.574177205562592,0.520880222320557,0.39596825838089,0.316648751497269,0.318229049444199,0.0991984531283379,0.0813577026128769,0.054180845618248,0.0429460108280182,0.0434928610920906,0.043972559273243,0.0445815622806549,0.0526026226580143,0.0614974908530712,0.162344127893448,0.217175871133804,0.327255129814148,0.453162252902985,0.56814569234848,0.651313722133636,-9999,-9999,-9999,-9999,-9999,1.13995110988617,1.19821512699127,1.25909805297852,1.2395133972168,1.50163102149963,1.54282879829407,1.57810950279236,1.65997707843781,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.882550239562988,1.31195402145386,-9999,-9999,-9999,-9999,0.794928669929504,0.987210869789124,1.03072071075439,1.14653944969177,1.3027857542038,1.1947774887085,1.06922018527985,0.866118252277374,0.986866176128387,0.58869880437851,-9999,0.215066805481911,0.560077607631683,-9999,-9999,1.04227864742279,1.02606058120728,0.919375538825989,0.892932295799255,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2435154914856,1.35360813140869,-9999,-9999,-9999,1.44720780849457,1.41903042793274,1.4460277557373,1.44454419612885,1.41239619255066,1.3923761844635,1.34501028060913,1.3128969669342,1.08225464820862,0.566274046897888,0.369883388280869,0.33639320731163,0.341176331043243,0.315287292003632,0.258695334196091,0.243711814284325,0.189932733774185,0.0776340290904045,0.0538753904402256,0.04551612585783,0.0309218466281891,0.0257063414901495,0.0260864701122046,0.0254076663404703,0.026471983641386,0.0343466624617577,0.0512919761240482,0.0987870171666145,0.165898159146309,0.270143240690231,0.439146608114243,0.545547485351563,0.680309295654297,0.708454489707947,0.736037373542786,0.756308674812317,0.801453828811646,0.891605019569397,0.994052410125732,1.05618500709534,1.10609745979309,1.07539665699005,1.14066576957703,1.26374471187592,1.6199597120285,1.65078449249268,1.7144787311554,1.6925595998764,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
