"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Red snapper (0yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.230798408389091,0.233855918049812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.379328310489655,0.382690250873566,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00205414090305567,0.00279368832707405,0.0040573519654572,0.00566033413633704,-9999,-9999,-9999,-9999,-9999,0.451293766498566,0.547204792499542,0.582388758659363,0.619044661521912,0.656422197818756,0.74790894985199,0.818927347660065,0.897021412849426,0.888415634632111,0.652967214584351,0.809675931930542,0.747124493122101,-9999,-9999,0.913934409618378,1.14160656929016,1.21307241916656,1.35224151611328,1.68083989620209,1.65802180767059,1.65451419353485,1.69840729236603,1.59080016613007,1.26030445098877,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00190441962331533,0.00246970145963132,0.00360624934546649,0.00564003922045231,0.00838197208940983,0.0139115070924163,0.0245425067842007,-9999,0.270446568727493,0.43375825881958,0.573657214641571,0.800508797168732,0.932255208492279,1.03137958049774,0.942420780658722,1.11992740631104,1.21184742450714,1.38113224506378,1.34372711181641,1.20308971405029,1.16500222682953,0.989877164363861,1.08726191520691,1.35698294639587,1.54087555408478,1.82984745502472,2.15690946578979,2.3498113155365,2.23440670967102,2.30435919761658,2.29307150840759,2.05684638023376,2.25831937789917,2.24240708351135,1.94356942176819,1.51072907447815,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00227877218276262,0.00306280213408172,0.00453821243718266,0.00711933104321361,0.0101169496774673,0.0325881615281105,0.0614154525101185,0.147732272744179,0.206364050507545,0.523621916770935,0.77036064863205,0.995131433010101,1.38789439201355,1.60557723045349,1.79077923297882,2.01503944396973,1.94095802307129,1.99227845668793,2.06404757499695,1.94178473949432,1.82616853713989,1.75588822364807,1.79283344745636,2.05828166007996,2.13912439346313,2.42217564582825,2.44905018806458,2.63826489448547,1.87172245979309,2.28697323799133,2.47502946853638,2.42502856254578,2.27404928207397,2.3810338973999,2.34399700164795,2.15133309364319,1.74442172050476,1.38130664825439,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0282381772995,0.93556272983551,0.815822243690491,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.184690296649933,-9999,-9999,-9999,0.231542006134987,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00431023817509413,0.00572785129770637,0.00636695791035891,-9999,0.0926532596349716,0.163265272974968,0.234745860099792,0.49083000421524,0.711871981620789,1.05150902271271,1.29555022716522,1.31082904338837,1.93802523612976,2.48699283599854,2.43601846694946,2.34180068969727,2.4370129108429,2.54219770431519,2.31792140007019,2.38373851776123,2.43873453140259,2.50837135314941,2.27643275260925,2.57520031929016,2.31476211547852,1.87919688224792,1.46117448806763,1.87845206260681,1.98359477519989,1.94484794139862,1.76268684864044,2.09063100814819,2.34453344345093,2.34334635734558,2.20163869857788,1.90731847286224,1.43428993225098,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.35460603237152,1.4741028547287,1.06252956390381,0.891383826732635,0.830950677394867,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.357565522193909,0.378295660018921,-9999,-9999,0.577123641967773,0.545941293239594,-9999,-9999,0.391094386577606,0.388179033994675,-9999,-9999,-9999,-9999,-9999,0.416819036006927,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.155032008886337,0.231342971324921,0.292847543954849,0.442099899053574,0.636356949806213,0.83747810125351,1.02262341976166,1.12595820426941,1.79053270816803,2.49471235275269,2.58015990257263,2.35542988777161,2.33274269104004,2.56934332847595,2.50579881668091,2.46172046661377,2.48266863822937,2.37755727767944,2.46280980110168,1.90089929103851,1.67882919311523,0.965690433979034,0.75060647726059,1.14048540592194,1.70472538471222,1.86195755004883,1.58844077587128,1.57200300693512,1.94743633270264,2.07821893692017,2.32130575180054,2.28900170326233,1.87236952781677,1.40302038192749,-9999,-9999,-9999,-9999,-9999,1.32279872894287,1.34538924694061,1.74267935752869,1.75117802619934,1.55212962627411,1.29014313220978,1.09374368190765,0.872442662715912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.503749787807465,0.704412460327148,-9999,-9999,-9999,-9999,0.737449765205383,0.843037486076355,0.893590092658997,1.19098925590515,1.12032234668732,1.19018232822418,1.20175874233246,1.32604515552521,1.21484673023224,0.684901654720306,-9999,0.248178780078888,0.525382101535797,-9999,-9999,0.549395680427551,0.369151026010513,0.273778021335602,0.24636073410511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.527301788330078,0.487913250923157,-9999,-9999,-9999,0.516559779644012,0.535565555095673,0.576190888881683,0.711798131465912,0.855181932449341,0.94514536857605,1.17515087127686,1.8905256986618,2.52358317375183,2.58019495010376,2.30166530609131,2.17057323455811,2.24664568901062,2.34248495101929,2.06367301940918,2.18592834472656,2.14632487297058,1.70888030529022,1.03019034862518,0.770088791847229,0.510697841644287,0.400918036699295,0.5781289935112,0.852223515510559,1.28359913825989,1.65648400783539,1.74906539916992,1.8017030954361,2.16042709350586,2.39015507698059,2.55604219436646,2.14639210700989,1.66815996170044,1.00943207740784,0.967058122158051,0.608345806598663,0.99312037229538,1.62525820732117,1.91121625900269,1.99596405029297,2.25857591629028,2.06515550613403,1.80364954471588,1.62818253040314,1.61661720275879,1.16313874721527,0.919560670852661,0.84799861907959,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
