"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Red snapper (1-2yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.17193204164505,0.175397723913193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.298787444829941,0.304628759622574,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00166260148398578,0.00223696883767843,0.00320213055238128,0.00435161776840687,-9999,-9999,-9999,-9999,-9999,0.375651448965073,0.450782030820847,0.483874469995499,0.523883938789368,0.55303692817688,0.616421461105347,0.716994941234589,0.822340607643127,0.797402441501617,0.574191808700562,0.674883484840393,0.675709128379822,-9999,-9999,0.836592316627502,1.05027782917023,1.06256580352783,1.21797096729279,1.49884581565857,1.47137093544006,1.45026230812073,1.52785730361938,1.40910196304321,1.1613734960556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00154951761942357,0.00197803205810487,0.0028495560400188,0.00433933548629284,0.00618165545165539,0.0114838490262628,0.0168126001954079,-9999,0.221233949065208,0.36392816901207,0.488726288080215,0.707609832286835,0.834065794944763,0.911125957965851,0.778429090976715,0.982726037502289,1.14250123500824,1.25708758831024,1.2268248796463,1.1198662519455,1.07810866832733,0.96044510602951,0.99949836730957,1.24405181407928,1.40628719329834,1.65320146083832,1.94105362892151,2.02100419998169,1.99717092514038,2.04998087882996,2.01308178901672,1.83558177947998,2.0204451084137,1.96868002414703,1.77963244915009,1.4071980714798,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00183053349610418,0.00242533884011209,0.00353450467810035,0.00537384301424026,0.00817809719592333,0.0218185503035784,0.043663252145052,0.109054163098335,0.173957273364067,0.405065596103668,0.681729137897491,0.882271885871887,1.19700741767883,1.34835159778595,1.62569665908813,1.8058488368988,1.73952555656433,1.77896237373352,1.8414831161499,1.73729145526886,1.65145885944366,1.56975150108337,1.65482914447784,1.89612579345703,1.89594721794128,2.13808441162109,2.16438841819763,2.38401675224304,1.87418055534363,2.09440183639526,2.25358605384827,2.21535968780518,2.02564835548401,2.11916327476501,2.11274409294128,1.99752175807953,1.55605208873749,1.31665086746216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.897252678871155,0.82646381855011,0.716495096683502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.150330305099487,-9999,-9999,-9999,0.193972393870354,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00346328807063401,0.00450600683689117,0.00484728720039129,-9999,0.0667730942368507,0.121921919286251,0.184597164392471,0.387588113546371,0.635703265666962,0.911061704158783,1.10246443748474,1.20955407619476,1.73568987846375,2.20984482765198,2.19411277770996,2.1215500831604,2.20241618156433,2.28109455108643,2.08723139762878,2.17545819282532,2.18985319137573,2.25714111328125,2.0972375869751,2.27817749977112,2.19840741157532,1.6037632226944,1.28002178668976,1.53813278675079,1.75616848468781,1.91274964809418,1.74453794956207,1.90432584285736,2.12264847755432,2.07339692115784,1.96609938144684,1.78469014167786,1.32529735565186,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.23777067661285,1.28692126274109,0.960287630558014,0.808256030082703,0.735282301902771,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.293500661849976,0.332696557044983,-9999,-9999,0.509954631328583,0.478700965642929,-9999,-9999,0.339303135871887,0.329088628292084,-9999,-9999,-9999,-9999,-9999,0.353369474411011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.112838827073574,0.180855631828308,0.228734537959099,0.360518306493759,0.56750750541687,0.727321684360504,0.915422260761261,1.03102433681488,1.55509340763092,2.20716786384583,2.25236988067627,2.12396574020386,2.08994174003601,2.26120042800903,2.18754100799561,2.18270921707153,2.22813129425049,2.15932273864746,2.16184830665588,1.85577690601349,1.34079813957214,0.899144172668457,0.726273477077484,1.00981366634369,1.39586198329926,1.59063422679901,1.4460244178772,1.52203834056854,1.77297687530518,1.89236915111542,2.09110474586487,2.04598665237427,1.71333694458008,1.28649175167084,-9999,-9999,-9999,-9999,-9999,1.23748636245728,1.23760545253754,1.55291771888733,1.53036403656006,1.33529889583588,1.14686405658722,0.988309383392334,0.795601963996887,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.444893091917038,0.604705572128296,-9999,-9999,-9999,-9999,0.66552346944809,0.767916977405548,0.796088397502899,1.10350203514099,0.999578475952148,1.10178565979004,1.10395526885986,1.24066376686096,1.13037884235382,0.626035988330841,-9999,0.218853935599327,0.447116196155548,-9999,-9999,0.469718009233475,0.311707943677902,0.203279748558998,0.182744666934013,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.458793818950653,0.406587839126587,-9999,-9999,-9999,0.434531807899475,0.472602754831314,0.507477581501007,0.614137768745422,0.753667056560516,0.877009510993958,1.07661283016205,1.70971536636353,2.25789952278137,2.30131602287292,2.13450288772583,2.03973388671875,2.08161425590515,2.16447353363037,1.92735493183136,2.03898620605469,1.97428393363953,1.73277044296265,0.896153926849365,0.714338362216949,0.47006568312645,0.367054224014282,0.515471994876862,0.782123804092407,1.1088672876358,1.38064622879028,1.64033138751984,1.73503375053406,1.96457087993622,2.17212057113647,2.2650454044342,1.93833136558533,1.48482191562653,0.934166610240936,0.841656029224396,0.596119105815887,0.873692214488983,1.46923100948334,1.71109783649445,1.77313053607941,1.98139989376068,1.83706963062286,1.61097621917725,1.45499491691589,1.36529564857483,1.07893514633179,0.835320055484772,0.750021576881409,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
