"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Reef invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0158990584313869,0.0154098477214575,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0319843739271164,0.0331239998340607,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.03627809882164,0.0279465466737747,0.0210237037390471,0.0174970626831055,-9999,-9999,-9999,-9999,-9999,0.00465014902874827,0.00723337708041072,0.00831803493201733,0.0149687975645065,0.02444320730865,0.0593913123011589,0.0831280946731567,0.108419768512249,0.106563545763493,0.080704927444458,0.0817545428872108,0.0778506919741631,-9999,-9999,0.112270444631577,0.075242705643177,0.00368322059512138,0.00180526555050164,0.00667975330725312,0.0113711627200246,0.0154409073293209,0.0175714958459139,0.00843803212046623,0.00209426903165877,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0362767651677132,0.027858903631568,0.0172263607382774,0.0113308345898986,0.00614862143993378,0.00267756101675332,0.00109022250398993,-9999,0.00130991206970066,0.00210702582262456,0.00403891643509269,0.00722489366307855,0.0177424214780331,0.0282170511782169,0.068785734474659,0.127829000353813,0.181612610816956,0.251842051744461,0.263410747051239,0.239659860730171,0.216199278831482,0.189531996846199,0.231252551078796,0.260009318590164,0.184451848268509,0.0427538268268108,0.046559676527977,0.0831793546676636,0.149144038558006,0.23880398273468,0.290877759456635,0.170957669615746,0.231657490134239,0.113768957555294,0.0589591525495052,0.0221992637962103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0299171581864357,0.0189318619668484,0.00876334588974714,0.00526519492268562,0.00281819864176214,0.00227996613830328,0.00108416995499283,0.00147187476977706,0.00126348645426333,0.00249570561572909,0.0051292316056788,0.0173160471022129,0.0458986535668373,0.148306131362915,0.325883060693741,0.650307476520538,0.795351147651672,1.07991909980774,1.32265937328339,1.0861359834671,0.954333603382111,0.786704957485199,0.760299026966095,0.925851762294769,0.284300267696381,0.202224537730217,0.154747560620308,0.339750736951828,0.51210218667984,0.670962810516357,0.661233067512512,0.663755536079407,0.306979238986969,0.250158101320267,0.174507975578308,0.121795661747456,0.0480280593037605,0.00959022436290979,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0101911528035998,0.0106170820072293,0.00865462142974138,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00080585153773427,-9999,-9999,-9999,0.0010825211647898,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00363269378431141,0.00286162784323096,0.00159320852253586,-9999,0.000872261123731732,0.00163152883760631,0.00153969856910408,0.0025080346968025,0.00800521951168776,0.018315089866519,0.0612982511520386,0.122301988303661,0.465900748968124,1.43618965148926,1.97695624828339,2.04020309448242,2.30302286148071,2.52091479301453,2.04023122787476,1.77693319320679,1.58767759799957,1.12206375598907,0.554419040679932,0.543741524219513,0.652877986431122,0.62241804599762,0.0190832782536745,0.317207276821136,1.11646819114685,1.03736615180969,0.488313525915146,0.297550022602081,0.229358822107315,0.206701323390007,0.115747101604939,0.039529986679554,0.00716553907841444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.011908371001482,0.0196606777608395,0.00859415996819735,0.0104018645361066,0.0136212818324566,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00209640595130622,0.00223388127051294,-9999,-9999,0.00477918004617095,0.00621889950707555,-9999,-9999,0.00424792245030403,0.00205012690275908,-9999,-9999,-9999,-9999,-9999,0.00279788393527269,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00180836662184447,0.00285393930971622,0.00203554844483733,0.00283922208473086,0.00657352665439248,0.0206328462809324,0.0405913293361664,0.0855742022395134,0.282536536455154,1.23474490642548,2.09448218345642,2.14382147789001,1.51276338100433,0.958266615867615,0.805456280708313,0.801119446754456,0.862698614597321,1.03538167476654,1.03485345840454,2.17988395690918,0.249537199735641,0.00104131759144366,0.000339941616402939,0.00140467577148229,0.267652362585068,0.859529376029968,0.475349187850952,0.290498554706573,0.250540316104889,0.318175822496414,0.214597508311272,0.0857741832733154,0.0273783057928085,0.00490560289472342,-9999,-9999,-9999,-9999,-9999,0.00531301787123084,0.0078372061252594,0.0277560353279114,0.0427294746041298,0.0242048408836126,0.0193080548197031,0.0202503968030214,0.0186518374830484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00190989556722343,0.0034045351203531,-9999,-9999,-9999,-9999,0.00687286304309964,0.0122874258086085,0.0168876834213734,0.0313107781112194,0.0315257720649242,0.0329247713088989,0.0371077731251717,0.0609325729310513,0.0466584153473377,0.0205902252346277,-9999,0.00424602022394538,0.00631112745031714,-9999,-9999,0.00444726506248116,0.00270657404325902,0.00169317063409835,0.00179434102028608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00161210761871189,0.00271367304958403,-9999,-9999,-9999,0.00480057392269373,0.00506723113358021,0.00515992334112525,0.00791007652878761,0.0162700191140175,0.0325133837759495,0.0590244010090828,0.144041016697884,0.40257516503334,0.610763609409332,0.667808413505554,0.570899128913879,0.521857500076294,0.721032023429871,0.683228194713593,0.675247430801392,0.912928998470306,1.89244425296783,0.00308230449445546,0.000684878032188863,0.000137053575599566,0.000111166868009605,0.000152622844325379,0.000836672086734325,0.018988685682416,0.357645243406296,0.451522588729858,0.382449924945831,0.428308308124542,0.33625140786171,0.160333827137947,0.0543294586241245,0.00503297988325357,0.000696443777997047,0.000337769917678088,0.000332799332682043,0.000859640771523118,0.00711610214784741,0.0218182411044836,0.053265567868948,0.113096006214619,0.0929169207811356,0.0454030893743038,0.0320944413542747,0.0278756432235241,0.0209320299327374,0.0223430953919888,0.0206630025058985,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
