"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Reef omnivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.43864373664837E-05,4.13176749134436E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00509215611964464,0.00443884870037436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.36926371854906E-08,3.80813069966734E-08,3.78442308601734E-08,3.5890295180252E-08,-9999,-9999,-9999,-9999,-9999,0.00144020444713533,0.0113172139972448,0.0141513114795089,0.0120938355103135,0.00930162984877825,0.00990487169474363,0.0127514898777008,0.0146950026974082,0.0145104192197323,0.0135358870029449,0.0132916802540421,0.0113786216825247,-9999,-9999,0.0180119443684816,0.014368019066751,0.000184187214472331,0.000102449223049916,0.000506575859617442,0.00116213352885097,0.00164691894315183,0.00158621021546423,0.000407617131713778,6.64646504446864E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.51303244880319E-08,5.77164875892322E-08,1.94355820326564E-07,1.98376397975153E-07,1.73349320675698E-07,2.51763736969224E-07,9.07074308997835E-07,-9999,1.24165280794841E-05,0.0010923370718956,0.0107374731451273,0.0201278105378151,0.0294811837375164,0.0344216711819172,0.0184483621269464,0.0239564459770918,0.0328838527202606,0.0576225779950619,0.0480355881154537,0.0283378139138222,0.0256376378238201,0.0188054032623768,0.0401840470731258,0.0976197570562363,0.191519051790237,0.067256785929203,0.0657956376671791,0.0990776866674423,0.23204742372036,0.364952713251114,0.411644846200943,0.219029918313026,0.292027533054352,0.186039060354233,0.411842495203018,0.148061469197273,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.64026896906944E-08,2.19709818338742E-07,1.65423034559353E-06,1.64911000410939E-06,1.41032887768233E-06,1.36954577101278E-06,1.35927473365882E-06,3.00253009299922E-06,4.95326185045997E-06,0.00867633428424597,0.0157682150602341,0.0340905450284481,0.14299613237381,0.559544086456299,1.02849614620209,1.46700263023376,1.4247635602951,2.11253643035889,2.80564665794373,2.29791688919067,1.94905686378479,1.5975159406662,1.68840646743774,2.2508430480957,0.559599041938782,0.518648087978363,0.361023306846619,0.583147644996643,0.557090997695923,0.727182269096375,0.67913830280304,0.712202847003937,0.349363178014755,0.503750562667847,0.851767063140869,0.962430059909821,0.438577145338058,0.0149002643302083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00217354367487133,0.00414728559553623,0.00453958427533507,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.80005849365261E-06,-9999,-9999,-9999,0.000269837590167299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.64929576840223E-06,1.61788670993701E-06,1.30133969378221E-06,-9999,1.27646273995197E-06,1.75877687524917E-06,2.70051054940268E-06,0.00996362138539553,0.0160257145762444,0.0286101195961237,0.0569098517298698,0.0446765460073948,1.0450040102005,2.61908173561096,2.55512261390686,2.52901434898376,3.27337121963501,4.55220508575439,3.91796016693115,3.43314695358276,2.91584229469299,1.66323375701904,0.799453377723694,0.836443603038788,1.02328884601593,0.0495327860116959,0.000470236991532147,0.00237128580920398,0.474855780601501,0.715710580348969,0.392927497625351,0.371652692556381,0.49924898147583,0.733048141002655,0.612780570983887,0.290623098611832,0.00835939962416887,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0059880344197154,0.0231665652245283,0.0048241913318634,0.00702537130564451,0.0094422809779644,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00115879660006613,0.00166998687200248,-9999,-9999,0.00759678054600954,0.00869936868548393,-9999,-9999,0.0057617099955678,0.00403889222070575,-9999,-9999,-9999,-9999,-9999,2.2217211608222E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.45847843668889E-06,1.65727487910772E-06,2.00641966330295E-06,0.00669498229399323,0.00999665167182684,0.0141706923022866,0.0143218133598566,0.013420189730823,0.258671313524246,1.90274667739868,2.11316609382629,1.95982241630554,1.47883319854736,0.809535205364227,0.782831430435181,0.874509453773499,1.0334724187851,1.17606925964355,1.00259506702423,1.37073647975922,0.00189949560444802,0.000100318990007509,6.29717851552414E-06,5.88443654123694E-05,0.00165233470033854,0.0521197691559792,0.175102487206459,0.251660346984863,0.271312892436981,0.425625562667847,0.572488248348236,0.416139990091324,0.160117045044899,0.00223061256110668,-9999,-9999,-9999,-9999,-9999,0.000621944549493492,0.00170689425431192,0.0349391028285027,0.209558442234993,0.0410133972764015,0.0214433763176203,0.0147135797888041,0.00927125010639429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.37420419277623E-06,4.71183957415633E-05,-9999,-9999,-9999,-9999,0.0119429491460323,0.0113640278577805,0.0135891567915678,0.0185620784759521,0.0171644259244204,0.0180749911814928,0.0243210066109896,0.0533833838999271,0.0216033142060041,0.0130563788115978,-9999,0.00420036306604743,0.00722639681771398,-9999,-9999,0.00293814414180815,0.0017877456266433,0.00100072100758553,0.000824391783680767,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.47275193032692E-06,2.58491286331264E-06,-9999,-9999,-9999,2.26653719437309E-06,2.4120643047354E-06,0.00443230988457799,0.00642881589010358,0.00919727422297001,0.0131544023752213,0.0207086764276028,0.38174957036972,0.611440598964691,0.398817151784897,0.406629830598831,0.370956212282181,0.376915812492371,0.652755081653595,0.662469804286957,0.669500648975372,0.795644521713257,1.00556409358978,0.000560205546207726,2.05807100428501E-05,1.12657767203928E-06,7.41612851129503E-08,7.26649716398242E-07,2.31445483223069E-05,0.00039576250128448,0.00586659926921129,0.395583152770996,0.386601358652115,0.536869168281555,0.65362811088562,0.554029524326324,0.200904577970505,0.00199334532953799,3.40649748977739E-05,2.26214415306458E-05,2.65241978922859E-05,5.44241338502616E-05,0.00842348113656044,0.0607391819357872,0.146049723029137,0.490452826023102,0.417221277952194,0.233817428350449,0.14707238972187,0.0396400727331638,0.00911269523203373,0.00520735513418913,0.00505321193486452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
