"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Reef piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00548758544027805,0.00543532101437449,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0120085524395108,0.0117331342771649,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00193545082584023,0.00202472950331867,0.00209342455491424,0.00212918501347303,-9999,-9999,-9999,-9999,-9999,0.0107113132253289,0.0248460471630096,0.0283330511301756,0.0310145430266857,0.0290795117616653,0.0330571122467518,0.0312042962759733,0.0289525613188744,0.0269385688006878,0.0240681916475296,0.0228938851505518,0.0190359745174646,-9999,-9999,0.0133970389142632,0.0123501168563962,0.0115050645545125,0.014664689078927,0.0244957264512777,0.024874173104763,0.02898108959198,0.036673441529274,0.025837229564786,0.0146557139232755,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00195066374726593,0.00208423868753016,0.00236271810717881,0.00252536870539188,0.00224405247718096,0.00243845023214817,0.00191764056216925,-9999,0.0065165227279067,0.0102177178487182,0.0228716675192118,0.0305564608424902,0.0355301201343536,0.038855068385601,0.0417329147458076,0.0403617769479752,0.0384169965982437,0.0419469177722931,0.0408433228731155,0.0360501520335674,0.0314889773726463,0.0246031265705824,0.0228512305766344,0.0242993663996458,0.0266133863478899,0.02993518486619,0.0456092469394207,0.0531844422221184,0.0591946989297867,0.0718149989843369,0.0849989354610443,0.0588847026228905,0.0811786502599716,0.0589938350021839,0.0284182615578175,0.0122243855148554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00204425863921642,0.00236515002325177,0.00318741821683943,0.00348779559135437,0.00303271319717169,0.00322839990258217,0.00283233728259802,0.00507391430437565,0.00636206427589059,0.0206587146967649,0.0274902619421482,0.0344981737434864,0.0451225973665714,0.0695986226201057,0.0846182331442833,0.103806629776955,0.0950478836894035,0.113745734095573,0.130562871694565,0.101775318384171,0.0839469656348228,0.0657941177487373,0.0645365864038467,0.0777343288064003,0.0621225647628307,0.0590610131621361,0.0426230356097221,0.0589641518890858,0.0589978843927383,0.0808099210262299,0.0897886604070663,0.0943169742822647,0.0555570498108864,0.0565087012946606,0.0472253374755383,0.0378014929592609,0.0191318579018116,0.00708269840106368,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0225490853190422,0.0228050276637077,0.0152419721707702,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00473374826833606,-9999,-9999,-9999,0.00561729539185762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00405930960550904,0.00412360625341535,0.00293957046233118,-9999,0.00353454751893878,0.00623579090461135,0.00735866744071245,0.0182130727916956,0.0237792693078518,0.0286683849990368,0.0395755060017109,0.0360125228762627,0.0894680619239807,0.152350395917892,0.151790484786034,0.140439823269844,0.156061545014381,0.175898298621178,0.137211173772812,0.118876159191132,0.11981288343668,0.122781477868557,0.0841150507330894,0.0697713494300842,0.0622097104787827,0.0477217845618725,0.00586039898917079,0.0290425550192595,0.0780478268861771,0.0793014690279961,0.0566086508333683,0.0484613217413425,0.0435503795742989,0.0413593910634518,0.0302661098539829,0.0211128853261471,0.00784000847488642,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0326514504849911,0.0365707352757454,0.019258102402091,0.0167133864015341,0.0146318329498172,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00970173720270395,0.0102555379271507,-9999,-9999,0.0163985192775726,0.0146377198398113,-9999,-9999,0.00743160583078861,0.005285135935992,-9999,-9999,-9999,-9999,-9999,0.0167315118014812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0056976517662406,0.00836839806288481,0.00809152983129025,0.0155070712789893,0.0216141231358051,0.0306306704878807,0.0290037486702204,0.0321550033986568,0.0585099197924137,0.128348246216774,0.137274771928787,0.124503932893276,0.112446956336498,0.125303983688354,0.110231198370457,0.104226626455784,0.114423759281635,0.130127504467964,0.109933219850063,0.118189789354801,0.0217578671872616,0.000160385752678849,8.58064740896225E-05,0.000604424276389182,0.025904992595315,0.0621268637478352,0.0458527319133282,0.0421566963195801,0.0431389696896076,0.0437574163079262,0.0394385047256947,0.0304591953754425,0.0210907012224197,0.00965545233339071,-9999,-9999,-9999,-9999,-9999,0.0224146619439125,0.0215376932173967,0.0399402379989624,0.0530568510293961,0.0292624440044165,0.0249407216906548,0.0211965683847666,0.0157113112509251,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00811141915619373,0.0183903705328703,-9999,-9999,-9999,-9999,0.0197155624628067,0.0232781637459993,0.0270748008042574,0.0365515202283859,0.0376991368830204,0.0340705364942551,0.0302866548299789,0.0334230698645115,0.0276667308062315,0.0143723301589489,-9999,0.00764142908155918,0.014845022931695,-9999,-9999,0.0197611730545759,0.0146877709776163,0.0107846073806286,0.00957708805799484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00474014831706882,0.00516638066619635,-9999,-9999,-9999,0.0272106807678938,0.0232777632772923,0.0195604152977467,0.0217015817761421,0.0266214739531279,0.0318171381950378,0.0323802344501019,0.0726917311549187,0.113068297505379,0.113418467342854,0.10601133108139,0.0975646376609802,0.0961298495531082,0.11764157563448,0.102292217314243,0.0998090654611588,0.103210993111134,0.12044170498848,0.000821169349364936,0.000108260501292534,1.90956834558165E-05,1.07353625935502E-05,4.09064778068569E-05,0.000156430309289135,0.00492311734706163,0.0358373560011387,0.0553659275174141,0.0570473000407219,0.0597211346030235,0.0520494803786278,0.041144035756588,0.0298354681581259,0.01233503036201,0.00791201647371054,0.00825182441622019,0.00879985652863979,0.0106923915445805,0.0236667804419994,0.0388615764677525,0.0486130341887474,0.0876566767692566,0.079410694539547,0.0551925897598267,0.0416585244238377,0.0320062674582005,0.0232007279992104,0.0185330864042044,0.0154917277395725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
