"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Sandbar Shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00114112999290228,0.00134414399508387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00182133901398629,0.00227668508887291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.53648743941449E-05,0.000127921724924818,0.000191468323464505,0.00028597132768482,-9999,-9999,-9999,-9999,-9999,0.0192603133618832,0.0192976966500282,0.0163193792104721,0.00996877625584602,0.00728156277909875,0.00716024963185191,0.0182885695248842,0.0182734560221434,0.0161744486540556,0.00297512440010905,0.00490436796098948,0.0147338379174471,-9999,-9999,0.0143484892323613,0.0219918787479401,0.0185690857470036,0.018773740157485,0.0484044812619686,0.0638794153928757,0.0578927360475063,0.0575918816030025,0.0348965786397457,0.0163157973438501,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.51464501465671E-05,0.000127792343846522,0.000192189792869613,0.000287907983874902,0.000376593263354152,0.000555604754481465,0.000609287002589554,-9999,0.00298320921137929,0.0209187399595976,0.024899048730731,0.0348659493029118,0.0441134497523308,0.0449702590703964,0.0196631886065006,0.0310300160199404,0.0334380157291889,0.0393630117177963,0.0341908037662506,0.0284037888050079,0.0278942603617907,0.0207591392099857,0.0243056789040565,0.0397962927818298,0.0691856071352959,0.161535203456879,0.243324220180511,0.26705002784729,0.263264000415802,0.262165755033493,0.261377394199371,0.260534226894379,0.261072129011154,0.248842418193817,0.129741057753563,0.0545234754681587,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000127338716993108,0.000191681465366855,0.000289942137897015,0.000434635323472321,0.000568270334042609,0.000852387340273708,0.00111133162863553,0.00198360532522202,0.00266865966841578,0.0236913617700338,0.0366544313728809,0.0401699021458626,0.0888643264770508,0.146422490477562,0.213953822851181,0.243736088275909,0.215096831321716,0.261601984500885,0.288933247327805,0.228621497750282,0.221739172935486,0.20472939312458,0.215747967362404,0.285236984491348,0.285820484161377,0.284084677696228,0.280707150697708,0.277353376150131,0.273353785276413,0.270349383354187,0.268049091100693,0.266088426113129,0.263834327459335,0.261116683483124,0.25672721862793,0.249703764915466,0.205673575401306,0.0486991070210934,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0193675626069307,0.0194103308022022,0.0194703228771687,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00344017031602561,-9999,-9999,-9999,0.0045847836881876,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000196666951524094,0.000293844408588484,0.000350892980350181,-9999,0.000947710766922683,0.00157579011283815,0.00255813309922814,0.0057705850340426,0.0245634708553553,0.0369065180420876,0.0493689998984337,0.0311309900134802,0.174156591296196,0.356722354888916,0.370842069387436,0.363798528909683,0.35587614774704,0.340672791004181,0.326939761638641,0.3226178586483,0.317121475934982,0.307266384363174,0.297867268323898,0.28963977098465,0.282347917556763,0.272355228662491,0.264290690422058,0.262531101703644,0.262500494718552,0.261567562818527,0.260364472866058,0.259030371904373,0.256934881210327,0.255147248506546,0.248570054769516,0.224633052945137,0.0586167424917221,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0262398514896631,0.0407389625906944,0.0266406331211329,0.0192030761390924,0.0193579364567995,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0051413276232779,0.00654984312132001,-9999,-9999,0.0075945733115077,0.00829028058797121,-9999,-9999,0.00861925818026066,0.0148793365806341,-9999,-9999,-9999,-9999,-9999,0.00219654943794012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00157147482968867,0.00228277943097055,0.003528724424541,0.00525484140962362,0.0217610485851765,0.0215293951332569,0.0205468330532312,0.0196540765464306,0.116718046367168,0.355929374694824,0.372979164123535,0.366413027048111,0.357483565807343,0.347486317157745,0.33728238940239,0.327537149190903,0.318016618490219,0.308561831712723,0.298603951931,0.288066208362579,0.275982558727264,0.265832513570786,0.260057747364044,0.255473792552948,0.254433155059814,0.255369812250137,0.239164665341377,0.240816012024879,0.255330920219421,0.254784107208252,0.253432661294937,0.248350411653519,0.209337964653969,0.0589886419475079,-9999,-9999,-9999,-9999,-9999,0.0291593614965677,0.0298011619597673,0.0579495467245579,0.0866268053650856,0.0661898106336594,0.0448258705437183,0.0296928826719522,0.0192388202995062,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00403218623250723,0.00411431398242712,-9999,-9999,-9999,-9999,0.0111993756145239,0.0122748017311096,0.010603872127831,0.0360004939138889,0.014917278662324,0.0235558431595564,0.0346659608185291,0.0669047236442566,0.0294617228209972,0.0125122433528304,-9999,0.0063658612780273,0.0110963163897395,-9999,-9999,0.0104452297091484,0.00259549613110721,0.00163765158504248,0.00144721393007785,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00777768390253186,0.00310068484395742,-9999,-9999,-9999,0.0032174049410969,0.020377904176712,0.0217421241104603,0.0219400878995657,0.0210615154355764,0.0200302544981241,0.0265232045203447,0.165125772356987,0.349973887205124,0.365551471710205,0.358755975961685,0.35073384642601,0.342046618461609,0.333274245262146,0.324422985315323,0.315186023712158,0.306070029735565,0.295766592025757,0.282225400209427,0.262201130390167,0.25785905122757,0.255829513072968,0.252167254686356,0.249004676938057,0.248119696974754,0.250045090913773,0.252238869667053,0.252774089574814,0.252893686294556,0.252669155597687,0.250403672456741,0.239194691181183,0.0706998109817505,0.0132273472845554,0.00680766021832824,0.00275024864822626,0.0105883879587054,0.0690682157874107,0.13613785803318,0.179940044879913,0.205606907606125,0.179122015833855,0.17187325656414,0.132245451211929,0.0806577503681183,0.0264919642359018,0.0193251576274633,0.0195321571081877,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
