"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Sea trout"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.602799773216248,0.566471338272095,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.941164553165436,0.859053432941437,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.473386406898499,0.53404837846756,0.586358904838562,0.629020571708679,-9999,-9999,-9999,-9999,-9999,1.41984248161316,1.55219173431396,1.42960619926453,1.46084976196289,1.51032280921936,1.42835760116577,1.28792071342468,1.22344505786896,1.22963738441467,1.14424514770508,1.10888350009918,1.01771259307861,-9999,-9999,0.787666380405426,0.740663945674896,0.46330538392067,0.475525170564651,0.446413666009903,0.459684818983078,0.511592268943787,0.564308226108551,0.525644242763519,0.591533839702606,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.474496483802795,0.558276534080505,0.737703859806061,0.851877212524414,0.801258563995361,1.02947604656219,0.941868841648102,-9999,1.56215703487396,1.67052614688873,1.53068554401398,1.43099045753479,1.45836687088013,1.52281188964844,1.51697361469269,1.44195592403412,1.30271530151367,1.20606625080109,1.26400864124298,1.19944000244141,1.16783821582794,1.08440613746643,1.06616449356079,0.85484766960144,0.654842615127563,0.399988025426865,0.147408321499825,0.0750487670302391,0.0795793458819389,0.0920221582055092,0.104992099106312,0.109902985394001,0.0989744663238525,0.117834657430649,0.299247145652771,0.321847409009933,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.529962062835693,0.7326620221138,1.31195569038391,1.53333640098572,1.37507402896881,1.4749094247818,1.29477989673615,1.60045552253723,1.22971928119659,1.52236747741699,1.409503698349,1.33993411064148,1.36544525623322,1.22440028190613,1.04545927047729,0.920568406581879,0.906567871570587,0.699111342430115,0.633052051067352,0.801053524017334,0.749362349510193,0.712868750095367,0.536045074462891,0.222863480448723,0.118874780833721,0.0745065957307816,0.0396501682698727,0.0212600566446781,0.0141482129693031,0.0180765446275473,0.0256063044071198,0.0300984382629395,0.0303523484617472,0.0409943349659443,0.0523412860929966,0.0610788762569427,0.130690336227417,0.352048844099045,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.03921163082123,1.01506650447845,0.952391803264618,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.477875918149948,-9999,-9999,-9999,0.468754321336746,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.76698625087738,1.84906768798828,1.40381634235382,-9999,1.38759219646454,1.52255153656006,1.49652111530304,1.67326307296753,1.48061037063599,1.57118308544159,1.39255511760712,1.38042378425598,1.12085938453674,0.423176109790802,0.193451121449471,0.17792122066021,0.177344918251038,0.188140824437141,0.190585777163506,0.159251257777214,0.117382608354092,0.0868551433086395,0.0501585379242897,0.0281352866441011,0.0110323010012507,0.00289966422133148,0.000454291846835986,0.00139336741995066,0.00375413964502513,0.00534168211743236,0.00657019484788179,0.012182991951704,0.0205675344914198,0.0285097323358059,0.0528156980872154,0.12820491194725,0.375687211751938,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.986472845077515,0.958399474620819,0.911912143230438,1.04950678348541,1.05105745792389,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.761305928230286,0.753169536590576,-9999,-9999,1.04515194892883,0.992396771907806,-9999,-9999,0.68622875213623,0.668688595294952,-9999,-9999,-9999,-9999,-9999,1.8179486989975,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.04088616371155,1.76570975780487,1.48504328727722,1.4259432554245,1.60966396331787,1.6127518415451,1.39894187450409,1.37564480304718,1.1001443862915,0.296898394823074,0.110516235232353,0.0644547715783119,0.062763050198555,0.0647326558828354,0.0665694996714592,0.054941687732935,0.0399344302713871,0.0283284578472376,0.0151788974180818,0.0054887137375772,0.000658407516311854,3.63903309335001E-05,6.26775727141649E-06,2.83470799331553E-05,0.000226998803555034,0.000814191822428256,0.00132314895745367,0.00323583371937275,0.00754430564120412,0.0128350974991918,0.0294881369918585,0.060967780649662,0.169747084379196,0.427025943994522,-9999,-9999,-9999,-9999,-9999,0.917913854122162,0.950720071792603,0.916062235832214,0.858465075492859,0.977684855461121,1.01530337333679,1.03134596347809,1.11700510978699,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.19516265392303,1.71845376491547,-9999,-9999,-9999,-9999,1.19855260848999,1.48254990577698,1.55269312858582,1.51103699207306,1.65009498596191,1.60016286373138,1.48917675018311,1.20418393611908,1.44067883491516,0.969017326831818,-9999,0.421726793050766,0.917912006378174,-9999,-9999,1.399090051651,1.41868710517883,1.38721406459808,1.59905421733856,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.55326175689697,1.67450046539307,-9999,-9999,-9999,1.71629619598389,1.60349977016449,1.77878141403198,1.62057173252106,1.50702226161957,1.30275928974152,1.2236043214798,0.865211665630341,0.174810141324997,0.0578062906861305,0.0279028806835413,0.0185627155005932,0.0187986958771944,0.0186082553118467,0.0151430685073137,0.0115221757441759,0.00770914321765304,0.00282727181911469,0.000126076032756828,8.52917037263978E-06,4.53058078164759E-07,8.21821544150225E-08,4.02462461579489E-07,3.95625966120861E-06,3.56103373633232E-05,0.000254133803537115,0.0011226701317355,0.00292112864553928,0.00686519406735897,0.0183130241930485,0.0458775125443935,0.095177985727787,0.391331404447556,0.534986972808838,0.583292305469513,0.586224019527435,0.600786507129669,0.604514896869659,0.607573091983795,0.591740190982819,0.590037941932678,0.694067239761353,0.736901998519897,0.826738119125366,1.01540958881378,1.06705224514008,1.11818599700928,1.08771133422852,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
