"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Sessile epifauna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0204986874014139,0.0207690093666315,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0452086254954338,0.055064894258976,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0416545160114765,0.0617545880377293,0.0732283666729927,0.0576726794242859,-9999,-9999,-9999,-9999,-9999,2.65427279472351,2.55123043060303,2.25461554527283,1.83318769931793,1.45898604393005,1.43545830249786,1.91915833950043,1.93580067157745,1.94566822052002,1.83651053905487,2.0417697429657,1.88435292243958,-9999,-9999,1.27724409103394,1.18964731693268,0.430633842945099,0.386732757091522,0.614513397216797,0.65074896812439,0.68380343914032,0.733000576496124,0.577308773994446,0.419922262430191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0438057072460651,0.0787633284926414,0.162350013852119,0.197141766548157,0.170300513505936,0.127154111862183,0.0874974429607391,-9999,1.7003618478775,2.48931884765625,2.55726003646851,2.38781094551086,2.26037311553955,2.3215024471283,1.98287451267242,1.92490637302399,1.93086552619934,1.79015278816223,1.70235776901245,1.82323455810547,1.81820046901703,1.68040370941162,1.45575773715973,1.35335171222687,1.21412587165833,0.898940861225128,0.711154818534851,0.700275659561157,0.818266868591309,0.887449979782104,0.888001382350922,0.856715023517609,0.739008069038391,0.689614117145538,0.935461461544037,0.845421075820923,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0695296078920364,0.169495806097984,0.643004059791565,0.70751827955246,0.573978126049042,0.470613270998001,0.258283466100693,0.192323535680771,0.588667929172516,2.43742895126343,2.38156485557556,2.18676114082336,1.99616253376007,1.80926978588104,1.66265058517456,1.61555898189545,1.48986768722534,1.38786900043488,1.36764824390411,1.3453528881073,1.33647906780243,1.35247349739075,1.3638561964035,1.32969307899475,1.07474339008331,1.03838336467743,0.987466275691986,0.978933036327362,0.145782962441444,0.444771438837051,0.74791431427002,0.774171352386475,0.833902359008789,0.934370577335358,0.995473861694336,0.858341574668884,0.805362701416016,0.942093551158905,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.09829807281494,1.27951538562775,1.4131737947464,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.926861584186554,-9999,-9999,-9999,0.899716794490814,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.857406973838806,0.829195201396942,0.608240485191345,-9999,0.400645226240158,0.435605108737946,0.933256328105927,2.31648135185242,2.22819352149963,1.99225580692291,1.74781179428101,1.55092859268188,1.58881843090057,1.64851546287537,1.4322704076767,1.3431168794632,1.2977706193924,1.25444483757019,1.23623812198639,1.24085450172424,1.18325209617615,1.07344877719879,0.970438480377197,1.12400472164154,0.695517539978027,0.0159686952829361,0.0112895229831338,0.0149932773783803,0.0147814815863967,0.0734146758913994,0.178644508123398,0.590785384178162,0.954965651035309,0.952906310558319,0.946118354797363,0.779516696929932,0.789054453372955,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.16033315658569,1.1844254732132,1.33270871639252,1.345290184021,1.22652816772461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.29369449615479,1.40563929080963,-9999,-9999,1.77927660942078,1.6427218914032,-9999,-9999,1.1836884021759,1.20222318172455,-9999,-9999,-9999,-9999,-9999,2.44324088096619,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.580829322338104,0.788672924041748,1.86163735389709,2.18961071968079,2.15776920318604,1.91315364837646,1.84851217269897,1.4213308095932,1.49499368667603,1.61822533607483,1.27355909347534,1.02456915378571,0.948392689228058,0.889946341514587,0.872597396373749,0.88013082742691,0.836171448230743,0.728098511695862,0.806338131427765,0.0541671700775623,0.0131525574252009,0.00517213763669133,0.00487139960750937,0.00653928052634001,0.00999605841934681,0.0174907632172108,0.0136053897440434,0.119865983724594,0.61673891544342,0.708143651485443,0.923018753528595,0.903461217880249,0.783585488796234,0.760368883609772,-9999,-9999,-9999,-9999,-9999,0.954039216041565,1.035529255867,1.1390780210495,1.22209024429321,1.25194430351257,1.17266261577606,1.13138830661774,1.10037207603455,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.92623043060303,2.61400556564331,-9999,-9999,-9999,-9999,1.97706580162048,2.30431962013245,2.44871044158936,2.49364399909973,2.45948076248169,2.5125458240509,2.35280632972717,2.26598191261292,2.24143505096436,1.66497111320496,-9999,0.866252422332764,1.53845143318176,-9999,-9999,2.29344701766968,2.02358889579773,1.52762162685394,1.52822971343994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.54199504852295,2.54876446723938,-9999,-9999,-9999,2.44003820419312,2.27033567428589,2.12781071662903,2.00866031646729,1.86430990695953,1.74260485172272,1.29168248176575,1.2833526134491,1.35083174705505,0.909387826919556,0.676793873310089,0.617463707923889,0.666850864887238,0.656800508499146,0.632783532142639,0.691985368728638,0.658924639225006,0.0657331719994545,0.00861493498086929,0.00446748314425349,0.00279762572608888,0.00283308164216578,0.00307476543821394,0.00390072236768901,0.00870833080261946,0.0166125539690256,0.0795168429613113,0.383973836898804,0.590816497802734,0.824827969074249,1.0048508644104,0.802579164505005,0.622699499130249,0.425655126571655,0.388302564620972,0.0815570652484894,0.514007687568665,0.75428980588913,0.903280973434448,0.986266374588013,1.09650504589081,1.15665757656097,1.20145761966705,1.20235538482666,1.14542281627655,0.992719113826752,0.83417934179306,0.825686812400818,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
