"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Shallow-water grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.183104291558266,0.177622631192207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.232169568538666,0.225886598229408,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00241210940293968,0.00400087982416153,0.00746547244489193,0.0090328473597765,-9999,-9999,-9999,-9999,-9999,0.377949833869934,0.390757262706757,0.388338893651962,0.393687605857849,0.409711539745331,0.401284337043762,0.38483202457428,0.377495765686035,0.37460720539093,0.326585471630096,0.315756112337112,0.295415759086609,-9999,-9999,0.477593868970871,0.52485728263855,0.406632214784622,0.502399265766144,0.597845494747162,0.528303444385529,0.52714079618454,0.667750239372253,0.52378123998642,0.564862072467804,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00222907075658441,0.00392679637297988,0.00856395997107029,0.0143091659992933,0.0148654067888856,0.019984221085906,0.0148384254425764,-9999,0.146515116095543,0.250362008810043,0.341702610254288,0.41453629732132,0.474680870771408,0.491090834140778,0.461583644151688,0.497260183095932,0.501486659049988,0.546582996845245,0.532661378383636,0.465953379869461,0.404203802347183,0.338616043329239,0.466600567102432,0.482474207878113,0.45326691865921,0.459944248199463,0.526395976543427,0.546182513237,0.533514857292175,0.548559248447418,0.543690025806427,0.494790017604828,0.541176617145538,0.480790257453918,0.37999814748764,0.289793789386749,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00276741781271994,0.00591446598991752,0.014974657446146,0.0242198705673218,0.0284265466034412,0.0283847209066153,0.0226021967828274,0.0639128759503365,0.104668632149696,0.253021538257599,0.373926073312759,0.49261337518692,0.582755386829376,0.615607380867004,0.684511661529541,0.746220171451569,0.696517407894135,0.744523286819458,0.750556409358978,0.698312044143677,0.624776601791382,0.577211380004883,0.560939967632294,0.597947835922241,0.567998111248016,0.537790238857269,0.465806603431702,0.504630923271179,0.273515939712524,0.405336171388626,0.467892289161682,0.483851462602615,0.406376898288727,0.45827504992485,0.396627724170685,0.347624063491821,0.248302012681961,0.253677815198898,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.492213875055313,0.447775185108185,0.410498738288879,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0108370874077082,-9999,-9999,-9999,0.00463308487087488,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.017858637496829,0.0239700693637133,0.0242867209017277,-9999,0.0264299008995295,0.0499932803213596,0.0866903066635132,0.201694458723068,0.323893189430237,0.46098929643631,0.547104954719543,0.529066979885101,0.659025132656097,0.733254909515381,0.711726307868958,0.736144065856934,0.71140456199646,0.762798845767975,0.681992888450623,0.652560412883759,0.57433021068573,0.610862791538239,0.538758337497711,0.481549680233002,0.364046335220337,0.0174063220620155,0.0181619506329298,0.0175125617533922,0.0358526594936848,0.189093768596649,0.244114950299263,0.321910291910172,0.345583081245422,0.356720596551895,0.323291659355164,0.264472633600235,0.201561227440834,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.552844703197479,0.557184219360352,0.430133253335953,0.449011087417603,0.448570132255554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0144706340506673,0.0221877489238977,-9999,-9999,0.0184069592505693,0.0140745127573609,-9999,-9999,0.0104225073009729,0.00672223418951035,-9999,-9999,-9999,-9999,-9999,0.0102555537596345,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0212855357676744,0.0370249040424824,0.0504122190177441,0.128373637795448,0.247091874480247,0.361897945404053,0.430943071842194,0.435266196727753,0.581297755241394,0.539319574832916,0.480114728212357,0.517376601696014,0.546421706676483,0.571857035160065,0.54749608039856,0.52433043718338,0.478117614984512,0.517615795135498,0.474347352981567,0.145451992750168,0.0162172112613916,0.01191152818501,0.0115020480006933,0.0111410431563854,0.015291815623641,0.015754921361804,0.0237411446869373,0.165074363350868,0.286352723836899,0.324927449226379,0.361052453517914,0.348834991455078,0.2763691842556,0.21218042075634,-9999,-9999,-9999,-9999,-9999,0.429233372211456,0.449975252151489,0.572415888309479,0.609377324581146,0.677772581577301,0.592495024204254,0.564925312995911,0.468303948640823,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0616398006677628,0.0838593170046806,-9999,-9999,-9999,-9999,0.0282142031937838,0.0444733239710331,0.061833780258894,0.0834768116474152,0.0696817487478256,0.054136797785759,0.0459138229489326,0.0631438121199608,0.0590401366353035,0.0339284986257553,-9999,0.00691325729712844,0.0136426454409957,-9999,-9999,0.0168017540127039,0.0128755709156394,0.0101628666743636,0.0114182941615582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00697324331849813,0.0107033411040902,-9999,-9999,-9999,0.0354541800916195,0.0560091696679592,0.0996370390057564,0.20109461247921,0.267658859491348,0.377958655357361,0.408200562000275,0.549603164196014,0.431267261505127,0.375301986932755,0.378101348876953,0.429402589797974,0.432125806808472,0.426437377929688,0.389316082000732,0.369875878095627,0.377951622009277,0.166283831000328,0.0153812216594815,0.0112185925245285,0.0070231668651104,0.00655472604557872,0.00643390836194158,0.00936344359070063,0.0103614022955298,0.0152434818446636,0.131249904632568,0.250823587179184,0.305671006441116,0.355623006820679,0.405742943286896,0.347894877195358,0.212385028600693,0.170635342597961,0.1532232016325,0.154320552945137,0.230346158146858,0.348201662302017,0.476588100194931,0.507816076278687,0.621069192886353,0.569299101829529,0.520090401172638,0.555863797664642,0.730343639850616,0.610297560691833,0.494117081165314,0.467189460992813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
