"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Skates-rays

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0542083494365215,0.0617231428623199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0610159337520599,0.0684448927640915,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.069648876786232,0.0711107179522514,0.072997972369194,0.0745856016874313,-9999,-9999,-9999,-9999,-9999,0.0817826166749001,0.0793832689523697,0.0760154873132706,0.0721642896533012,0.0680829808115959,0.0639753863215446,0.0600919313728809,0.0566627383232117,0.0539499744772911,0.0671228244900703,0.0728612989187241,0.048054400831461,-9999,-9999,0.0343902073800564,0.053422600030899,0.0469392761588097,0.0460199415683746,0.0813144072890282,0.0869703739881516,0.0849245712161064,0.0841322913765907,0.0699655786156654,0.0386632718145847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.068700484931469,0.0701599046587944,0.0727989971637726,0.0755053386092186,0.0688015595078468,0.0719074234366417,0.0546744577586651,-9999,0.0852652043104172,0.0982924327254295,0.106352686882019,0.137365445494652,0.151813417673111,0.143800139427185,0.115518972277641,0.108052343130112,0.101218998432159,0.110707737505436,0.0979632288217545,0.0862812101840973,0.0824150443077087,0.0634352564811707,0.0638477876782417,0.0844205394387245,0.0960226729512215,0.0993346571922302,0.096330851316452,0.094124048948288,0.0932071059942245,0.092779129743576,0.0922104865312576,0.0911494866013527,0.0891617685556412,0.0865954384207726,0.0832341760396957,0.0742479860782623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0691829323768616,0.0714136213064194,0.0762687921524048,0.079374797642231,0.072036974132061,0.0972086489200592,0.0750572830438614,0.0892099365592003,0.100734800100327,0.137419432401657,0.143706381320953,0.14735546708107,0.197331979870796,0.199352562427521,0.188139453530312,0.175938978791237,0.164300829172134,0.155196771025658,0.14666523039341,0.138531610369682,0.131185695528984,0.123171962797642,0.115600131452084,0.108966745436192,0.103320330381393,0.0985900685191154,0.0949311926960945,0.0924363136291504,0.0908173248171806,0.089957483112812,0.0893057137727737,0.0883165895938873,0.0868726894259453,0.0847657918930054,0.082744188606739,0.0811413303017616,0.0800757482647896,0.0703344941139221,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0581615194678307,0.058589018881321,0.0591233558952808,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0398719348013401,-9999,-9999,-9999,0.0343709141016006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0801239833235741,0.0815668255090714,0.0664218962192535,-9999,0.0818399041891098,0.110341988503933,0.0836893767118454,0.0850189626216888,0.0922505557537079,0.133419752120972,0.155898198485374,0.105643890798092,0.17677366733551,0.168170258402824,0.157736092805862,0.148338705301285,0.139739379286766,0.131904155015945,0.124881334602833,0.117902763187885,0.111314848065376,0.105803042650223,0.101429536938667,0.0974017530679703,0.0938562825322151,0.0877281427383423,0.0271421931684017,0.0699002295732498,0.0862523764371872,0.0861098244786263,0.0851622596383095,0.0837187394499779,0.0822893083095551,0.0809721276164055,0.0802342444658279,0.0801776498556137,0.0741248950362206,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0809412896633148,0.116033673286438,0.0837820693850517,0.0592034831643105,0.0601780526340008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0516912043094635,0.0582143925130367,-9999,-9999,0.05043775588274,0.0475800149142742,-9999,-9999,0.0385134480893612,0.0694106817245483,-9999,-9999,-9999,-9999,-9999,0.0883955210447311,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0910534560680389,0.0958753153681755,0.0739615187048912,0.0785108804702759,0.0787984281778336,0.073991023004055,0.0687062293291092,0.0626286193728447,0.161629468202591,0.15963651239872,0.149985045194626,0.141070768237114,0.132847473025322,0.125273078680038,0.118563860654831,0.11243037134409,0.106960326433182,0.102666020393372,0.0995636954903603,0.096258744597435,0.0524610616266727,0.000604807515628636,0.000960432982537895,0.00917032174766064,0.0547339767217636,0.082328736782074,0.0781926959753036,0.0783766135573387,0.0821884199976921,0.0812339037656784,0.0805414021015167,0.0805057063698769,0.0816523730754852,0.0763782635331154,-9999,-9999,-9999,-9999,-9999,0.0827638357877731,0.0863041654229164,0.130985081195831,0.150843918323517,0.144908100366592,0.12559387087822,0.0949052050709724,0.0605994760990143,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0599654801189899,0.0882870480418205,-9999,-9999,-9999,-9999,0.0583604611456394,0.0678656175732613,0.0929526388645172,0.170380830764771,0.150519341230392,0.13995036482811,0.143561199307442,0.190335735678673,0.125428140163422,0.0531749241054058,-9999,0.0318556390702724,0.0717729851603508,-9999,-9999,0.144455298781395,0.0687998533248901,0.0647528320550919,0.110942713916302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.086552657186985,0.0857963785529137,-9999,-9999,-9999,0.0843430459499359,0.0825763419270515,0.0796515494585037,0.0756687223911285,0.0707221627235413,0.0649239793419838,0.0843333527445793,0.158801659941673,0.15208537876606,0.142769932746887,0.134388670325279,0.126783683896065,0.11976595968008,0.113192051649094,0.107813015580177,0.103389836847782,0.100088901817799,0.0978206843137741,0.00540656456723809,0.000619375961832702,0.000402933888835832,0.000586099631618708,0.000577373779378831,0.00398733699694276,0.0319543927907944,0.0755969062447548,0.082389734685421,0.0815868973731995,0.0808610916137695,0.0805863663554192,0.0810222923755646,0.0825280398130417,0.0799712836742401,0.030047383159399,0.0321017131209373,0.0345526859164238,0.048381369560957,0.110438488423824,0.129766032099724,0.140169769525528,0.149684175848961,0.156574308872223,0.162616670131683,0.165265992283821,0.157613322138786,0.0867691785097122,0.0621316023170948,0.0634039118885994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
