"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Spanish Mackerel (0-1)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60391485691071,1.83037328720093,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.8916220664978,2.06637930870056,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.50202417373657,3.49399352073669,3.47230505943298,3.44478607177734,-9999,-9999,-9999,-9999,-9999,1.61676061153412,1.60201048851013,1.62595856189728,1.65038025379181,1.68481028079987,1.72079396247864,1.77499663829803,1.84351241588593,1.87526619434357,2.29083967208862,2.38801026344299,1.67695569992065,-9999,-9999,0.94873034954071,1.01274394989014,0.437456369400024,0.196511566638947,0.149628266692162,0.117398753762245,0.095216728746891,0.0750843212008476,0.0593286491930485,0.0366486236453056,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.55948090553284,3.53118991851807,3.47635555267334,3.41174697875977,2.890305519104,2.63712978363037,1.8018171787262,-9999,1.76449584960938,2.02739071846008,2.15091729164124,2.45643424987793,2.61209082603455,2.76660084724426,2.88506150245667,3.08850502967834,3.2478723526001,3.46073698997498,3.41842794418335,3.31117725372314,3.20681691169739,2.87286591529846,2.73314237594604,2.39005470275879,1.79482913017273,0.882359504699707,0.190922051668167,0.0339930206537247,0.0241411868482828,0.015038057230413,0.00967991352081299,0.00696086650714278,0.00465193344280124,0.0174704026430845,0.280891269445419,0.369063913822174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.58390474319458,3.5303943157196,3.41459059715271,3.32723116874695,2.78756999969482,3.21702361106873,2.12921905517578,2.13801074028015,2.06223702430725,2.56815552711487,2.5046660900116,2.58367848396301,2.53331661224365,2.47748184204102,2.24949193000793,2.30741143226624,2.7714478969574,2.31023836135864,1.83299314975739,2.65635824203491,2.52720499038696,2.48286104202271,2.06370902061462,0.615094363689423,0.294916093349457,0.121284663677216,0.0407199896872044,0.0149152725934982,0.00913127511739731,0.0056455279700458,0.00382281700149179,0.00306679657660425,0.00307739339768887,0.00354265561327338,0.00385115598328412,0.0129424938932061,0.0968288630247116,0.312157154083252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.287644565105438,0.289754211902618,0.288505911827087,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.806719720363617,-9999,-9999,-9999,0.812656104564667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.29542708396912,3.2735607624054,2.59115195274353,-9999,2.02975296974182,2.41244077682495,1.83026814460754,1.77659273147583,1.96043682098389,2.50813269615173,2.75385499000549,2.90432476997375,2.68372201919556,1.28765261173248,0.924225747585297,1.05717408657074,0.962777197360992,1.26532161235809,1.40476942062378,0.844977021217346,0.32787749171257,0.194131538271904,0.0844196230173111,0.0592644326388836,0.0368272438645363,0.0130000375211239,0.0064575276337564,0.00393151957541704,0.00272406963631511,0.00224691815674305,0.00227659964002669,0.00262355757877231,0.00288375397212803,0.00375550054013729,0.00972890853881836,0.0388905480504036,0.146030455827713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.435730248689651,0.512818515300751,0.463505297899246,0.329305857419968,0.318967968225479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.22002255916595,1.28717935085297,-9999,-9999,1.38598215579987,1.28120923042297,-9999,-9999,1.04910433292389,1.38548493385315,-9999,-9999,-9999,-9999,-9999,1.82966244220734,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0694146156311,2.09383368492126,1.52412164211273,1.56687557697296,1.54670596122742,1.49421298503876,1.57380652427673,1.80392861366272,2.81922674179077,1.01209211349487,0.326082348823547,0.390093207359314,0.373200476169586,0.285053372383118,0.23956610262394,0.208920940756798,0.165080279111862,0.125117152929306,0.0620225816965103,0.0396871007978916,0.0217580981552601,0.00422401120886207,0.00170521670952439,0.00115490995813161,0.00117287319153547,0.00117280811537057,0.0011988237965852,0.00139678153209388,0.00163950514979661,0.00245206221006811,0.00300268828868866,0.00589451007544994,0.0294335447251797,0.0592878311872482,-9999,-9999,-9999,-9999,-9999,0.36170282959938,0.42963695526123,0.506649315357208,0.533770143985748,0.580962419509888,0.616543591022491,0.542496621608734,0.347906321287155,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47216320037842,2.19383358955383,-9999,-9999,-9999,-9999,1.70334327220917,1.87916553020477,2.576411485672,3.28180336952209,3.40714812278748,3.41585230827332,3.36690807342529,3.46672630310059,3.49546885490417,1.68592095375061,-9999,0.867163360118866,1.68616032600403,-9999,-9999,2.15262627601624,1.39496910572052,1.2777886390686,2.09486675262451,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.38383030891418,1.37571847438812,-9999,-9999,-9999,1.63874411582947,1.56838476657867,1.42649531364441,1.31934499740601,1.23674762248993,1.2467041015625,1.93490660190582,1.96786844730377,0.628766298294067,0.194136112928391,0.172192707657814,0.175697773694992,0.153816848993301,0.137838110327721,0.116200357675552,0.0883916094899178,0.0683438554406166,0.0313762612640858,0.0126055907458067,0.00479291472584009,0.00104533729609102,0.000408685766160488,0.000251598859904334,0.000292829936370254,0.000462335941847414,0.000600324070546776,0.000709775427822024,0.00120831211097538,0.00192808185238391,0.00271586212329566,0.00309123704209924,0.00863078702241182,0.0463957525789738,0.0222072135657072,0.022244431078434,0.0367014482617378,0.0995820835232735,0.216026857495308,0.275355100631714,0.312643051147461,0.349421739578247,0.466689020395279,0.507748663425446,0.57146692276001,0.608540236949921,0.543004810810089,0.358920693397522,0.342948257923126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
