"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Vermilion snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00888373143970966,0.00885215867310762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0149385379627347,0.014880308881402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.15276307042222E-05,1.77580441231839E-05,2.98870836559217E-05,4.71054881927557E-05,-9999,-9999,-9999,-9999,-9999,0.00353134702891111,0.00518170557916164,0.00759451603516936,0.0110671874135733,0.0161281861364841,0.0236749388277531,0.0264474619179964,0.0263335574418306,0.0311896856874228,0.0252883601933718,0.0251573398709297,0.0255638938397169,-9999,-9999,0.0292815286666155,0.0325934588909149,0.0418718121945858,0.0518928281962872,0.0562245510518551,0.0603834614157677,0.0625893399119377,0.0605069287121296,0.0641542598605156,0.0570969432592392,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.96146559878252E-06,1.21715966088232E-05,2.24182676902274E-05,4.58499234810006E-05,9.74375652731396E-05,0.000208833313081414,0.000820627494249493,-9999,0.00273449649102986,0.00361449900083244,0.00522823492065072,0.00756115326657891,0.0110035473480821,0.0161191206425428,0.0236317459493876,0.0350760109722614,0.0397633835673332,0.0400254875421524,0.0477186031639576,0.0404063574969769,0.0402006208896637,0.0401442311704159,0.0403085872530937,0.0516628734767437,0.0456019416451454,0.0499740205705166,0.0918387174606323,0.186709344387054,0.200035363435745,0.225891053676605,0.245837390422821,0.169283345341682,0.305537939071655,0.176093921065331,0.0585364326834679,0.0491721257567406,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.48174477141583E-06,1.37542610900709E-05,2.79860414593713E-05,5.94491284573451E-05,0.000114996400952805,0.00105467531830072,0.00214797188527882,0.00380080053582788,0.00334000657312572,0.00536337308585644,0.00769993383437395,0.011069624684751,0.0159688219428062,0.0232352837920189,0.0340436585247517,0.050760917365551,0.0596411786973476,0.0615947693586349,0.089346282184124,0.0650068745017052,0.0639570206403732,0.0643784701824188,0.0656435340642929,0.124157600104809,0.12222047150135,0.19979290664196,0.249183282256126,0.992527842521667,2.34817552566528,2.37882566452026,1.5584362745285,1.48810124397278,0.70302027463913,0.640749871730804,0.339705049991608,0.178651332855225,0.0472658164799213,0.0300397090613842,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.01546735689044,0.0117594879120588,0.00965517666190863,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00131620350293815,-9999,-9999,-9999,0.00145371968392283,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.00058436550898E-05,4.35117690358311E-05,5.55023761990014E-05,-9999,0.00351835158653557,0.00554591743275523,0.00531748030334711,0.00803143158555031,0.0114816976711154,0.016451196745038,0.0237153731286526,0.0343892462551594,0.0489013679325581,0.113519378006458,0.194293320178986,0.208498030900955,0.288945585489273,0.292569071054459,0.225066468119621,0.252641469240189,0.395309329032898,0.55245441198349,0.39207524061203,0.55544239282608,1.8569540977478,3.27926707267761,3.44683742523193,2.50620722770691,3.17895603179932,2.6946280002594,1.5847259759903,0.980455100536346,0.480724036693573,0.360027343034744,0.137418761849403,0.0503186881542206,0.0303791258484125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0226152576506138,0.0173081960529089,0.0143959224224091,0.00993095152080059,0.0068027600646019,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00311952107585967,0.00370327848941088,-9999,-9999,0.0045956471003592,0.0041717579588294,-9999,-9999,0.00431714206933975,0.00294591370038688,-9999,-9999,-9999,-9999,-9999,0.00556504353880882,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00667167408391833,0.00929723680019379,0.00623613176867366,0.00853442028164864,0.01283666677773,0.0184238124638796,0.0264886897057295,0.037955105304718,0.0533968955278397,0.115450248122215,0.422221601009369,0.627837002277374,0.631371259689331,0.702712953090668,0.582451939582825,0.619589567184448,0.874035894870758,1.36501741409302,1.25392746925354,3.83284187316895,3.76562929153442,3.0595805644989,1.75277328491211,1.95297706127167,3.28347039222717,2.81150960922241,1.55123198032379,1.02980041503906,0.654465317726135,0.580907106399536,0.309753507375717,0.124986186623573,0.0370208248496056,0.0249740220606327,-9999,-9999,-9999,-9999,-9999,0.0252598077058792,0.02659603767097,0.0321063622832298,0.0252891276031733,0.0210999175906181,0.014573622494936,0.0100171221420169,0.00683950632810593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00312041700817645,0.00404014531522989,-9999,-9999,-9999,-9999,0.00678076036274433,0.00851308181881905,0.00962190981954336,0.00935600325465202,0.00896938424557447,0.0099152997136116,0.00913041736930609,0.0100360298529267,0.0110386274755001,0.00900814030319452,-9999,0.00456637050956488,0.00720589002594352,-9999,-9999,0.00683432864025235,0.00659870961681008,0.005256705917418,0.00579710537567735,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00515615055337548,0.00776516692712903,-9999,-9999,-9999,0.0144024072214961,0.0106710642576218,0.00907245092093945,0.0128169544041157,0.0183567553758621,0.0261380039155483,0.0371160134673119,0.0519532039761543,0.11747782677412,0.664191663265228,0.929855465888977,0.91528445482254,0.910991609096527,1.27356731891632,1.20686757564545,1.12063956260681,1.49701035022736,3.13980627059937,3.23572254180908,0.824346959590912,0.790676474571228,1.68356370925903,1.80427551269531,2.06701350212097,1.97452628612518,1.66151559352875,1.35545027256012,1.06158435344696,0.957711577415466,0.581988453865051,0.213486447930336,0.0805908665060997,0.0358875282108784,0.0236094892024994,0.0180679988116026,0.0175105035305023,0.0221173837780952,0.0315453261137009,0.0334712266921997,0.0377844013273716,0.0481172688305378,0.037040077149868,0.0311284679919481,0.0213293936103582,0.0145786432549357,0.0100822634994984,0.0070008672773838,0.00474576465785503,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
