"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"White shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0196060538291931,0.0228114351630211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.23839175701141,1.36522102355957,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.04233184983605E-06,1.93455543922028E-05,3.63095387001522E-05,6.51925438432954E-05,-9999,-9999,-9999,-9999,-9999,14.9939489364624,17.0828723907471,12.6576480865479,7.34683895111084,4.83792304992676,6.21683263778687,12.6017990112305,15.5307989120483,14.8943815231323,7.76255321502686,10.8926277160645,9.04619979858398,-9999,-9999,7.33962488174438,8.66940784454346,0.0435009300708771,0.00247998675331473,0.00298492074944079,0.00894834753125906,0.0113114453852177,0.0164809972047806,0.181160941720009,0.0279458798468113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.34966238774359E-06,3.23632229992654E-05,0.000204263342311606,0.000355102150933817,0.00069425703259185,0.0024425364099443,0.0185376778244972,-9999,4.36505842208862,11.8580665588379,14.4646797180176,16.7939224243164,17.1798629760742,15.8259410858154,13.6176252365112,15.3476829528809,16.2965450286865,17.1935901641846,17.9653816223145,15.3000946044922,14.2686948776245,10.408543586731,11.2776746749878,7.59682464599609,6.89351654052734,1.7893477678299,0.140632823109627,0.169020265340805,0.0843996182084084,0.193134114146233,0.243478521704674,0.206594482064247,2.85924649238586,0.999165415763855,1.52272260189056,0.101289995014668,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.19001249206485E-05,0.000221036447328515,0.00415554502978921,0.0064501604065299,0.010515134781599,0.0266274455934763,0.0615075901150703,0.245626255869865,1.62819969654083,10.6498689651489,12.1895875930786,14.9471340179443,17.238151550293,20.7482643127441,22.8962516784668,23.9735870361328,22.9258060455322,23.955696105957,25.043270111084,19.5498542785645,18.1058692932129,13.4322052001953,10.3326740264893,1.51310336589813,0.385270297527313,0.269352167844772,4.34407997131348,10.4327211380005,3.23841881752014,12.029878616333,8.39377880096436,0.471347898244858,0.330983400344849,0.248437136411667,0.254777044057846,0.0961387231945992,0.0298121832311153,0.0144214741885662,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.52876424789429,6.60355615615845,7.37429857254028,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.79291558265686,-9999,-9999,-9999,3.80921626091003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0058739734813571,0.00673594838008285,0.00627562124282122,-9999,0.111783683300018,0.483896255493164,2.54751920700073,12.4550371170044,13.3590784072876,14.9785976409912,13.9061269760132,16.2471351623535,24.1717319488525,30.133264541626,29.7598056793213,27.3077564239502,26.5028457641602,19.3156070709229,15.8281660079956,5.50853538513184,1.41864776611328,0.745257258415222,0.508786797523499,9.39550971984863,16.9248218536377,0.771018326282501,0.149508520960808,0.62882661819458,1.0490437746048,0.881582081317902,1.50078892707825,2.686199426651,0.428861707448959,0.325224369764328,0.198082745075226,0.0476692058146,0.013777875341475,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.52745914459229,4.73920869827271,4.98152303695679,6.18686485290527,9.31360340118408,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.70543098449707,5.5897331237793,-9999,-9999,9.3728609085083,9.19843292236328,-9999,-9999,5.64803886413574,6.85098028182983,-9999,-9999,-9999,-9999,-9999,9.95181083679199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.408895790576935,2.36656522750854,10.712176322937,12.8583154678345,13.2812023162842,13.6494836807251,10.4575662612915,13.0565366744995,21.5508594512939,31.200288772583,33.8672027587891,30.438793182373,22.1646556854248,5.03722906112671,3.62253022193909,2.49255394935608,0.599034547805786,1.42246854305267,12.9850397109985,1.46969890594482,0.401136040687561,0.0235834214836359,0.00596612645313144,0.0530078746378422,0.418026596307755,0.764899253845215,0.804299414157867,1.51534020900726,0.871458947658539,0.470063716173172,0.391455173492432,0.166317492723465,0.0480323247611523,0.140637204051018,-9999,-9999,-9999,-9999,-9999,0.00314320251345634,0.0525187253952026,0.565136075019836,1.70795333385468,2.16275119781494,5.27981090545654,7.40660047531128,10.8502798080444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.74681091308594,13.1953001022339,-9999,-9999,-9999,-9999,10.8747320175171,12.7934417724609,12.5835208892822,16.2971458435059,17.2469062805176,17.5499534606934,17.3261566162109,14.3593549728394,14.3519058227539,8.23398017883301,-9999,3.54910707473755,9.24684047698975,-9999,-9999,12.6094360351563,7.35110139846802,4.49734497070313,3.25464415550232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.3509769439697,15.9058074951172,-9999,-9999,-9999,17.9573497772217,17.8382148742676,17.2403049468994,14.5735750198364,13.2895278930664,9.11724185943604,12.2624616622925,18.8756160736084,22.4441375732422,20.0190849304199,18.3289623260498,13.4749975204468,3.11312413215637,2.7507655620575,0.536527156829834,0.53970068693161,1.96080935001373,1.43846833705902,0.0848495438694954,0.00864629540592432,0.000620226725004613,0.000204639436560683,0.00175891234539449,0.0186552703380585,0.137785241007805,0.962063610553741,2.19599509239197,3.44552850723267,2.50426983833313,0.844399452209473,0.521008610725403,0.0988270342350006,0.033175352960825,0.00240692892111838,0.000732888467609882,1.79725739144487E-05,0.00280142785049975,0.0323901288211346,0.0248717870563269,0.112028904259205,0.396811604499817,0.736317873001099,1.13254582881927,1.66690790653229,4.30845069885254,5.69303703308105,9.21747589111328,11.99134349823,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
