"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Yellowedge grouper (0-3yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00273628509603441,0.0027360524982214,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00393829634413123,0.00393676711246371,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.09357305418234E-05,7.61654591769911E-05,0.000115025191917084,0.000175154229509644,-9999,-9999,-9999,-9999,-9999,0.00192890595644712,0.00279071740806103,0.0039929267950356,0.00572179025039077,0.00558776455000043,0.0055282418616116,0.00562298903241754,0.00578958680853248,0.00580614758655429,0.00566749041900039,0.00565812131389976,0.00566854793578386,-9999,-9999,0.00575852813199162,0.00827173888683319,0.00840474106371403,0.00918161030858755,0.00969879236072302,0.00994111225008965,0.00977764930576086,0.00918889790773392,0.00845720618963242,0.00781025644391775,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.0791470130207E-05,7.57387169869617E-05,0.000113953741674777,0.000174994114786386,0.00024367957666982,0.000401903642341495,0.000483984709717333,-9999,0.00144975853618234,0.00213188258931041,0.00300353998318315,0.00430568167939782,0.00616236729547381,0.00875903386622667,0.00836563110351563,0.00818354915827513,0.00825359765440226,0.00836647115647793,0.00839646253734827,0.00830207485705614,0.00821393169462681,0.00810619350522757,0.00802314095199108,0.0079144574701786,0.00780479516834021,0.0175208430737257,0.0510798804461956,0.0994302332401276,0.100739404559135,0.119353204965591,0.124449387192726,0.0848001465201378,0.141781836748123,0.0880507379770279,0.0182739105075598,0.00499926041811705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.54379580030218E-05,0.000112650937808212,0.000170907616848126,0.000264888716628775,0.000372621725546196,0.000645904568955302,0.000887590635102242,0.0015411488711834,0.00189649173989892,0.00333767523989081,0.00475922599434853,0.00680454447865486,0.00968308746814728,0.0160845648497343,0.02302754111588,0.029168589040637,0.026487348601222,0.0400986336171627,0.0552518591284752,0.0374289266765118,0.0322751328349113,0.0248597599565983,0.0258829183876514,0.0619351901113987,0.0750969350337982,0.102086953818798,0.121472708880901,0.30281201004982,0.589956760406494,0.594647765159607,0.419367015361786,0.355208277702332,0.183580860495567,0.184538796544075,0.109864704310894,0.0690727457404137,0.0172764994204044,0.00459006195887923,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00572937773540616,0.00575158186256886,0.00385776860639453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000845830771140754,-9999,-9999,-9999,0.00129158946219832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000116348339361139,0.000176632791408338,0.000216027532587759,-9999,0.00103903806302696,0.0016406390350312,0.00153623975347728,0.00253146816976368,0.00354330870322883,0.00497756525874138,0.00695680221542716,0.00949819572269917,0.0199503488838673,0.0774637833237648,0.116652317345142,0.124817475676537,0.146765410900116,0.148161068558693,0.113874129951,0.125321269035339,0.164912164211273,0.226313188672066,0.195955067873001,0.246073693037033,0.509973347187042,0.834004044532776,0.988039374351501,0.751151442527771,0.702879369258881,0.579440236091614,0.360862582921982,0.250425219535828,0.144273146986961,0.12164194136858,0.0547901690006256,0.0221606008708477,0.00501640932634473,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00819399300962687,0.00828469637781382,0.00565070705488324,0.00575982686132193,0.00394952250644565,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00188335357233882,0.00187882187310606,-9999,-9999,0.00374546344392002,0.00354349310509861,-9999,-9999,0.0019201934337616,0.0013184635899961,-9999,-9999,-9999,-9999,-9999,0.00146637891884893,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00207787682302296,0.00294877239502966,0.00177762960083783,0.00270467903465033,0.00392744271084666,0.00541479466482997,0.00740582542493939,0.00992434378713369,0.0131353531032801,0.0803745910525322,0.183927714824677,0.238701581954956,0.236508533358574,0.237531676888466,0.215624079108238,0.231772661209106,0.269366443157196,0.421524822711945,0.437517106533051,1.0116308927536,1.12977087497711,1.15699660778046,0.903692662715912,0.878218770027161,0.963257610797882,0.685203552246094,0.398647159337997,0.304294377565384,0.209680542349815,0.184338465332985,0.125899910926819,0.0564909316599369,0.019552668556571,0.00594422360882163,-9999,-9999,-9999,-9999,-9999,0.0069940909743309,0.00726897828280926,0.0145572321489453,0.0167514067143202,0.00809413567185402,0.00837399996817112,0.00581604987382889,0.00401081563904881,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00138176477048546,0.00263575068674982,-9999,-9999,-9999,-9999,0.00436523603275418,0.00498102651908994,0.0052108159288764,0.00817052088677883,0.00816608220338821,0.00827651564031839,0.00801525264978409,0.00811263173818588,0.00814271718263626,0.00403103558346629,-9999,0.00196618912741542,0.0024351307656616,-9999,-9999,0.00177081720903516,0.00172191462479532,0.00163842050824314,0.00149560533463955,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00141518947202712,0.00209796894341707,-9999,-9999,-9999,0.00482893548905849,0.00333926174789667,0.0032231614459306,0.00435715820640326,0.00583344139158726,0.007783860899508,0.0101534994319081,0.0199503190815449,0.0828593894839287,0.234395354986191,0.281682312488556,0.296963751316071,0.279628098011017,0.334624916315079,0.332365959882736,0.318736851215363,0.409262746572495,0.795768320560455,1.03852939605713,1.25506591796875,1.10906028747559,1.18595683574677,1.04766130447388,0.986330389976501,0.866702735424042,0.637628972530365,0.482396811246872,0.327325910329819,0.273844420909882,0.190957188606262,0.103057011961937,0.0453587882220745,0.00640235142782331,0.00494057033210993,0.00493441103026271,0.00455007329583168,0.00583508424460888,0.0106862522661686,0.0148208951577544,0.0188845172524452,0.0369247496128082,0.026355704292655,0.0171158853918314,0.0120071899145842,0.00837795902043581,0.0058951280079782,0.00412164488807321,0.00283027184195817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
