"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Yellowedge grouper (3+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00140076689422131,0.00140033767092973,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00207854784093797,0.0020783634390682,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.70149563322775E-06,7.69813050283119E-06,7.6947471825406E-06,7.69291727920063E-06,-9999,-9999,-9999,-9999,-9999,0.000624331820290536,0.000621970451902598,0.000923975021578372,0.00137499475385994,0.00205463077872992,0.00205330806784332,0.00205185054801404,0.00305860675871372,0.00306097837164998,0.00306609598919749,0.00306588714011014,0.00306827202439308,-9999,-9999,0.00660549243912101,0.00973939150571823,0.0144383497536182,0.0212737563997507,0.0208706744015217,0.0207198355346918,0.02071762830019,0.0139349643141031,0.0140598947182298,0.00958163943141699,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.69916641729651E-06,7.69682173995534E-06,7.69332291383762E-06,7.69116832088912E-06,6.73275326334988E-06,6.62031152387499E-06,0.000396025512600318,-9999,0.000903373351320624,0.000932792201638222,0.000926256121601909,0.000917841913178563,0.00135480484459549,0.00201068888418376,0.00299512594938278,0.00298624346032739,0.00297923060134053,0.00442947167903185,0.00443459022790194,0.0044478983618319,0.00445317151024938,0.00444807019084692,0.00652424059808254,0.00642857467755675,0.00948287546634674,0.0139260124415159,0.0204638671129942,0.030008677393198,0.0295892506837845,0.0295331440865993,0.029660539701581,0.0200462993234396,0.0201328061521053,0.0136331375688314,0.00920851249247789,0.00625324063003063,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.69449616200291E-06,7.69127018429572E-06,7.68768404668663E-06,7.68525023886468E-06,6.72160467729555E-06,0.0005488027818501,0.000691160617861897,0.00121067126747221,0.00109471508767456,0.00138626282569021,0.00137430720496923,0.00135900068562478,0.00198890524916351,0.00292324530892074,0.00428795488551259,0.0042424974963069,0.00422160001471639,0.00627556908875704,0.00627593044191599,0.00629816111177206,0.00631002290174365,0.00629675528034568,0.00931805651634932,0.0092102475464344,0.0135897044092417,0.0198796503245831,0.0288483668118715,0.0414422266185284,0.0398267768323421,0.0402102135121822,0.0413837805390358,0.0284814927726984,0.0289703868329525,0.0196785628795624,0.0133794834837317,0.00910240598022938,0.00620092172175646,0.00422675861045718,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000125277671031654,8.40572902234271E-05,5.65329755772837E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.64910818259523E-06,-9999,-9999,-9999,2.7201165266888E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.6869528129464E-06,7.68691461416893E-06,6.15604767517652E-06,-9999,0.00110022304579616,0.00175731536000967,0.0017248613294214,0.00207415083423257,0.00206001941114664,0.00203433306887746,0.00298431608825922,0.00437740050256252,0.0062809307128191,0.0061222855001688,0.00604099361225963,0.0089703630656004,0.008969496935606,0.00898465700447559,0.00902845524251461,0.00901390891522169,0.0133465211838484,0.013263801112771,0.0195308420807123,0.0279110539704561,0.0385614223778248,0.838272392749786,2.81993937492371,1.84680557250977,0.154501855373383,0.039777722209692,0.0414060764014721,0.0285940133035183,0.0196130760014057,0.0133053092285991,0.00907773897051811,0.00621132738888264,0.0063183712773025,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000184025368071161,0.000123040212201886,8.32025762065314E-05,5.62997520319186E-05,3.79584780603182E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.94432254324784E-06,3.93808932130923E-06,-9999,-9999,5.30230727235903E-06,4.9666418817651E-06,-9999,-9999,3.93908794649178E-06,3.9372230276058E-06,-9999,-9999,-9999,-9999,-9999,0.000626287597697228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00208430760540068,0.00293162046000361,0.0026578193064779,0.00292878411710262,0.00308347609825432,0.00306192366406322,0.00451107323169708,0.00656107813119888,0.0093131335452199,0.0090217562392354,0.00883080996572971,0.0130556579679251,0.0130565073341131,0.0130778821185231,0.0131099317222834,0.0131079843267798,0.0194333717226982,0.0191690772771835,0.0275127347558737,0.0367830321192741,2.81029939651489,2.9198260307312,2.18407201766968,2.16981816291809,2.40732645988464,0.529935717582703,0.100469574332237,0.0391742885112762,0.0287584457546473,0.0195612888783216,0.0133156385272741,0.00910304393619299,0.00929894484579563,0.00635073520243168,-9999,-9999,-9999,-9999,-9999,0.000598653627093881,0.000400533899664879,0.000267795927356929,0.000179264738108031,0.000120841352327261,8.19870765553787E-05,5.56302547920495E-05,3.77357755496632E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.94100765738403E-06,7.68554764363216E-06,-9999,-9999,-9999,-9999,0.000476898130727932,0.000546063238289207,0.000577303930185735,0.000606053101364523,0.000605051056481898,0.000605263921897858,0.000581418280489743,0.000601806154008955,0.000606831919867545,0.000446755613666028,-9999,0.000307725596940145,0.000552559737116098,-9999,-9999,0.000767236691899598,0.000745530822314322,0.000704519741702825,0.000932874158024788,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00139497476629913,0.00208103703334928,-9999,-9999,-9999,0.0046165375970304,0.00461137341335416,0.00460401875898242,0.00458970153704286,0.00455356948077679,0.00668235262855887,0.00963619723916054,0.0136934528127313,0.0133098429068923,0.0129918158054352,0.0192012526094913,0.0191974900662899,0.0191915538161993,0.0191005878150463,0.019092308357358,0.0283257663249969,0.0276446919888258,0.0378541238605976,2.76839780807495,3.01038765907288,2.43341851234436,2.49760890007019,2.2568576335907,2.23514223098755,2.14403200149536,1.12408101558685,0.0400201454758644,0.0280725099146366,0.0192741267383099,0.0131840100511909,0.0134324980899692,0.0137052377685905,0.00946809444576502,0.0065702204592526,0.00446763541549444,0.00301072536967695,0.00199620006605983,0.00130461517255753,0.000863944063894451,0.00057734822621569,0.000387434469303116,0.000260735861957073,0.000176115441718139,0.000119314208859578,8.09100019978359E-05,5.53258578293025E-05,3.76504613086581E-05,2.54335081990575E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
