"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Yellowfin Tuna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00159244833048433,0.00158932630438358,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0023161715362221,0.00229929387569427,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.83399339322932E-05,0.000102370984677691,0.00015322033141274,0.000228768432862125,-9999,-9999,-9999,-9999,-9999,0.00219961465336382,0.00318967527709901,0.00454421108588576,0.00432710628956556,0.00408317660912871,0.00385525054298341,0.00366948149167001,0.00352328270673752,0.00339121930301189,0.00329346326179802,0.00319535727612674,0.00308002321980894,-9999,-9999,0.00326813035644591,0.00310978735797107,0.00288922642357647,0.00280513032339513,0.00443939492106438,0.00548984436318278,0.00521040568128228,0.00523434113711119,0.00290600094012916,0.00286878482438624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.7962275352329E-05,0.000101920188171789,0.000152956155943684,0.00022874707065057,0.000298087950795889,0.000434239336755127,0.000467515143100172,-9999,0.00147041515447199,0.0022459072060883,0.0032818578183651,0.00472726440057158,0.0066796038299799,0.00627856655046344,0.00581117440015078,0.00540404953062534,0.0051026395522058,0.00486470153555274,0.00467052310705185,0.0044943131506443,0.00431274436414242,0.00408201850950718,0.00372850592248142,0.00343340239487588,0.00604202039539814,0.0121829845011234,0.0262106899172068,0.046975314617157,0.0465696230530739,0.0497889257967472,0.0534898042678833,0.0572064556181431,0.0679240077733994,0.0430583395063877,0.0102695850655437,0.00505852838978171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000101463097962551,0.000152295353473164,0.000229139812290668,0.000342399900546297,0.00044504989637062,0.000652724120300263,0.000795420026406646,0.00135056325234473,0.0017861268715933,0.00332596246153116,0.00485001876950264,0.00693705165758729,0.0115593401715159,0.0156700722873211,0.0205412209033966,0.0210759472101927,0.0184013992547989,0.0238588079810143,0.0277853906154633,0.0183508768677711,0.0176778417080641,0.0157761573791504,0.0179510358721018,0.0401039309799671,0.0487708933651447,0.0582466833293438,0.080831952393055,0.131288275122643,0.326360166072845,0.26166245341301,0.185744434595108,0.169775381684303,0.159069284796715,0.130312830209732,0.0901233330368996,0.0561390109360218,0.0217446535825729,0.00472190277650952,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00262452359311283,0.00397053500637412,0.0040121772326529,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0011019577505067,-9999,-9999,-9999,0.00110989180393517,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000154101668158546,0.000230085657676682,0.000274604622973129,-9999,0.000547172909136862,0.000857101404108107,0.00123580056242645,0.00218075211159885,0.00316733494400978,0.00449868058785796,0.00620278902351856,0.0055804387666285,0.0143822636455297,0.0529457703232765,0.0795180127024651,0.0853511244058609,0.0874373987317085,0.0675675868988037,0.058206245303154,0.0701361298561096,0.0883059874176979,0.0944161936640739,0.0955920591950417,0.110533073544502,0.228139936923981,0.364858418703079,0.364508628845215,0.365027546882629,0.365374505519867,0.347784221172333,0.316434681415558,0.227950572967529,0.134364098310471,0.119602635502815,0.0627970620989799,0.0279472563415766,0.00541874254122376,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00370179279707372,0.00565197924152017,0.00576559267938137,0.00395235791802406,0.00402349885553122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00160187191795558,0.00240954384207726,-9999,-9999,0.00317638111300766,0.00297084893099964,-9999,-9999,0.00239828322082758,0.00165542308241129,-9999,-9999,-9999,-9999,-9999,0.00137390696909279,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00100125686731189,0.00135846610646695,0.000812536280136555,0.00130714161787182,0.00199114857241511,0.00280745746567845,0.00382124888710678,0.00504615856334567,0.00999184604734182,0.0543614774942398,0.135210663080215,0.185425832867622,0.180409073829651,0.154497608542442,0.137517899274826,0.140072047710419,0.148414149880409,0.175450623035431,0.169813722372055,0.365455329418182,0.373994201421738,0.374000370502472,0.374415129423141,0.37392869591713,0.372420132160187,0.370101243257523,0.343586355447769,0.310902178287506,0.216650694608688,0.189125791192055,0.125546261668205,0.0668923035264015,0.0235248077660799,0.00547727104276419,-9999,-9999,-9999,-9999,-9999,0.00440811458975077,0.00460728351026773,0.00495275901630521,0.00992517173290253,0.00844689831137657,0.00560507364571095,0.00578026985749602,0.00395698519423604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00162672321312129,0.00209551467560232,-9999,-9999,-9999,-9999,0.00525006931275129,0.0040928777307272,0.00654023885726929,0.00689827697351575,0.00688285008072853,0.00686785392463207,0.00647347001358867,0.010745114646852,0.00651298090815544,0.0048727672547102,-9999,0.00144973455462605,0.00261723669245839,-9999,-9999,0.00165835185907781,0.00159942032769322,0.00100391276646405,0.00132829404901713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000616923673078418,0.000899837003089488,-9999,-9999,-9999,0.00197734986431897,0.00131397822406143,0.00190292939078063,0.00271548796445131,0.00255639711394906,0.00340682361274958,0.00442504044622183,0.0121015226468444,0.0523290671408176,0.175210848450661,0.228756785392761,0.231588900089264,0.20545794069767,0.207831516861916,0.217061787843704,0.199162125587463,0.219952881336212,0.364718407392502,0.381309777498245,0.380910217761993,0.382027417421341,0.383149057626724,0.38325834274292,0.381237328052521,0.377512693405151,0.373155921697617,0.348939269781113,0.27512913942337,0.223432987928391,0.159022212028503,0.0865132138133049,0.0429469086229801,0.00616028159856796,0.00286162435077131,0.00199413252994418,0.00211831089109182,0.00344965187832713,0.00669456925243139,0.0121041163802147,0.0165346171706915,0.0197848845273256,0.0172543060034513,0.0158686842769384,0.0136464685201645,0.0096965255215764,0.00568063789978623,0.00394101580604911,0.00271009909920394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
