"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3213.85554424281,875.932668551976,"MSY Curve",0.00129175149912278,4.85574929357487e-05
"2","Atlantic sharpnose shark",20967.085777105,368.691435220775,"MSY Curve",0.000543714980909979,0.00031678745528212
"3","Baleen whales",8210.80319771172,544.019887917266,"MSY Curve",0.000802274570865643,0.000124055363653143
"4","Benthic coastal invertebrate feeders",29570.9001060061,445.688858586265,"MSY Curve",0.000657264276000645,0.000446780744571214
"5","Benthic piscivores",1825.06734131117,157.939910230223,"MSY Curve",0.000232916436543549,2.75745730674594e-05
"6","Billfish",2334.98943505199,724.194296473622,"MSY Curve",0.00106798056712787,3.52788827738982e-05
"7","Blacktip shark",9342.50706112019,530.217061148143,"MSY Curve",0.000781919328035596,0.000141154048269275
"8","Bluefin tuna",406.166900751763,8.4241513704673,"MSY Curve",1.24232267528365e-05,6.13669349554893e-06
"9","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0446033696729587,2.24941881030609e-05
"10","Butterfish",4049.13219920655,216.408408492584,"MSY Curve",0.000319140838250952,6.11775188561588e-05
"11","Coastal dolphins",12604.5732567388,134.100816452902,"MSY Curve",0.000197760555012735,0.000190439946178857
"12","Coastal omnivores",249710.86446072,44832.7238522754,"MSY Curve",0.0661155135835626,0.00377283090982481
"13","Cobia",3365.1798312336,581.349942537699,"MSY Curve",0.000857325781705851,5.0843820959958e-05
"14","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0458334345545905,0.000768636304327182
"15","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000866983295609929,3.76908702210149e-05
"16","Demersal coastal invertebrate feeders",360037.129015201,28962.3026123385,"MSY Curve",0.042711157102272,0.0054397281110162
"17","Dusky shark",1299.97564583628,168.384996269179,"MSY Curve",0.000248319967013068,1.96410689187378e-05
"18","Gag Grouper",2172.53058507062,437.065194375394,"MSY Curve",0.000644546824566006,3.28243248910924e-05
"19","Goliath grouper",109.847143507674,30.8098943556028,"MSY Curve",4.5435829317174e-05,1.65965825826896e-06
"20","Gray triggerfish",2095.0841759161,259.346958264107,"MSY Curve",0.000382462983923648,3.16542027702782e-05
"21","King Mackerel",10991.8972362446,1137.74183529857,"MSY Curve",0.00167784554010434,0.00016607435058976
"22","Large coastal sharks",8896.50356117696,258.792784249334,"MSY Curve",0.000381645734904337,0.000134415471659443
"23","Large oceanic planktivores",405.929575827083,3.35801053114564,"MSY Curve",4.95211024021771e-06,6.13310780129634e-06
"24","Large oceanic sharks",3048.10777886878,143.016463818878,"MSY Curve",0.000210908598537231,4.60532434959495e-05
"25","Menhaden",1345681.21329007,339967.186649468,"MSY Curve",0.501354885796162,0.0203316250866207
"26","Mullet",5482.28087244473,1992.55126522208,"MSY Curve",0.00293844627142924,8.28306720917801e-05
"27","Mutton snapper",1445.17059546592,549.24079377785,"MSY Curve",0.000809973921756777,2.18347900253312e-05
"28","Oceanic piscivores",10192.6510829693,52.8950468921831,"MSY Curve",7.80051464824352e-05,0.000153998702226812
"29","Oceanic planktivores",561.050364713416,1.18356352850536,"MSY Curve",1.74541950214193e-06,8.47679640423587e-06
"30","Other snapper",630.202702674228,211.854152552617,"MSY Curve",0.000312424606342891,9.52160508209875e-06
"31","Other tunas",71743.9068366746,14098.0517303798,"MSY Curve",0.0207906156617424,0.00108396416747649
"32","Pelagic coastal piscivores",5508.25537516328,1144.33315467532,"MSY Curve",0.00168756586107399,8.32231155961326e-05
"33","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.100543907132679,0.00017724211385334
"34","Red Grouper",2374.95051576993,1092.26442365475,"MSY Curve",0.00161077929543026,3.58826466543696e-05
"35","Red Snapper",27447.372704284,5392.77227079317,"MSY Curve",0.00795280495330844,0.000414696798859122
"36","Red drum",9526.27940416566,975.689538670046,"MSY Curve",0.00143886450352281,0.00014393062740495
"37","Reef piscivores",10735.1439587297,353.258390746749,"MSY Curve",0.000520955630732634,0.000162195117286479
"38","Sandbar shark",1027.52425304124,85.9118257106591,"MSY Curve",0.000126695502563658,1.55246559689776e-05
"39","Sea turtle",3419.1466092259,69.9607050312538,"MSY Curve",0.000103172137366682,5.16591940858039e-05
"40","Seabird",5470.19272449272,235.396473606665,"MSY Curve",0.000347142832533346,8.26480347110062e-05
"41","Seagrass",564401.234003148,26274.9080545535,"MSY Curve",0.0387480146446538,0.00852742401012072
"42","Skates-rays",15882.4065791511,1010.27595351249,"MSY Curve",0.00148986962620634,0.000239964066415909
"43","Small coastal sharks",340.75223701248,17.8432723590727,"MSY Curve",2.63137506415774e-05,5.14835658099635e-06
"44","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.43781397773032e-05,1.9997731963765e-05
"45","Swordfish",13873.5518145512,3500.91699576565,"MSY Curve",0.00516285662122938,0.000209612686368431
"46","Tilefish",111.552161719462,39.4470875052843,"MSY Curve",5.81732320878209e-05,1.68541903333632e-06
"47","Vermilion snapper",7957.07097480747,999.34432432782,"MSY Curve",0.00147374858300961,0.000120221774852515
"48","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0657710142681294,0.000348458739190108
"49","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.00035927307484244,2.22302598531143e-05
"50","Yellowfin tuna",6755.31969184166,1487.01196247247,"MSY Curve",0.00219291961665583,0.000102064757951841
"51","Algae",12899251.9,3905.8277777778,"Average",0.00575998483490798,0.19489218615713
"52","Anchovy-silverside-killifish",8886.0632,172.640794376617,"Average",0.000254596058524,0.000134257730355543
"53","Cephalopod",1575040.25,1422.66353027778,"Average",0.00209802398513303,0.0237969643501553
"54","Detritus",22330034.7,4289.36666666667,"Average",0.00632559558614655,0.337379974698189
"55","Infauna",7599867,8974.67222222223,"Average",0.0132350883959561,0.114824852294995
"56","Inshore coastal piscivores",1702.25836,182.757300362816,"Average",0.000269515026890781,2.57190770252847e-05
"57","Mobile epifauna",1428507.28,-7797.78314166667,"Average",-0.0114995118057805,0.0215830273646005
"58","Offshore dolphins",7621.9018,-241.984622222222,"Average",-0.000356858477532245,0.000115157771628366
"59","Phytoplankton",10386515.9,1414.63333333338,"Average",0.00208618172908574,0.156927766509218
"60","Reef invertebrate feeders",407.99348,65.3445180054665,"Average",9.63645747253096e-05,6.16429091171212e-06
"61","Reef omnivores",877.87784,8.33269956092935,"Average",1.22883613501527e-05,1.32636786026715e-05
"62","Sardine-herring-scad",39548.777,481.384208578621,"Average",0.00070990476255832,0.000597534467046947
"63","Sea trout",25253.0464,9332.37953197064,"Average",0.0137626049165792,0.000381543166857873
"64","Sessile epifauna",1473399.93,-1521.71818333333,"Average",-0.00224410141913389,0.0222613013272081
"65","Shallow-water grouper",4018.7408,723.134303599101,"Average",0.00106641737918674,6.07183413567459e-05
"66","Spanish Mackerel",26.42435567,5.47219497265599,"Average",8.06993084423483e-06,3.99240241546089e-07
"67","Zooplankton",5467972.2,1363.13888888889,"Average",0.00201024207276761,0.0826144852558784
