"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3229.18216617024,901.458033417826,"MSY Curve",0.00129476638860549,4.87549713567742e-05
"2","Atlantic sharpnose shark",5293.04769267307,1627.07564795965,"MSY Curve",0.00233697275147605,7.99157109654092e-05
"3","Baleen whales",8210.80319771172,544.019887917266,"MSY Curve",0.000781377101868612,0.000123968687463462
"4","Benthic coastal invertebrate feeders",50213.1660166145,1291.13935555568,"MSY Curve",0.00185446662917961,0.000758130494005683
"5","Benthic piscivores",1962.51798682242,180.181777619999,"MSY Curve",0.000258795529967208,2.96305700053332e-05
"6","Billfish",2467.9908378986,792.412794707104,"MSY Curve",0.0011381444442818,3.72623210517828e-05
"7","Blacktip shark",9371.6125018838,541.263383161598,"MSY Curve",0.00077741792731432,0.000141494866372938
"8","Bluefin tuna",449.31239953371,10.3306503605813,"MSY Curve",1.48379384990362e-05,6.78382700084397e-06
"9","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0434415510528097,2.24784716482676e-05
"10","Butterfish",4050.13991796786,252.774392100584,"MSY Curve",0.000363060480531903,6.11499895422872e-05
"11","Coastal dolphins",12604.5732567388,134.100816452902,"MSY Curve",0.000192609332205367,0.000190306887773225
"12","Coastal omnivores",258199.399454209,47828.0007510816,"MSY Curve",0.0686954750094235,0.00389835682130502
"13","Cobia",3023.29813231888,739.15984102261,"MSY Curve",0.00106165709604305,4.5646484545965e-05
"14","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0446395754788895,0.00076809926615207
"15","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000844400308190293,3.76645360028055e-05
"16","Demersal coastal invertebrate feeders",389322.786816622,33933.9570679626,"MSY Curve",0.0487394259246841,0.00587808935607233
"17","Dusky shark",1314.67713168828,172.015220884842,"MSY Curve",0.000247065884460326,1.98493124885816e-05
"18","Gag Grouper",2191.24640308486,441.643596702541,"MSY Curve",0.000634333783221437,3.30839668127922e-05
"19","Goliath grouper",109.847021629516,30.8101059631138,"MSY Curve",4.42526309063611e-05,1.65849683219503e-06
"20","Gray triggerfish",2791.66523633664,1080.11052856408,"MSY Curve",0.00155136540639765,4.21492352030162e-05
"21","King Mackerel",10842.6744768327,1154.80807719487,"MSY Curve",0.00165865367905487,0.000163705314951543
"22","Large coastal sharks",11385.6177898303,416.583241653396,"MSY Curve",0.000598339533682021,0.000171902804071503
"23","Large oceanic planktivores",405.929575827083,3.35801053114564,"MSY Curve",4.82311877772729e-06,6.12882266279478e-06
"24","Large oceanic sharks",3048.10777886878,143.016463818878,"MSY Curve",0.000205414898426079,4.60210665746855e-05
"25","Menhaden",1345662.61778461,340001.42047632,"MSY Curve",0.488344875736236,0.0203171388326413
"26","Mullet",5482.25176588048,1993.02763759855,"MSY Curve",0.00286259049347041,8.27723597065214e-05
"27","Mutton snapper",1429.31328295142,554.684498926484,"MSY Curve",0.000796694708867947,2.15801167553207e-05
"28","Oceanic piscivores",10193.9460162061,52.9087739383066,"MSY Curve",7.59930020235267e-05,0.000153910656152938
"29","Oceanic planktivores",561.050364713416,1.18356352850536,"MSY Curve",1.69995520443464e-06,8.47087375493335e-06
"30","Other snapper",656.045212986401,224.405413167848,"MSY Curve",0.000322314046378003,9.90512889083462e-06
"31","Other tunas",71084.0016073079,14126.084903117,"MSY Curve",0.0202893304592315,0.0010732434046604
"32","Pelagic coastal piscivores",5743.64025360436,1260.51913876097,"MSY Curve",0.00181048673655246,8.67188661518617e-05
"33","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.0979249618757226,0.000177118276635607
"34","Red Grouper",2336.5054276674,1169.28856872213,"MSY Curve",0.00167945204461927,3.52771226084077e-05
"35","Red Snapper",26841.2983440414,5770.27171713249,"MSY Curve",0.00828785544695582,0.000405256397626648
"36","Red drum",9533.09163537309,996.801618197359,"MSY Curve",0.0014317086137179,0.000143932917285787
"37","Reef piscivores",10878.4767937793,360.103261846787,"MSY Curve",0.000517217199894111,0.000164245866969799
"38","Sandbar shark",839.496740206211,129.691467143536,"MSY Curve",0.000186276172956963,1.26749243048747e-05
"39","Sea turtle",3419.1466092259,69.9607050312538,"MSY Curve",0.00010048473255507,5.16231003452879e-05
"40","Seabird",5470.19272449272,235.396473606665,"MSY Curve",0.000338100533495275,8.25902893905109e-05
"41","Seagrass",564401.234003148,26274.9080545535,"MSY Curve",0.0377387150056792,0.0085214659878376
"42","Skates-rays",15928.2772755484,1016.76773151454,"MSY Curve",0.00146038599133931,0.000240488972863718
"43","Small coastal sharks",343.100531733764,51.0986232213228,"MSY Curve",7.33930781005298e-05,5.18021459811684e-06
"44","Spanish Mackerel",87.628529376717,26.6753364138513,"MSY Curve",3.83138512421355e-05,1.32303667614546e-06
"45","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.40036212008176e-05,1.99837597568581e-05
"46","Swordfish",14018.1602275437,3519.43166251173,"MSY Curve",0.00505496834537834,0.000211649564873923
"47","Tilefish",112.55178668787,40.9814526498222,"MSY Curve",5.88617611471471e-05,1.69933402754695e-06
"48","Vermilion snapper",9460.01843339101,5708.72025295304,"MSY Curve",0.00819944892770073,0.000142829640453991
"49","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0640578255650542,0.00034821527470067
"50","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.000349914809959525,2.22147278022386e-05
"51","Yellowfin tuna",6796.06655643561,1507.33355989103,"MSY Curve",0.0021649868961336,0.000102608652360643
"52","Algae",12899251.9,3905.8277777778,"Average",0.00560995003524958,0.194756017017827
"53","Anchovy-silverside-killifish",8886.0632,172.640794376617,"Average",0.000247964397203822,0.000134163925878576
"54","Cephalopod",1575040.25,1422.66353027778,"Average",0.00204337512453529,0.0237803376591756
"55","Detritus",22330034.7,4289.36666666667,"Average",0.00616082788385402,0.337144250826039
"56","Infauna",7599867,8974.67222222223,"Average",0.0128903437667838,0.1147446253674
"57","Inshore coastal piscivores",1702.25836,192.185300833333,"Average",0.000276036219855504,2.57011073742112e-05
"58","Mobile epifauna",1428507.28,-7797.78314166667,"Average",-0.011199975088341,0.021567947528319
"59","Offshore dolphins",7621.9018,-241.984622222222,"Average",-0.000347563107541256,0.000115077312093503
"60","Phytoplankton",10386515.9,1414.63333333338,"Average",0.00203184133293096,0.156818122714258
"61","Reef invertebrate feeders",407.99348,73.5711125277778,"Average",0.000105670369714401,6.1599839858963e-06
"62","Reef omnivores",877.87784,8.78415509166667,"Average",1.26167035439975e-05,1.32544114086657e-05
"63","Sardine-herring-scad",39548.777,481.465078222222,"Average",0.000691529474983895,0.000597116975942321
"64","Sea trout",25253.0464,10449.6694444444,"Average",0.0150088859016616,0.00038127658662363
"65","Sessile epifauna",1473399.93,-1521.71818333333,"Average",-0.00218564756613199,0.022245747587978
"66","Shallow-water grouper",3781.039,791.35343,"Average",0.00113662287614975,5.70870389645672e-05
"67","Zooplankton",5467972.2,1363.13888888889,"Average",0.00195787973583493,0.0825567633760377
