"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3229.18216617024,901.458033417826,"MSY Curve",0.00129328660473705,4.87929207785782e-05
"2","Atlantic sharpnose shark",5293.04769267307,1627.07564795965,"MSY Curve",0.00233430183368808,7.9977914981529e-05
"3","Baleen whales",8210.80319771172,544.019887917266,"MSY Curve",0.000780484068777328,0.000124065181008225
"4","Benthic coastal invertebrate feeders",50213.1660166145,1291.13935555568,"MSY Curve",0.00185234716591075,0.000758720600267648
"5","Benthic piscivores",1962.51798682242,180.181777619999,"MSY Curve",0.000258499753482864,2.9653633561072e-05
"6","Billfish",2467.9908378986,792.412794707104,"MSY Curve",0.00113684366307261,3.72913249358923e-05
"7","Blacktip shark",9371.6125018838,541.263383161598,"MSY Curve",0.000776529419149455,0.000141605001774881
"8","Bluefin tuna",449.31239953371,10.3306503605813,"MSY Curve",1.48209802722665e-05,6.78910733031882e-06
"9","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.043391901859694,2.24959682230445e-05
"10","Butterfish",4050.13991796786,252.774392100584,"MSY Curve",0.000362645540008976,6.1197586878146e-05
"11","Coastal dolphins",12604.5732567388,134.100816452902,"MSY Curve",0.000192389199689405,0.000190455017003032
"12","Coastal omnivores",258199.399454209,47828.0007510816,"MSY Curve",0.0686169631970628,0.00390139118648332
"13","Cobia",3023.29813231888,739.15984102261,"MSY Curve",0.00106044373195023,4.56820144139498e-05
"14","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0445885570679479,0.000768697131810226
"15","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000843435246102217,3.7693852959088e-05
"16","Demersal coastal invertebrate feeders",389322.786816622,33933.9570679626,"MSY Curve",0.0486837218093513,0.00588266468626262
"17","Dusky shark",1314.67713168828,172.015220884842,"MSY Curve",0.000246783513745823,1.98647626039481e-05
"18","Gag Grouper",2191.24640308486,441.643596702541,"MSY Curve",0.000633608805412411,3.31097183900486e-05
"19","Goliath grouper",109.847021629516,30.8101059631138,"MSY Curve",4.42020547329856e-05,1.65978775687602e-06
"20","Gray triggerfish",2791.66523633664,1080.11052856408,"MSY Curve",0.00154959235643077,4.21820429159719e-05
"21","King Mackerel",10842.6744768327,1154.80807719487,"MSY Curve",0.00165675800970542,0.000163832738307065
"22","Large coastal sharks",11385.6177898303,416.583241653396,"MSY Curve",0.000597655693571883,0.000172036608109111
"23","Large oceanic planktivores",405.929575827083,3.35801053114564,"MSY Curve",4.81760645254985e-06,6.13359315634487e-06
"24","Large oceanic sharks",3048.10777886878,143.016463818878,"MSY Curve",0.000205180130474346,4.60568880061972e-05
"25","Menhaden",1345662.61778461,340001.42047632,"MSY Curve",0.487786748126726,0.0203329530901407
"26","Mullet",5482.25176588048,1993.02763759855,"MSY Curve",0.00285931884904757,8.2836787253186e-05
"27","Mutton snapper",1429.31328295142,554.684498926484,"MSY Curve",0.000795784169338482,2.15969140773278e-05
"28","Oceanic piscivores",10193.9460162061,52.9087739383066,"MSY Curve",7.5906149893677e-05,0.000154030455636928
"29","Oceanic planktivores",561.050364713416,1.18356352850536,"MSY Curve",1.69801233171975e-06,8.47746723150053e-06
"30","Other snapper",656.045212986401,224.405413167848,"MSY Curve",0.000321945674808741,9.91283874900582e-06
"31","Other tunas",71084.0016073079,14126.084903117,"MSY Curve",0.0202661418561143,0.00107407878545395
"32","Pelagic coastal piscivores",5743.64025360436,1260.51913876097,"MSY Curve",0.00180841753774537,8.6786365541942e-05
"33","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.0978130437875055,0.000177256140242173
"34","Red Grouper",2336.5054276674,1169.28856872213,"MSY Curve",0.0016775326048923,3.53045812730043e-05
"35","Red Snapper",26841.2983440414,5770.27171713249,"MSY Curve",0.00827838328664781,0.000405571837171465
"36","Red drum",9533.09163537309,996.801618197359,"MSY Curve",0.00143007231907083,0.000144044950394156
"37","Reef piscivores",10878.4767937793,360.103261846787,"MSY Curve",0.000516626074208725,0.000164373711074958
"38","Sandbar shark",839.496740206211,129.691467143536,"MSY Curve",0.000186063278586025,1.26847900895402e-05
"39","Sea turtle",3419.1466092259,69.9607050312538,"MSY Curve",0.000100369888914112,5.16632822335204e-05
"40","Seabird",5470.19272449272,235.396473606665,"MSY Curve",0.000337714119606424,8.26545752190485e-05
"41","Seagrass",564401.234003148,26274.9080545535,"MSY Curve",0.0376955835634575,0.00852809884389642
"42","Skates-rays",15928.2772755484,1016.76773151454,"MSY Curve",0.00145871692142007,0.000240676162338278
"43","Small coastal sharks",343.100531733764,51.0986232213228,"MSY Curve",7.33091974144203e-05,5.18424672332067e-06
"44","Spanish Mackerel",87.628529376717,26.6753364138513,"MSY Curve",3.8270062478769e-05,1.32406648860331e-06
"45","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.39876165123001e-05,1.99993145219854e-05
"46","Swordfish",14018.1602275437,3519.43166251173,"MSY Curve",0.00504919104016038,0.000211814306609761
"47","Tilefish",112.55178668787,40.9814526498222,"MSY Curve",5.87944882511409e-05,1.70065673868805e-06
"48","Vermilion snapper",9460.01843339101,5708.72025295304,"MSY Curve",0.00819007780688695,0.000142940814804439
"49","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.063984614105634,0.000348486315129379
"50","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.000349514893576415,2.22320190866383e-05
"51","Yellowfin tuna",6796.06655643561,1507.33355989103,"MSY Curve",0.00216251254036374,0.000102688519888421
"52","Algae",12920223.4,0,"Average",0,0.195224488541442
"53","Anchovy-silverside-killifish",10841.0007,0.0288332655055556,"Average",4.13659589984243e-08,0.000163807447550398
"54","Cephalopod",1589692.71,347.540474722222,"Average",0.000498602734569982,0.0240202461396921
"55","Detritus",22309779.3,0,"Average",0,0.337100614940989
"56","Infauna",7615190.3,0,"Average",0,0.115065474135939
"57","Inshore coastal piscivores",2163.06437,483.1547625,"Average",0.000693163252411264,3.26838880599748e-05
"58","Mobile epifauna",1427495.13,7898.45546944444,"Average",0.0113316053305501,0.0215694417984793
"59","Offshore dolphins",16309.1403,0,"Average",0,0.000246431000072191
"60","Phytoplankton",10393066.2,0,"Average",0,0.157039160272751
"61","Reef invertebrate feeders",434.60357,78.6954641944444,"Average",0.000112901306464997,6.56685701514534e-06
"62","Reef omnivores",987.09208,5.77280648055556,"Average",8.28201981265312e-06,1.49149546796001e-05
"63","Sardine-herring-scad",43470.804,72.4088837777778,"Average",0.000103882195268382,0.000656843555614161
"64","Sea trout",23757.315,11373.621775,"Average",0.0163172905933108,0.000358972869617172
"65","Sessile epifauna",1496144.32,3739.99792777778,"Average",0.00536562883953738,0.022606730596948
"66","Shallow-water grouper",3668.2269,775.44113,"Average",0.00111249507909852,5.54268837492749e-05
"67","Zooplankton",5343931.9,0,"Average",0,0.0807467750114753
