"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3213.85554424281,875.932668551976,"MSY Curve",0.00138788367312658,0.000465758127977624
"2","Atlantic sharpnose shark",20967.085777105,368.691435220775,"MSY Curve",0.000584178261338767,0.00303859040527955
"3","Benthic coastal invertebrate feeders",29570.9001060061,445.688858586265,"MSY Curve",0.000706177897382069,0.00428547172901378
"4","Benthic piscivores",1825.06734131117,157.939910230223,"MSY Curve",0.000250250082698677,0.0002644922699917
"5","Billfish",2334.98943505199,724.194296473622,"MSY Curve",0.00114745970361932,0.000338391160755663
"6","Blacktip shark",9342.50706112019,530.217061148143,"MSY Curve",0.000840109781037354,0.00135393409551339
"7","Bluefin tuna",406.166900751763,8.4241513704673,"MSY Curve",1.33477635516739e-05,5.88624886017348e-05
"8","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0479227533914748,0.000215761776562912
"9","Butterfish",4049.13219920655,216.408408492584,"MSY Curve",0.000342891306212703,0.000586808027639802
"10","Coastal omnivores",249710.86446072,44832.7238522754,"MSY Curve",0.0710358315088617,0.0361885788473734
"11","Cobia",3365.1798312336,581.349942537699,"MSY Curve",0.000921127984591515,0.000487688334751428
"12","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0492443597277263,0.00737267483460835
"13","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000931504210885478,0.000361526678883855
"14","Demersal coastal invertebrate feeders",360037.129015201,28962.3026123385,"MSY Curve",0.0458897223210836,0.0521772733416575
"15","Dusky shark",1299.97564583628,168.384996269179,"MSY Curve",0.000266799944232936,0.000188394971362616
"16","Gag Grouper",2172.53058507062,437.065194375394,"MSY Curve",0.000692514012941522,0.000314847311693664
"17","Goliath grouper",109.847143507674,30.8098943556028,"MSY Curve",4.88171647000954e-05,1.59192593504938e-05
"18","Gray triggerfish",2095.0841759161,259.346958264107,"MSY Curve",0.000410925887311436,0.000303623629095042
"19","King Mackerel",10991.8972362446,1137.74183529857,"MSY Curve",0.00180271084083931,0.00159296689263048
"20","Large coastal sharks",8896.50356117696,258.792784249334,"MSY Curve",0.000410047818602748,0.00128929841032301
"21","Large oceanic sharks",3048.10777886878,143.016463818878,"MSY Curve",0.000226604420920444,0.000441737642970022
"22","Menhaden",1345681.21329007,339967.186649468,"MSY Curve",0.538665727046777,0.19501871012199
"23","Mullet",5482.28087244473,1992.55126522208,"MSY Curve",0.00315712550536679,0.000794502690318953
"24","Mutton snapper",1445.17059546592,549.24079377785,"MSY Curve",0.000870252198219194,0.000209436902775012
"25","Oceanic piscivores",10192.6510829693,52.8950468921831,"MSY Curve",8.38102911406253e-05,0.00147713860258501
"26","Other snapper",630.202702674228,211.854152552617,"MSY Curve",0.00033567525218338,9.13301879948503e-05
"27","Other tunas",71743.9068366746,14098.0517303798,"MSY Curve",0.0223378537209187,0.0103972649927934
"28","Pelagic coastal piscivores",5508.25537516328,1144.33315467532,"MSY Curve",0.00181315454830199,0.000798266965220173
"29","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.108026386837224,0.0017000868487251
"30","Red Grouper",2374.95051576993,1092.26442365475,"MSY Curve",0.00173065352481198,0.000344182397446587
"31","Red Snapper",27447.372704284,5392.77227079317,"MSY Curve",0.00854465286686529,0.00397772605291859
"32","Red drum",9526.27940416566,975.689538670046,"MSY Curve",0.001545944830439,0.00138056673699108
"33","Reef piscivores",10735.1439587297,353.258390746749,"MSY Curve",0.000559725159837775,0.00155575771373578
"34","Sandbar shark",1027.52425304124,85.9118257106591,"MSY Curve",0.000136124184555682,0.000148910791402994
"35","Skates-rays",15882.4065791511,1010.27595351249,"MSY Curve",0.00160074575543608,0.00230170891449564
"36","Small coastal sharks",340.75223701248,17.8432723590727,"MSY Curve",2.82720205232742e-05,4.93824696942041e-05
"37","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.54481612449472e-05,0.000191816044036003
"38","Swordfish",13873.5518145512,3500.91699576565,"MSY Curve",0.00554707652064948,0.00201058181756838
"39","Tilefish",111.552161719462,39.4470875052843,"MSY Curve",6.25024852554988e-05,1.6166353869696e-05
"40","Vermilion snapper",7957.07097480747,999.34432432782,"MSY Curve",0.00158342498386221,0.00115315403271636
"41","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0706656945470562,0.00334237787476754
"42","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.00038601018470381,0.0002132302058375
"43","Yellowfin tuna",6755.31969184166,1487.01196247247,"MSY Curve",0.00235611674110885,0.000978993924975504
"44","Anchovy-silverside-killifish",8886.0632,172.640794376617,"Average",0.000273543102607426,0.00128778537309708
"45","Cephalopod",1575040.25,1422.66353027778,"Average",0.00225415897467237,0.228257862940832
"46","Inshore coastal piscivores",1702.25836,182.757300362816,"Average",0.000289572340916968,0.000246694556171987
"47","Mobile epifauna",1428507.28,-7797.78314166667,"Average",-0.0123553057186366,0.207022023042409
"48","Reef invertebrate feeders",407.99348,65.3445180054665,"Average",0.000103536028423321,5.91271999801867e-05
"49","Reef omnivores",877.87784,8.33269956092935,"Average",1.32028614628576e-05,0.000127223745349691
"50","Sardine-herring-scad",39548.777,481.384208578621,"Average",0.000762735890067543,0.00573148484297055
"51","Sea trout",25253.0464,9332.37953197064,"Average",0.0147868182668131,0.00365972006366801
"52","Sessile epifauna",1473399.93,-1521.71818333333,"Average",-0.00241110749441451,0.213527952240568
"53","Shallow-water grouper",4018.7408,723.134303599101,"Average",0.00114578018319841,0.00058240364760274
"54","Spanish Mackerel",26.42435567,5.47219497265599,"Average",8.67049526908238e-06,3.82946845632844e-06
