"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3213.85554424281,875.932668551976,"MSY Curve",0.00134421442070203,0.000463006121964772
"2","Atlantic sharpnose shark",20967.085777105,368.691435220775,"MSY Curve",0.000565797305896105,0.00302063641035469
"3","Benthic coastal invertebrate feeders",29570.9001060061,445.688858586265,"MSY Curve",0.000683958267989106,0.00426015033737782
"4","Benthic piscivores",1825.06734131117,157.939910230223,"MSY Curve",0.000242376055327194,0.000262929475327159
"5","Billfish",2334.98943505199,724.194296473622,"MSY Curve",0.00111135530350669,0.000336391722735892
"6","Blacktip shark",9342.50706112019,530.217061148143,"MSY Curve",0.000813676033884895,0.00134593416046548
"7","Bluefin tuna",406.166900751763,8.4241513704673,"MSY Curve",1.29277810508868e-05,5.85146902213463e-05
"8","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0464148814745026,0.000214486913773028
"9","Butterfish",4049.13219920655,216.408408492584,"MSY Curve",0.000332102356608985,0.000583340779032747
"10","Coastal omnivores",249710.86446072,44832.7238522754,"MSY Curve",0.0688007150380698,0.0359747528707512
"11","Cobia",3365.1798312336,581.349942537699,"MSY Curve",0.000892145029280983,0.000484806750622212
"12","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0476949039505062,0.00732911221217223
"13","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000902194771407707,0.000359390540973788
"14","Demersal coastal invertebrate feeders",360037.129015201,28962.3026123385,"MSY Curve",0.0444458189835528,0.0518689756194171
"15","Dusky shark",1299.97564583628,168.384996269179,"MSY Curve",0.000258405181518193,0.000187281809695997
"16","Gag Grouper",2172.53058507062,437.065194375394,"MSY Curve",0.000670724312677555,0.000312986986252488
"17","Goliath grouper",109.847143507674,30.8098943556028,"MSY Curve",4.72811504582556e-05,1.58251978734715e-05
"18","Gray triggerfish",2095.0841759161,259.346958264107,"MSY Curve",0.000397996254483953,0.000301829620568467
"19","King Mackerel",10991.8972362446,1137.74183529857,"MSY Curve",0.00174598920322559,0.00158355459426475
"20","Large coastal sharks",8896.50356117696,258.792784249334,"MSY Curve",0.000397145813886199,0.00128168038550619
"21","Large oceanic sharks",3048.10777886878,143.016463818878,"MSY Curve",0.000219474395652979,0.000439127565815094
"22","Menhaden",1345681.21329007,339967.186649468,"MSY Curve",0.521716806858193,0.19386641104091
"23","Mullet",5482.28087244473,1992.55126522208,"MSY Curve",0.00305778770544927,0.000789808244748076
"24","Mutton snapper",1445.17059546592,549.24079377785,"MSY Curve",0.000842870030928875,0.000208199411508349
"25","Oceanic piscivores",10192.6510829693,52.8950468921831,"MSY Curve",8.11732309673111e-05,0.00146841069410216
"26","Other snapper",630.202702674228,211.854152552617,"MSY Curve",0.000325113353081816,9.07905490461795e-05
"27","Other tunas",71743.9068366746,14098.0517303798,"MSY Curve",0.0216350013193454,0.0103358310981201
"28","Pelagic coastal piscivores",5508.25537516328,1144.33315467532,"MSY Curve",0.00175610430325073,0.000793550277832052
"29","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.104627376065176,0.00169004161505333
"30","Red Grouper",2374.95051576993,1092.26442365475,"MSY Curve",0.00167619914430602,0.000342148740983299
"31","Red Snapper",27447.372704284,5392.77227079317,"MSY Curve",0.00827579848796572,0.00395422302557982
"32","Red drum",9526.27940416566,975.689538670046,"MSY Curve",0.00149730224147995,0.00137240943874309
"33","Reef piscivores",10735.1439587297,353.258390746749,"MSY Curve",0.000542113612294843,0.00154656527172444
"34","Sandbar shark",1027.52425304124,85.9118257106591,"MSY Curve",0.000131841086849765,0.000148030928296581
"35","Skates-rays",15882.4065791511,1010.27595351249,"MSY Curve",0.00155037887540485,0.00228810890111524
"36","Small coastal sharks",340.75223701248,17.8432723590727,"MSY Curve",2.738245173254e-05,4.90906855140374e-05
"37","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.4962090498556e-05,0.000190682668417115
"38","Swordfish",13873.5518145512,3500.91699576565,"MSY Curve",0.00537253978569903,0.00199870197496573
"39","Tilefish",111.552161719462,39.4470875052843,"MSY Curve",6.05358674051459e-05,1.60708323953882e-05
"40","Vermilion snapper",7957.07097480747,999.34432432782,"MSY Curve",0.00153360309557683,0.00114634043861858
"41","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0684422243004615,0.00332262890323907
"42","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.00037386451535077,0.000211970301236083
