"","Group_Name","BMSYCap","MSYCap","Type","MSYProp","BMSYProp"
"1","Amberjack",3213.85554424281,875.932668551976,"MSY Curve",0.0013334944483372,4.86540423654906e-05
"2","Atlantic sharpnose shark",20967.085777105,368.691435220775,"MSY Curve",0.000561285130316159,0.000317417340523464
"3","Baleen whales",8210.80319771172,544.019887917266,"MSY Curve",0.000828200073325216,0.000124302029489721
"4","Benthic coastal invertebrate feeders",29570.9001060061,445.688858586265,"MSY Curve",0.00067850377083551,0.00044766910234053
"5","Benthic piscivores",1825.06734131117,157.939910230223,"MSY Curve",0.000240443131103953,2.76294010485614e-05
"6","Blacktip shark",9342.50706112019,530.217061148143,"MSY Curve",0.000807187050830675,0.000141434712324237
"7","Brown shrimp",1488.813914753,30245.4060634549,"MSY Curve",0.0460447275473755,2.25389144862111e-05
"8","Butterfish",4049.13219920655,216.408408492584,"MSY Curve",0.000329453874320508,6.12991613504778e-05
"9","Coastal dolphins",12604.5732567388,134.100816452902,"MSY Curve",0.000204151187274526,0.000190818607989671
"10","Coastal omnivores",249710.86446072,44832.7238522754,"MSY Curve",0.0682520363804613,0.00378033262893824
"11","Cobia",3365.1798312336,581.349942537699,"MSY Curve",0.00088503026402328,5.09449164165557e-05
"12","Crab",50873.4265057073,31079.5092288017,"MSY Curve",0.0473145419752004,0.000770164624517845
"13","Deep-water grouper",2494.63069247476,587.898672638901,"MSY Curve",0.000894999860485582,3.77658129704507e-05
"14","Demersal coastal invertebrate feeders",360037.129015201,28962.3026123385,"MSY Curve",0.0440913681281698,0.00545054420993968
"15","Dusky shark",1299.97564583628,168.384996269179,"MSY Curve",0.000256344426654874,1.96801222942104e-05
"16","Gag Grouper",2172.53058507062,437.065194375394,"MSY Curve",0.000665375354962483,3.28895912312243e-05
"17","Goliath grouper",109.847143507674,30.8098943556028,"MSY Curve",4.69040881246844e-05,1.66295824450619e-06
"18","Gray triggerfish",2095.0841759161,259.346958264107,"MSY Curve",0.000394822275107101,3.17171424947498e-05
"19","King Mackerel",10991.8972362446,1137.74183529857,"MSY Curve",0.00173206511810969,0.000166404564999005
"20","Large coastal sharks",8896.50356117696,258.792784249334,"MSY Curve",0.000393978616686034,0.000134682737046361
"21","Menhaden",1345681.21329007,339967.186649468,"MSY Curve",0.517556168744471,0.0203720515314217
"22","Mullet",5482.28087244473,1992.55126522208,"MSY Curve",0.00303340216159919,8.2995368695169e-05
"23","Mutton snapper",1445.17059546592,549.24079377785,"MSY Curve",0.000836148228737537,2.18782052924305e-05
"24","Other snapper",630.202702674228,211.854152552617,"MSY Curve",0.000322520607380833,9.54053739275409e-06
"25","Pink shrimp",11731.0535581935,68178.5102948806,"MSY Curve",0.103792983454332,0.000177594533716561
"26","Red Grouper",2374.95051576993,1092.26442365475,"MSY Curve",0.00166283162776388,3.5953994017313e-05
"27","Red Snapper",27447.372704284,5392.77227079317,"MSY Curve",0.00820979984242107,0.000415521362423361
"28","Red drum",9526.27940416566,975.689538670046,"MSY Curve",0.00148536140941978,0.000144216812278965
"29","Reef piscivores",10735.1439587297,353.258390746749,"MSY Curve",0.000537790311746286,0.000162517618411107
"30","Sandbar shark",1027.52425304124,85.9118257106591,"MSY Curve",0.00013078966768195,1.55555244630064e-05
"31","Seagrass",564401.234003148,26274.9080545535,"MSY Curve",0.0400001567235055,0.00854437953800256
"32","Skates-rays",15882.4065791511,1010.27595351249,"MSY Curve",0.00153801476262389,0.00024044119965262
"33","Small coastal sharks",340.75223701248,17.8432723590727,"MSY Curve",2.71640794837875e-05,5.15859333050607e-06
"34","Surface pelagics",1323.58196147131,9.74977180401897,"MSY Curve",1.4842769358867e-05,2.00374945112216e-05
"35","Tilefish",111.552161719462,39.4470875052843,"MSY Curve",6.00531000611343e-05,1.68877024108421e-06
"36","Vermilion snapper",7957.07097480747,999.34432432782,"MSY Curve",0.00152137276792224,0.000120460818161854
"37","White shrimp",23063.3004955143,44599.1199393815,"MSY Curve",0.0678964045697778,0.000349151598119252
"38","Yellowedge Grouper",1471.3454002542,243.621953138295,"MSY Curve",0.000370882984122546,2.22744614537751e-05
"39","Algae",12899251.9,3905.8277777778,"Average",0.00594611874270888,0.195279700592019
"40","Anchovy-silverside-killifish",8886.0632,172.640794376617,"Average",0.00026282333006065,0.000134524682097088
"41","Cephalopod",1575040.25,1422.66353027778,"Average",0.00216582162943343,0.0238442811121766
"42","Detritus",22330034.7,4289.36666666667,"Average",0.00653000720516366,0.338050805134319
"43","Infauna",7599867,8974.67222222223,"Average",0.0136627802725561,0.115053164617955
"44","Inshore coastal piscivores",1702.25836,182.757300362816,"Average",0.000278224404884663,2.57702156255326e-05
"45","Mobile epifauna",1428507.28,-7797.78314166667,"Average",-0.0118711185255136,0.0216259420386944
"46","Phytoplankton",10386515.9,1414.63333333338,"Average",0.00215359669088637,0.157239794281887
"47","Reef invertebrate feeders",407.99348,65.3445180054665,"Average",9.94785959217699e-05,6.17654769714946e-06
"48","Reef omnivores",877.87784,8.33269956092935,"Average",1.26854597426192e-05,1.32900514758975e-05
"49","Sardine-herring-scad",39548.777,481.384208578621,"Average",0.000732845334696746,0.000598722576410847
"50","Sea trout",25253.0464,9332.37953197064,"Average",0.0142073434893473,0.000382301809303248
"51","Sessile epifauna",1473399.93,-1521.71818333333,"Average",-0.00231661955565978,0.0223055646492725
"52","Shallow-water grouper",4018.7408,723.134303599101,"Average",0.00110087865639911,6.08390708441728e-05
"53","Spanish Mackerel",26.42435567,5.47219497265599,"Average",8.33071065646925e-06,4.00034072020457e-07
